ts	phase	decision	why	evidence	result
2026-08-26T20:09:12Z	frame	Overnight hillclimb exit is RUNGS on locked denominators, or a genuine dead end Fable names after covering search. Plateau is not a stop. Floor is the covering map, not a lucky early win.	User going to bed. Metric HG 2000 NKD 1500 SI 1500 usd_per_asset_day, MDD under 1000, at most 12 entries, dollars per trade, one contract.	START_HERE.md; .audit/briefs/threshold-covering-after-pivot-kill-out.md; .cursor/prompts/overnight-c.md	predicate open
2026-08-26T20:09:12Z	harness	Skipped a new how explorer. Architecture is already in START_HERE and the covering map. Specified walk is C Stage 0. Rediscovering closed kills is forbidden.	Hillclimb step 1 how skill trigger is architecture discovery. This overnight starts at a named unit. User forbade general-purpose/explore/plan. Equal-standing says a specified CLI walk follows its brief first.	.audit/briefs/threshold-cfit-stage0.md; START_HERE.md live cursor	skip: how explorers
2026-08-26T20:09:12Z	harness	Dollar harness already frozen. Baseline is cell-best HG 2758.95 NKD 3815.22 SI 3880.47 on locked 197/194/191 days. Capture miss identity 99.98 percent of 2.09M. Stage 0 emits era pivot tags, not dollars.	Changing the ruler would invalidate every earlier number. Stage 0 is infrastructure for the fitted read.	.audit/threshold-2022-2024-ceiling.json; .audit/threshold-capture-gap.json; .audit/threshold-2022-2024-freeze.md	baseline recorded; Stage 0 has no dollar metric
2026-08-26T20:09:12Z	attempt	Dispatch Sol-max as specified walker on C Stage 0. Reuse .audit/threshold_pivot_stage0.py with END_D8_EXCLUSIVE 20250101. Three asset chains, never 64 workers. Wall projects to minutes per chain. Tripwire two hours.	Covering map ranked C first. Runner already committed at the C window. No receipt yet. Parent does not execute the named walk.	.audit/briefs/threshold-cfit-stage0.md; artifacts/cache/overnight-c/sol-c-stage0-prompt.txt	Sol dispatched
2026-08-26T20:11:52Z	attempt	Codex exec gpt-5.6-sol-max refused. ChatGPT auth does not support that slug. OPENAI_API_KEY is unset. Next probe is cursor-agent --model gpt-5.6-sol-max, which this account lists.	Dispatch table names Codex. Host seat is ChatGPT. User note 466 says cursor-agent has sol-max. Cursor is not the parent.	artifacts/cache/overnight-c/sol-c-stage0.stderr	launch failed; fallback probe
2026-08-26T20:12:17Z	attempt	Relaunch Sol walker on Codex as gpt-5.6-sol. ChatGPT rejects the -max slug. Config default is gpt-5.6-sol with reasoning high.	User correction: Codex works. Do not fall back to cursor-agent.	artifacts/cache/overnight-c/sol-c-stage0.stderr; ~/.codex/config.toml	relaunch
2026-08-26T20:13:26Z	attempt	Killed the high-effort Codex child. Relaunch gpt-5.6-sol with model_reasoning_effort=max. Model slug stays gpt-5.6-sol. ChatGPT rejects gpt-5.6-sol-max.	User: Codex works; add a flag to make it max. Binary enum is none/low/medium/high/xhigh/max/ultra.	codex binary strings; ~/.codex/config.toml	relaunch max
2026-08-26T20:14:02Z	attempt	Sol C Stage 0 live. Codex gpt-5.6-sol reasoning effort max. Session 01a03fb4-e89d-75f1-8389-1e94ec4f1f38. rclone copy still pid 3079890.	User correction applied. Specified walk is the live unit.	artifacts/cache/overnight-c/sol-c-stage0.stderr; .audit/briefs/threshold-cfit-stage0.md	in flight
2026-08-26T20:46:17Z	attempt	C Stage 0 receipt PASS from the artifact. Schema QRE2THRESHOLDCFITSTAGE01. Era tags 939 days/asset max 20241231. 2021 rows identical, not rewritten. Selftest PASS. Four mutants KILLED. Projection held. Stage 1 not started. Pointer Fable at the receipt plus covering map.	Prove-it-works on the json, not Sol's summary. Stage 1 waits on Fable PASS. Stage 0 STOP would report and halt.	.audit/threshold-cfit-stage0.json; .audit/briefs/threshold-covering-after-pivot-kill-out.md	PASS pending Fable judge
2026-08-26T20:47:27Z	attempt	Relaunch Fable judge as claude-fable-5 --effort max. CLI rejects claude-fable-5-thinking-max. Default settings.json effort is xhigh; override to max.	Same pattern as Codex: base slug plus max flag. User forbade thinking-high.	/tmp/claude-help.txt; ~/.claude/settings.json	relaunch Fable max
2026-08-26T21:03:35Z	attempt	Fable first judge run exit 0 but wrote no verdict. Stdout was a sweep-waiter. Sol C Stage 0 last.md agrees with the receipt PASS. Retry Fable with --bare so it cannot spawn a waiter and exit.	Stage judge must come from Fable on the artifact. Parent does not substitute a covering map.	artifacts/cache/overnight-c/fable-c-stage0-judge.stdout; .audit/threshold-cfit-stage0.json	judge retry
2026-08-26T21:04:37Z	attempt	Retry Fable judge without --bare. Deny Task/Agent. Disable slash commands so it cannot spawn a sweep-waiter. Same two file pointers.	'--bare dropped OAuth. First run printed a waiter instead of PASS/REJECT.	artifacts/cache/overnight-c/fable-c-stage0-judge.stdout	judge retry 2
2026-08-26T21:32:08Z	attempt	Fable judged C Stage 0 PASS from the artifact. Dispatch Sol Stage 1 fitted read. Codex gpt-5.6-sol reasoning max. Frozen CatBoost one config. Locked denominators 197/194/191. No second config. No B.	Covering map Stage 1 fires only on Stage 0 PASS judgment. Parent does not execute the walk.	.audit/briefs/threshold-cfit-stage0-judge-out.md; .audit/briefs/threshold-covering-after-pivot-kill-out.md	Sol Stage 1 dispatched
2026-08-26T22:02:16Z	attempt	C Stage 1 receipt KILL. HG -173.50 NKD 31.20 SI -150.45 usd_per_asset_day. MDD 75608.75. Trades 1734. Cap 9 of 12. No second config. Pointer Fable at the receipt plus covering map.	Covering map stop fires on missed rungs. Parent does not tweak C. Covering search after the judge.	.audit/threshold-cfit-stage1.json	KILL pending Fable judge
2026-08-26T22:20:50Z	attempt	Fable confirmed C Stage 1 KILL from the bytes. Fitted identity at age 180 is closed. Covering search next, same brief to Fable and Sol in parallel. Distinct write paths so they cannot clobber each other. No second C config.	Hillclimb step 6 after a KILL is covering, not a tweak. Exhaust the design space with two peers. Fable names the one next experiment. Sol does not execute a map he just wrote.	.audit/briefs/threshold-cfit-stage1-judge-out.md; .cursor/prompts/threshold-covering.md	covering search dispatched
2026-08-26T22:21:21Z	attempt	Killed Fable covering child that had Task denied. Relaunch with Agent denied only. Task stays on. Sol covering peer left running.	User: do not disable Task. Agents may be denied.	artifacts/cache/overnight-c/covering-fable-prompt.txt	Fable covering relaunch
2026-08-26T22:31:18Z	attempt	Codex was using follow-rules.md as the whole system prompt, one line. Built sol-instructions.md as vendor Sol prompt plus that line. Fable still appends follow-rules.md. Restarted Sol covering on the combined file. Fable covering left running.	User: model_instructions_file replaces the vendor prompt. Append is Claude only.	.codex/sol-instructions.md; tools/build_sol_instructions.py	Sol covering relaunch with vendor prompt
