case_id	call	value_class	evidence_json
001	TAKE	C	{"primary":[{"what":"T-MINUS depth_at_touch z vs norm","value":"+4.44, rising 3.5k->3.9k","read":"a defended bid shelf under the HL — someone is standing there"},{"what":"T-MINUS signed_flow T-1m/now + 5m-slope","value":"+4380/+3653, slope +414 accel+","read":"flow flipped with the reversal and is building"},{"what":"proxy_vol bid/ask z","value":"-1.66/-1.58 falling","read":"risk bleeding = no fear on the recovery"}],"supporting":[{"what":"15min zoom structure","value":"HL above 12:24 low, second push holding","read":"reversal structure confirmed"}],"against":[{"what":"option_delta_dir now","value":"-71","read":"options mildly refuse — why class C not B"},{"what":"day context","value":"quiet range day, mid-range location","read":"ceiling capped per era-P4"}],"interaction":"stock flow-flip x depth-wall x falling-vol at a confirmed HL = defended recovery; options non-confirm + quiet regime cap the size, not the direction","would_want":"per-level book depth beyond NBBO to size the shelf; skew tilt to read option dissent properly"}
002	TAKE	B	{"primary":[{"what":"flow panel 14:54 flush + recovery","value":"-200k wave into 182.65 then +250k rebound; T-1m +9428 slope +740 accel+","read":"climax absorbed, initiative flipped to buyers"},{"what":"proxy_vol bid/ask spike-and-bleed","value":"0.13->0.22 at the flush, now 0.14 falling","read":"fear spiked and is DRAINING = post-climax, not mid-cascade"},{"what":"T-MINUS depth z","value":"+3.46","read":"bid shelf under the recovery"}],"supporting":[{"what":"option_delta_dir","value":"T-1m +88, slope +1.24","read":"options joined the recovery"}],"against":[{"what":"runway","value":"53min","read":"caps value class to B"}],"interaction":"flush-climax x vol-bleed x two-stream recovery join = S1/S2 composite; the vol TRAJECTORY (spike->drain) is what distinguishes post-climax entry from knife","would_want":"final-30s raw prints to see if the rebound is blocks or odd-lots (composition)"}
003	TAKE	B	{"primary":[{"what":"T-MINUS signed_flow now + z + slope","value":"+70,750 z+9.89 slope +16,968 accel+","read":"a buy elephant landing AT the decision second, with my side"},{"what":"structure","value":"HL forming above the 10:10 LL after 40min decline","read":"confirmed reversal leg underway"},{"what":"T-MINUS depth z","value":"+2.60 rising","read":"bid support building"}],"supporting":[{"what":"urgency_mix","value":"0.884 z+0.66","read":"buyers paying up, not passive"}],"against":[{"what":"option_delta_dir + slope","value":"-560 now, slope -94.6, z-2.88","read":"options actively refuse the recovery — classic F23 disagreement; my self-audit graded my refusal-VETOES at 38% so I am deliberately NOT vetoing on it"},{"what":"absorption","value":"0.033 low","read":"the wave bought little ground — possible iceberg supply above"}],"interaction":"elephant-join x confirmed-HL x depth, taken DESPITE options refusal — an explicit test of the audit finding that my option-refusal vetoes destroy value; if this loses, the refusal read regains standing","would_want":"per-strike option prints to see WHO is selling delta (hedgers vs directional); level-2 book above to locate the iceberg"}
004	SKIP	C	{"primary":[{"what":"runway","value":"29 min to close","read":"even a perfect late entry caps ~$100-400 (era study case015: +$97) — EV too small"},{"what":"T-MINUS signed_flow now","value":"-17,332 z-1.48, slope -4,854","read":"a live sell wave AT the decision second; entering a pullback with no hold evidence yet"}],"supporting":[{"what":"15min structure","value":"recovery grind 181.7->181.9 stalling at 181.9","read":"leg extended, no fresh HL"}],"against":[{"what":"depth z","value":"+5.38","read":"strong bid shelf — the recovery is defended; on a longer runway this would be a TAKE"},{"what":"hour flow","value":"+300k cumulative","read":"buyers own the hour"}],"interaction":"runway gate x live-counter-wave outweigh a defended recovery; the SAME state at 13:00 would be TAKE B — time-of-day is the decisive letter here","would_want":"nothing — the gate is decisive regardless"}
005	SKIP	C	{"primary":[{"what":"clock context + panel 2","value":"FOMC day, decision = 14:03:43, three minutes after a 90bp announcement drop","read":"live event cascade — a 15bp ZigZag confirm inside a 90bp shock is premature; no base exists yet"},{"what":"U-state: spread z / depth z / W2.1 coverage","value":"spread z+7.08, depth z-2.95 thin, wide_vs_median coverage exploding, proxy_vol z+8.6","read":"the tape and the dealer surface are DISORDERLY — sensor-reliability letter vetoes; fills and stops are fictional in this state"}],"supporting":[{"what":"study case008 analog","value":"FOMC first-bounce long = loser","read":"first post-announcement move fades more often than it holds"}],"against":[{"what":"option_delta_dir wave","value":"+1,330 z+18.4, volume z+6.4, 0DTE 0.56","read":"the biggest option delta buy wave in any case I have viewed — if this is directional (not hedge-unwind) the bounce is real; I cannot distinguish composition from this view"}],"interaction":"U-disorder x no-base x event-whipsaw outweigh even an 18-sigma option wave; the DECIDING gap is composition — hedge-unwind vs directional — which this view cannot resolve","would_want":"per-print option detail at the wave (strikes, DTE, single-leg flags) to classify hedge-unwind vs directional; a 15-min-later look at the same state"}
006	TAKE	A	{"primary":[{"what":"T-MINUS signed_flow now + option_delta_dir now","value":"-80,785 z-12.3 AND -816 z-12.5 simultaneously","read":"both streams slamming down together at 12 sigma — the strongest two-stream agreement I have seen in any case"},{"what":"structure + clock","value":"confirmed LH rollover at 182.55 after the post-FOMC whipsaw rally, 41min after the announcement","read":"the fake bounce is complete and rejected; this is the study-case006/007 post-event config"},{"what":"zerodte_share","value":"0.89 z+8.8","read":"the day-crowd is maximally long the bounce = fuel below"}],"supporting":[{"what":"proxy_vol drift","value":"0.46->0.48 rising post-whipsaw","read":"protection bid returning = consistent with second leg down"},{"what":"depth z","value":"-2.27 thin","read":"thin book accelerates the move in my direction"}],"against":[{"what":"spread z","value":"+2.33 elevated","read":"fills slightly worse than normal — acceptable, not disordered (vs case005 z+7)"}],"interaction":"post-event whipsaw-completion x two-stream 12-sigma agreement x crowd-fuel x confirmed LH = the era A-class short; the event supplies the range, the structure supplies the entry, the crowd supplies the fuel","would_want":"nothing decisive missing — this is the fullest signature in the set"}
007	TAKE	B	{"primary":[{"what":"hour flow + now","value":"-350k cumulative, now -19,029 z-2.2","read":"sellers own the session and re-engaged at the bounce top"},{"what":"option_delta_dir","value":"-456 z-4.5 slope -55","read":"options confirm the rollover — two-stream agreement short"},{"what":"structure","value":"LL/LH stack day; 177.9 double-top rejected; breakdown fresh","read":"study-case007 config: continuation short at the failed bounce"}],"supporting":[{"what":"clock context","value":"day after FOMC, drift-down regime","read":"post-event hangover days trend with the event direction"}],"against":[{"what":"depth z","value":"+3.75","read":"a wall exists but the panel cannot tell me which side — if it is a bid wall this entry is early"}],"interaction":"persistent-seller day x fresh double-top rejection x two-stream agreement = S3 continuation; the one ambiguity (depth side) is exactly the L2 gap","would_want":"side-resolved depth (bid wall vs ask wall) — the single most repeated gap in my declarations"}
008	TAKE	C	{"primary":[{"what":"option_delta_dir + volume z","value":"+483 z+7.0, volume z+5.4, slope +123","read":"options aggressively buying the first pullback after the up-leg confirmation — cross-stream lead"},{"what":"structure","value":"HH push to 177.97, shallow dip to 177.83, post-confirmation first pullback","read":"with-leg entry at the retest, not a chase"}],"supporting":[{"what":"absorption","value":"0.27 elevated on the dip","read":"dip selling is being eaten"}],"against":[{"what":"T-MINUS signed_flow now","value":"-11,637 live pullback wave","read":"stock side not yet flipped back up — entry is inside the dip"},{"what":"location + regime","value":"mid-range, range day, midday","read":"ceiling modest = class C"}],"interaction":"options-led disagreement (od strongly + while stock dips) at a post-confirmation retest — trusting the options lead per the F23 surviving-cell direction; regime caps size","would_want":"strike/DTE detail of the option wave (conviction read); side-resolved depth"}
009	TAKE	B	{"primary":[{"what":"hour flow + options","value":"-500k cumulative stock selling; option_delta_dir -548/-1,365 z-2.1 refusing the rally","read":"sellers own the morning and options refuse the bounce = S-config short at the fade"},{"what":"co-timed anomaly CLASSIFIED","value":"now +173,394 stock z+13.8 SIMULTANEOUS with T-1m option delta -1,365 and option volume 9,673","read":"opposite-signed stock/option co-spike = delta-hedge package (dealer hedging a large option print), NOT organic buying — discounting it per the hedge-contamination lens"}],"supporting":[{"what":"structure","value":"morning rally to 177.9 HH stalling under prior-VWAP zone, pullback live","read":"fade of a counter-trend rally in a seller-owned session"}],"against":[{"what":"the raw elephant law","value":"+173k z+13.8 at the decision second","read":"if this is actually ORGANIC buying my entry is directly against a monster wave — the whole call hinges on the hedge classification"}],"interaction":"seller-owned session x option refusal x rally-stall, with the decisive step being CLASSIFYING the co-timed stock spike as hedge-mechanical rather than directional — this classification IS the feature to build (co-sign discount)","would_want":"the option print detail at 10:11 (single big put print? strike/size) to confirm the hedge-package read"}
010	TAKE	B	{"primary":[{"what":"flow-vs-price divergence","value":"+500k cumulative buying through the 60min decline to the 176.6 LL","read":"institutions accumulated the whole fade — price-flow divergence resolving up (study case004 signature)"},{"what":"proxy_vol spike-and-bleed","value":"0.18->0.235 at the LL then back to 0.18","read":"fear climaxed and is draining = post-climax phase, safe side of the knife"},{"what":"T-MINUS flow now + options","value":"+8,263 now, options delta flipped +78","read":"both streams turning with the bounce"}],"supporting":[{"what":"structure","value":"confirmed LL at a multi-day support shelf, first bounce","read":"location + confirmation align"}],"against":[{"what":"zerodte_share","value":"0.47 z+3.4 spiking on the bounce","read":"day-crowd chasing the bounce — the fuel is on MY side, which historically means deeper retest risk (wider MAE class)"}],"interaction":"divergence-accumulation x vol-climax-bleed x confirmed-LL = the deep-MAE winner class; expect $150-200 adverse before it pays (sizing note, not a veto)","would_want":"block-vs-oddlot split of the +500k accumulation (institutional confirmation)"}
011	TAKE	B	{"primary":[{"what":"day structure","value":"HH/HL ladder all day; 14:32 HL held at 177.35; now reclaiming 177.6","read":"trend-day continuation at a completed HL retest (S3)"},{"what":"T-MINUS flow","value":"T-1m +14,826, now +5,137, urgency 0.83 rising","read":"buyers re-engaged at the retest"},{"what":"option_delta_dir","value":"+128 z+1.7 slope +21.6","read":"options mildly with"}],"supporting":[{"what":"prior-VWAP reclaim","value":"price above the 177.35 prior-VWAP zone","read":"overhead cleared"}],"against":[{"what":"proxy_vol bid/ask","value":"rising 0.24->0.27/0.30 z+1.7 on an up-day afternoon","read":"protection building against the trend — trims conviction and class, not direction"}],"interaction":"S3 continuation x two-stream mild agreement, with rising vol as the counterweight — class B not A","would_want":"whether the vol bid is puts-below (hedging longs = fine) or calls-above (chase = fine) vs outright fear — skew tilt would answer it"}
012	SKIP	C	{"primary":[{"what":"runway","value":"5m52s to close","read":"absolute gate — nothing overrides it"}],"supporting":[],"against":[{"what":"last-5min tape","value":"breakdown 177.45->177.15 on -35k waves, vol spiking","read":"direction is probably right and it does not matter"}],"interaction":"runway gate, unconditional","would_want":"nothing"}
