# PORT_M1_SPEC.md §10 FAMILY DISCOVERY CENSUS (D-055) (spec_sha16=81ea7f84a085e4bb)
# params_hash=48d590fc8f22ad4b70be3be0c7152295dcf8e670cba41bb8dd436b5a76560484
# every tested cell (marginal + 2-way, n_fit >= 500); Holm family size = every row of that asset
# promotion = holm_reject AND value >= G1_asset + $150 AND per-FIT-year sign stability; 2025 is an eval-only echo
# value_peak_exit_usd is the HORIZON-FREE comparator: the walled PEAK-exit certificate of the same candidates. A clock slice whose phase-close value is high only because its horizon is long shows no edge here (median_horizon_to_phase_close_sec is the diagnostic)
asset	rank_by_value	axes	levels	n_fit	n_positive_fit	conditional_value_usd	conditional_value_complement_usd	value_minus_g1_usd	welch_z	p_raw	p_holm	holm_reject	fit_year_sign_stable	value_2021	value_2022	value_2023	value_2024	n_2025_echo	value_2025_echo	promoted	is_2way	value_peak_exit_usd	value_peak_minus_g1_peak_usd	median_horizon_to_phase_close_sec
SI	390	clock30+rung	UTC23:00|R0.050	1424	603	781.422056	824.058103	-35.643580	-1.273011	0.898493	1.000000	0	0	949.834906	653.800448	564.940476	1037.398649	710	3330.348837	0	1	1388.443223	348.047927	21362.000000
SI	391	clock30+virgin	UTC15:00|TOUCHED	4697	2118	781.207507	824.477462	-35.858129	-2.297569	0.989207	1.000000	0	0	588.805310	742.603383	614.554795	1075.932540	1426	1760.546875	0	1	744.130896	-296.264399	21452.000000
SI	392	clock30+spread_state	UTC05:00|NORMAL	1019	482	779.699170	824.030488	-37.366466	-1.327552	0.907837	1.000000	0	0	688.939394	971.412429	533.453390	767.483766	92	1588.750000	0	1	1382.256909	341.861613	20355.000000
SI	393	clock30+family	UTC22:00|G1_FINE	1204	499	779.293587	824.036588	-37.772049	-1.284067	0.900441	1.000000	0	0	466.875000	713.528369	492.875817	1321.916058	675	1579.406566	0	1	1467.592832	427.197536	24978.500000
SI	394	clock30+dow	UTC16:00|WED	1752	783	777.982120	824.124374	-39.083516	-1.497111	0.932818	1.000000	0	0	1001.521739	793.414634	584.798206	851.558935	725	1185.946691	0	1	707.281889	-333.113407	17812.500000
SI	395	clock30+family	UTC14:30|G2_REJECT	4832	2039	776.633154	824.515536	-40.432483	-3.009019	0.998690	1.000000	0	0	633.253012	713.348394	722.541209	965.633865	1457	1766.720532	0	1	752.344602	-288.050694	23166.000000
SI	396	clock30+dow	UTC16:00|FRI	2051	908	774.625551	824.180767	-42.440086	-1.697647	0.955213	1.000000	0	0	533.636364	707.840909	565.539033	1070.859375	911	1395.040323	0	1	653.289680	-387.105616	17761.000000
SI	397	clock30+virgin	UTC01:00|TOUCHED	976	450	774.611111	824.036044	-42.454525	-1.112499	0.867038	1.000000	0	0	301.490385	460.625000	463.802521	1423.145161	380	1751.155303	0	1	1510.230193	469.834897	14191.000000
SI	398	clock30+vol_regime	UTC22:00|LOW	692	298	773.355705	823.990556	-43.709932	-1.096371	0.863542	1.000000	0	0	336.279070	829.975962	540.744681	1383.377193	456	1234.514218	0	1	1479.197761	438.802465	24979.000000
SI	399	clock30+rung	UTC23:30|R0.050	936	423	773.191489	824.031363	-43.874147	-1.505807	0.933942	1.000000	0	0	790.905172	607.788462	766.346154	976.666667	511	2773.191489	0	1	1581.332036	540.936740	19210.000000
SI	400	clock30+dow	UTC19:30|WED	1634	728	769.776786	824.146326	-47.288851	-1.849051	0.967775	1.000000	0	0	829.104938	557.276786	785.114379	1014.392523	526	972.120536	0	1	633.723190	-406.672106	5656.500000
SI	401	clock30+dow	UTC00:30|MON	749	320	768.398437	824.007766	-48.667199	-1.558462	0.940438	1.000000	0	0	682.037037	579.837963	573.125000	1254.603659	482	1709.247312	0	1	1428.262411	387.867115	15693.000000
SI	402	clock30+family	UTC15:00|G2_REJECT	3561	1597	768.309330	824.464963	-48.756306	-2.580842	0.995072	1.000000	0	0	574.955621	723.452381	650.702980	1011.772824	1098	1725.500000	0	1	731.308997	-309.086299	21418.000000
SI	403	clock30+virgin	UTC14:30|TOUCHED	6276	2614	766.470926	824.865409	-50.594710	-4.195348	0.999986	1.000000	0	0	621.557508	739.457735	696.711460	956.991279	1911	1685.037879	0	1	737.698520	-302.696776	23111.000000
SI	404	clock30+vol_regime	UTC15:30|MID	3955	1822	765.163282	824.583148	-51.902354	-2.890065	0.998074	1.000000	0	0	779.981685	785.805556	645.803982	910.022422	1170	781.699380	0	1	704.000530	-336.394766	19497.000000
SI	405	vol_regime+dow	LOW|THU	26826	11674	763.313132	828.753358	-53.752505	-8.068239	1.000000	1.000000	0	0	495.772259	832.999058	750.240413	840.157285	6848	1180.136311	0	1	979.281322	-61.113974	21447.500000
SI	406	clock30+vol_regime	UTC16:00|HIGH	3215	1391	762.990654	824.438206	-54.074982	-2.847130	0.997794	1.000000	0	0	399.796512	639.919517	579.465318	1100.438312	2077	1742.179289	0	1	701.475706	-338.919590	17718.000000
SI	407	vol_regime	LOW	123065	54087	756.501377	859.234468	-60.564259	-22.157311	1.000000	1.000000	0	0	608.645116	802.199135	672.436962	872.073445	29929	1088.242963	0	0	966.764619	-73.630677	21301.000000
SI	408	dow	TUE	72833	31391	756.296231	840.757112	-60.769405	-16.040280	1.000000	1.000000	0	0	636.058844	793.743246	658.427020	873.001192	24021	1265.117399	0	0	987.235930	-53.159366	20907.000000
SI	409	rung+vol_regime	R0.110|LOW	13169	5763	754.348430	826.540655	-62.717207	-6.462214	1.000000	1.000000	0	0	637.570021	797.037948	679.685284	860.142518	3141	1101.145916	0	1	969.330321	-71.064975	20957.000000
SI	410	rung+dow	R0.110|TUE	7955	3406	754.189665	825.437998	-62.875971	-5.063782	1.000000	1.000000	0	0	610.671247	799.973507	669.859407	866.333152	2574	1261.373043	0	1	992.695615	-47.699681	20556.000000
SI	411	vol_regime+dow	LOW|WED	25295	11088	753.637716	829.225040	-63.427920	-8.985957	1.000000	1.000000	0	0	659.213533	707.866595	613.309751	977.202310	4485	839.818952	0	1	956.461373	-83.933923	20327.000000
SI	412	rung+vol_regime	R0.150|LOW	7471	3294	752.479508	825.422754	-64.586128	-5.062601	1.000000	1.000000	0	0	634.802632	782.926829	683.494764	857.360689	1767	1135.669516	0	1	971.283593	-69.111703	21275.000000
SI	413	clock30+dow	UTC14:30|TUE	5007	2146	751.215051	824.900297	-65.850585	-5.024350	1.000000	1.000000	0	0	550.985342	798.324916	700.405405	867.495682	1418	1165.872365	0	1	751.207788	-289.187508	23160.000000
SI	414	virgin+vol_regime	VIRGIN|HIGH	944	423	750.378251	824.092903	-66.687386	-1.986523	0.976512	1.000000	0	0	575.357143	682.232143	428.292079	1131.184211	417	2338.465909	0	1	1382.779642	342.384346	16801.500000
SI	415	clock30+rung	UTC15:30|R0.110	1259	554	750.302347	824.154806	-66.763290	-2.050067	0.979821	1.000000	0	0	569.375000	711.807432	649.117647	942.088068	443	1331.137821	0	1	698.445378	-341.949918	19586.000000
SI	416	clock30+family	UTC15:30|G1_FINE	5416	2462	748.518481	825.093640	-68.547155	-4.481444	0.999996	1.000000	0	0	521.383929	766.669279	606.245046	951.464422	1842	1476.610764	0	1	705.388662	-335.006634	19584.500000
SI	417	clock30+dow	UTC16:30|WED	1359	596	748.439597	824.181696	-68.626039	-2.347383	0.990547	1.000000	0	0	831.864407	899.028926	720.446429	674.082661	427	963.045113	0	1	716.527230	-323.868066	16015.000000
SI	418	clock30+rung	UTC15:30|R0.150	687	306	748.104575	824.042377	-68.961061	-1.573918	0.942247	1.000000	0	0	658.235294	809.554795	617.282609	847.219626	254	1486.158537	0	1	716.500000	-323.895296	19569.000000
SI	419	clock30+rung	UTC15:30|R0.050	5368	2441	747.724293	825.095775	-69.341343	-4.520288	0.999997	1.000000	0	0	517.327899	767.936321	607.949401	947.859897	1828	1474.434851	0	1	704.694930	-335.700366	19580.000000
SI	420	clock30+family	UTC19:30|G2_REJECT	504	205	746.280488	823.995915	-70.785148	-1.365402	0.913937	1.000000	0	0	844.264706	512.816092	629.166667	1058.380282	229	838.504902	0	1	557.111111	-483.284185	5477.000000
SI	421	clock30	UTC15:30	12332	5570	746.115350	826.751159	-70.950286	-7.317993	1.000000	1.000000	0	0	592.319933	757.735849	620.133215	901.523206	4238	1486.623711	0	0	702.306346	-338.088950	19592.500000
SI	422	phase+clock30	NY|UTC15:30	12332	5570	746.115350	826.751159	-70.950286	-7.317993	1.000000	1.000000	0	0	592.319933	757.735849	620.133215	901.523206	4238	1486.623711	0	1	702.306346	-338.088950	19592.500000
SI	423	clock30+vol_regime	UTC01:30|HIGH	2523	1095	745.730594	824.442761	-71.335043	-3.066570	0.998917	1.000000	0	0	198.963415	415.639535	356.237981	1192.569444	1383	2077.898352	0	1	1414.021290	373.625994	18031.000000
SI	424	clock30+family	UTC15:30|G1	4706	2114	745.425733	824.963995	-71.639903	-4.417143	0.999995	1.000000	0	0	618.252119	750.530165	617.589686	915.732628	1556	1481.966605	0	1	700.960765	-339.434531	19617.500000
SI	425	clock30+spread_state	UTC01:00|NORMAL	4703	2033	745.399656	824.922824	-71.665981	-4.396043	0.999994	1.000000	0	0	333.842593	472.257914	423.942757	1240.864662	666	3417.235577	0	1	1438.016760	397.621464	14253.000000
SI	426	family+vol_regime	G1|LOW	48046	21093	744.663395	836.170540	-72.402241	-14.792549	1.000000	1.000000	0	0	621.271368	777.027959	674.540800	855.250879	10947	1086.770098	0	1	964.733564	-75.661732	20819.500000
SI	427	clock30+rung	UTC15:30|R0.075	2760	1254	742.617624	824.548026	-74.448013	-3.586527	0.999832	1.000000	0	0	629.330986	754.892638	604.490172	922.836412	859	1558.995017	0	1	698.261489	-342.133807	19651.000000
SI	428	rung+dow	R0.150|TUE	4459	1908	742.543239	824.893915	-74.522397	-4.451744	0.999996	1.000000	0	0	634.407631	775.560345	657.588183	851.811523	1387	1340.480973	0	1	997.805880	-42.589416	20611.000000
SI	429	spread_state+dow	TIGHT|TUE	50938	22243	741.965899	837.394602	-75.099737	-16.075102	1.000000	1.000000	0	0	629.199561	784.722222	658.644717	854.246516	21863	1130.517614	0	1	955.145567	-85.249729	21217.500000
SI	430	family+dow	G1|TUE	28562	12264	741.856654	830.834880	-75.208983	-11.731976	1.000000	1.000000	0	0	624.210069	781.408918	659.336059	847.943182	8919	1271.934283	0	1	985.419492	-54.975804	20509.500000
SI	431	family+dow	G1_FINE|TUE	31303	13523	741.459735	831.651752	-75.605901	-12.305756	1.000000	1.000000	0	0	612.918399	784.815719	655.230655	843.505649	10505	1204.728336	0	1	990.614272	-49.781024	20245.000000
SI	432	spread_state+dow	NORMAL|MON	23585	10008	741.126849	829.521016	-75.938788	-10.763016	1.000000	1.000000	0	0	596.478002	680.863385	605.960354	955.401882	2261	3440.602767	0	1	1144.369870	103.974574	19900.000000
SI	433	clock30+virgin	UTC19:30|TOUCHED	630	263	740.865019	824.033704	-76.200617	-1.680663	0.953586	1.000000	0	0	844.264706	512.688679	545.000000	1028.980583	298	762.270992	0	1	556.196996	-484.198300	5518.000000
SI	434	family+vol_regime	G1_FINE|LOW	53490	23645	740.647071	838.629572	-76.418565	-16.529648	1.000000	1.000000	0	0	589.543294	778.697124	670.046795	850.420815	13109	1049.410377	0	1	971.364739	-69.030557	20541.500000
SI	435	rung+vol_regime	R0.075|LOW	27842	12226	740.641461	830.914020	-76.424175	-11.572628	1.000000	1.000000	0	0	609.313630	770.124337	674.233068	853.896273	6246	1080.621013	0	1	965.828571	-74.566725	20781.000000
SI	436	rung+dow	R0.050|TUE	31217	13469	739.866917	831.767105	-77.198720	-12.529716	1.000000	1.000000	0	0	609.574607	784.927838	650.030696	843.361140	10567	1196.979281	0	1	992.162299	-48.232997	20256.000000
SI	437	rung+dow	R0.075|TUE	16361	7047	738.710089	827.891653	-78.355547	-9.184593	1.000000	1.000000	0	0	629.229086	780.558599	655.543210	840.620053	5048	1268.737084	0	1	981.584775	-58.810521	20553.000000
SI	438	clock30+vol_regime	UTC23:30|HIGH	630	271	738.634686	824.041794	-78.430950	-1.947784	0.974280	1.000000	0	0	631.538462	591.674312	533.194444	1103.231707	658	5158.723776	0	1	1400.000000	359.604704	19326.000000
SI	439	rung+vol_regime	R0.050|LOW	53293	23551	738.425969	838.951975	-78.639667	-16.997731	1.000000	1.000000	0	0	584.537133	779.873985	666.570134	847.334480	13249	1051.785714	0	1	973.552302	-66.842994	20554.000000
SI	440	clock30+family	UTC15:30|G2_REJECT	2177	984	736.819106	824.442965	-80.246531	-3.932954	0.999958	1.000000	0	0	742.205882	700.177239	666.647510	811.621622	765	1518.387097	0	1	696.473084	-343.922212	19573.000000
SI	441	phase+clock30	LONDON|UTC05:00	2266	1042	736.134837	824.480069	-80.930799	-4.239401	0.999989	1.000000	0	0	558.243243	916.729209	581.950549		0		0	1	1261.591851	221.196555	20806.500000
SI	442	clock30+family	UTC14:30|G2_RECLAIM	1490	587	735.609029	824.225425	-81.456607	-3.210020	0.999336	1.000000	0	0	575.871212	852.236842	631.268939	917.681452	462	1337.356115	0	1	690.171062	-350.224234	22955.000000
SI	443	clock30+virgin	UTC05:00|TOUCHED	507	235	734.468085	824.028447	-82.597551	-1.885710	0.970333	1.000000	0	0	438.750000	934.953271	594.512987	615.000000	115	1323.804348	0	1	1243.704268	203.308972	20653.000000
SI	444	clock30+virgin	UTC15:30|TOUCHED	2781	1250	734.240000	824.613062	-82.825636	-4.705151	0.999999	1.000000	0	0	746.477273	716.785714	658.390208	795.128074	998	1492.758359	0	1	690.699433	-349.695863	19574.000000
SI	445	vol_regime+spread_state	LOW|TIGHT	88199	38992	734.166047	853.484616	-82.899589	-24.341491	1.000000	1.000000	0	0	600.292859	797.219260	674.985007	820.401158	29089	1054.689036	0	1	937.613048	-102.782248	21301.000000
SI	446	vol_regime+dow	LOW|TUE	23823	10699	732.307225	830.581818	-84.758411	-12.173125	1.000000	1.000000	0	0	629.362193	809.264706	774.289783	693.057800	4858	976.945150	0	1	938.803784	-101.591512	21677.000000
SI	447	clock30+vol_regime	UTC14:30|LOW	8809	3885	730.588803	826.258478	-86.476833	-8.861528	1.000000	1.000000	0	0	486.279528	706.305031	734.366468	863.102104	1668	1229.645188	0	1	737.687126	-302.708170	23340.000000
SI	448	clock30+family	UTC15:30|G2_RECLAIM	618	270	726.203704	824.062633	-90.861933	-2.694988	0.996480	1.000000	0	0	761.000000	781.989796	635.422078	754.663866	239	1446.598837	0	1	668.004202	-372.391094	19582.000000
SI	449	clock30+rung	UTC05:00|R0.050	1345	626	724.313099	824.292647	-92.752537	-3.859181	0.999943	1.000000	0	0	659.634146	906.425339	583.087248	644.425287	558	885.042373	0	1	1347.825409	307.430113	20532.000000
SI	450	phase+family	LONDON|G1_FAST_OPEN	590	267	723.230337	824.065821	-93.835299	-2.401550	0.991837	1.000000	0	0	558.513514	1020.000000	596.388889	680.629921	516	1289.812500	0	1	1380.427807	340.032511	14382.500000
SI	451	clock30+spread_state	UTC15:30|TIGHT	9235	4204	722.875238	826.669820	-94.190398	-8.570505	1.000000	1.000000	0	0	600.442346	723.912124	624.839939	865.594340	3939	1308.294076	0	1	678.032455	-362.362841	19605.000000
SI	452	clock30+dow	UTC17:30|WED	964	439	721.423690	824.181495	-95.641946	-2.549872	0.994612	1.000000	0	0	1135.312500	768.522727	567.821970	712.117834	449	971.959459	0	1	696.746425	-343.648871	12343.000000
SI	453	virgin+dow	TOUCHED|MON	13616	5895	720.515267	827.921529	-96.550369	-10.249499	1.000000	1.000000	0	0	603.058985	687.935427	607.685972	941.671366	5020	1286.990223	0	1	944.061384	-96.333912	23047.000000
SI	454	clock30+family	UTC05:00|G1_FINE	1183	546	718.969780	824.260220	-98.095856	-3.802556	0.999928	1.000000	0	0	662.261905	900.810811	581.088710	644.425287	561	885.042373	0	1	1333.661504	293.266208	20356.000000
SI	455	clock30+spread_state	UTC01:30|NORMAL	2885	1298	717.833205	824.777452	-99.232431	-5.023779	1.000000	1.000000	0	0	334.606742	411.481164	381.471519	1100.282862	352	2978.143939	0	1	1465.790770	425.395474	12537.000000
SI	456	rung+dow	R0.110|MON	8024	3373	717.090869	826.236026	-99.974768	-7.933333	1.000000	1.000000	0	0	627.070707	685.203686	644.397436	887.173165	3085	1642.115385	0	1	1034.924023	-5.471273	20700.500000
SI	457	clock30+vol_regime	UTC05:30|HIGH	2280	1044	717.066571	824.608658	-99.999065	-5.489123	1.000000	1.000000	0	0	781.523437	888.084192	618.117470	626.454248	1301	1466.018145	0	1	1416.538018	376.142722	18310.500000
SI	458	clock30+dow	UTC01:00|THU	2190	1050	716.857143	824.614198	-100.208493	-3.562263	0.999816	1.000000	0	0	303.016304	467.397959	335.118577	1352.302989	751	1047.760417	0	1	1596.363636	555.968340	14174.000000
SI	459	clock30+vol_regime	UTC00:30|HIGH	980	438	715.861872	824.196377	-101.203764	-3.277242	0.999476	1.000000	0	0	367.426471	555.142857	398.947368	1238.843284	789	1900.575540	0	1	1439.798387	399.403091	15818.500000
SI	460	vol_regime+dow	MID|MON	25093	10738	715.227230	831.859952	-101.838406	-14.870395	1.000000	1.000000	0	0	810.660782	565.311091	627.093061	970.963693	7140	878.803279	0	1	1026.413162	-13.982134	20476.000000
SI	461	clock30+dow	UTC05:00|WED	572	275	714.772727	824.085779	-102.292909	-2.401558	0.991837	1.000000	0	0	438.750000	1008.451087	516.626984	683.322368	201	745.753012	0	1	1371.962996	331.567700	20493.500000
SI	462	clock30+vol_regime	UTC05:00|MID	996	465	714.274194	824.219745	-102.791443	-3.768768	0.999918	1.000000	0	0	525.514706	912.919075	628.571429	600.803571	255	470.406504	0	1	1321.299895	280.904599	20701.000000
SI	463	clock30+dow	UTC01:00|TUE	1985	861	712.726481	824.506699	-104.339155	-4.104730	0.999980	1.000000	0	0	308.120567	527.663043	440.660622	1224.924242	713	1270.403226	0	1	1407.262783	366.867487	14197.000000
SI	464	clock30+spread_state	UTC00:30|NORMAL	861	377	711.114058	824.165657	-105.951578	-3.004335	0.998669	1.000000	0	0	486.569767	546.615646	454.651899	1212.013889	144	3220.781250	0	1	1404.882671	364.487375	15744.000000
SI	465	dow	MON	72481	30950	710.731422	851.629560	-106.334215	-27.278946	1.000000	1.000000	0	0	586.848552	689.889366	630.645581	880.924874	27520	1485.650148	0	0	1022.988607	-17.406689	20526.000000
SI	466	clock30+vol_regime	UTC18:00|HIGH	2103	914	710.030088	824.560365	-107.035549	-5.149959	1.000000	1.000000	0	0	962.948718	644.723101	451.944444	871.552795	1093	1274.671392	0	1	643.007994	-397.387302	10499.000000
SI	467	rung+dow	R0.150|MON	4565	1918	709.741919	825.304289	-107.323718	-6.301250	1.000000	1.000000	0	0	666.232877	648.356282	635.511775	890.968560	1828	1591.161741	0	1	1051.503594	11.108298	20879.000000
SI	468	clock30+vol_regime	UTC15:00|LOW	6610	3049	709.049688	826.165684	-108.015948	-9.640742	1.000000	1.000000	0	0	379.229829	678.672145	635.926996	909.110360	1116	1014.237385	0	1	700.111442	-340.283854	21675.500000
SI	469	clock30	UTC05:00	3016	1415	708.109541	824.946058	-108.956096	-6.573687	1.000000	1.000000	0	0	558.243243	916.729209	581.950549	629.819035	1144	888.397704	0	0	1334.658149	294.262853	20510.500000
SI	470	family+dow	G1_FINE|MON	32123	13769	707.599862	835.056165	-109.465774	-17.974374	1.000000	1.000000	0	0	578.110921	693.376462	638.267457	857.024022	12321	1452.449917	0	1	1035.283737	-5.111559	19574.000000
SI	471	rung+dow	R0.050|MON	32262	13808	707.069090	835.141923	-109.996546	-18.134674	1.000000	1.000000	0	0	560.902948	698.331069	631.769566	863.743658	12357	1434.519367	0	1	1036.665709	-3.729587	19676.500000
SI	472	rung+dow	R0.075|MON	16570	7075	705.265018	829.484136	-111.800619	-13.073872	1.000000	1.000000	0	0	584.543159	692.732169	642.674276	858.568548	6039	1603.185404	0	1	1026.178819	-14.216477	20255.000000
SI	473	clock30+spread_state	UTC22:30|TIGHT	585	266	704.774436	824.096455	-112.291200	-2.905539	0.998167	1.000000	0	0	470.581395	672.288732	469.841772	1128.561644	571	1659.783105	0	1	1600.398230	560.002934	22956.000000
SI	474	family+dow	G1|MON	28483	12108	704.570119	833.850148	-112.495517	-17.298585	1.000000	1.000000	0	0	608.397227	675.379396	641.228910	863.941791	10637	1596.525412	0	1	1023.947515	-16.447781	20211.000000
SI	475	clock30+family	UTC18:30|G2_REJECT	965	426	703.832160	824.220768	-113.233477	-2.907290	0.998177	1.000000	0	0	715.608108	652.085987	526.623932	950.978261	279	1048.737113	0	1	642.945205	-397.450091	8536.000000
