# PORT_M2_SHEETS_SPEC.md §2 leak fixture (D-057) (spec_sha16=44c223198086ac6b)
# params_hash=b570190719db61784ad604972cdab7e031071384cf5a374d55addd3f5d8fbbb5
series_id	avail_rule	exempt	rule_exists	file_exists	manifest_cited	verdict
CAL_BLS	SCHEDULE_EXEMPT	1	1	1	1	OK_USED
CAL_BOJ	SCHEDULE_EXEMPT	1	1	1	1	OK
CAL_FOMC	SCHEDULE_EXEMPT	1	1	1	1	OK_USED
COT_DISAGG_COPPER	COT_FRI_1530ET	0	1	1	1	OK_USED
COT_DISAGG_SILVER	COT_FRI_1530ET	0	1	1	1	OK_USED
COT_TFF_NIKKEI	COT_FRI_1530ET	0	1	1	1	OK_USED
FRED_DEXCHUS	H10_NEXT_MONDAY	0	1	1	1	OK_USED
FRED_DEXJPUS	H10_NEXT_MONDAY	0	1	1	1	OK_USED
FRED_DFII10	NEXT_US_BD	0	1	1	1	OK_USED
FRED_DGS10	NEXT_US_BD	0	1	1	1	OK_USED
FRED_DTWEXBGS	H10_NEXT_MONDAY	0	1	1	1	OK_USED
FRED_T10YIE	NEXT_US_BD	0	1	1	1	OK_USED
GOLD_SILVER_RATIO	NEXT_US_BD	0	1	1	1	OK_USED
GVZ	NEXT_US_BD	0	1	1	1	OK_USED
JGB_10Y	NEXT_JST_BD_1500	0	1	1	1	OK_USED
NIKKEI_VI	NEXT_JST_BD_0000	0	1	1	1	OK_USED
RVX	NEXT_US_BD	0	1	1	1	OK_USED
SHFE_INV_COPPER	NEXT_CN_BD_0000	0	1	1	1	OK_USED
SHFE_INV_SILVER	NEXT_CN_BD_0000	0	1	1	1	OK_USED
SLV_FLOW_OZ	NEXT_US_BD	0	1	1	1	OK_USED
VIX	NEXT_US_BD	0	1	1	1	OK_USED
