# PORT_M1_SPEC.md §2 confirmation-decay (m1_spec_sha16=ce0a8ca16e342cd7)
# params_hash=7c1b3f49dde6bcd29ca9789a68e941b42e391e44e7f0b9c345a90e08cdf674ae
# rule: largest tau <= 120 with decay < 0.015 AND MAE inflation < 0.05; floored at 30s
# era = FIT_2021_2024 (FIT only, per the era law)
asset	reading	population	value_col	mae_col	tau_sec	passes_rule	value_decay	mae_inflation	tau_star_of_reading
HG	close_1kclass	K1K_AT_TAU0	value_decay	mae_peak_inflation	0	1	0.000000	0.000000	30
HG	close_1kclass	K1K_AT_TAU0	value_decay	mae_peak_inflation	15	1	0.010097	-0.008916	30
HG	close_1kclass	K1K_AT_TAU0	value_decay	mae_peak_inflation	30	1	0.014979	-0.011073	30
HG	close_1kclass	K1K_AT_TAU0	value_decay	mae_peak_inflation	60	0	0.023985	-0.015701	30
HG	close_1kclass	K1K_AT_TAU0	value_decay	mae_peak_inflation	90	0	0.028367	-0.017574	30
HG	close_1kclass	K1K_AT_TAU0	value_decay	mae_peak_inflation	120	0	0.034631	-0.018199	30
NKD	PRIMARY_peak_all	ALL	value_decay_peakvariant	mae_peak_inflation	0	1	0.000000	0.000000	120
NKD	PRIMARY_peak_all	ALL	value_decay_peakvariant	mae_peak_inflation	15	1	-0.003412	-0.016071	120
NKD	PRIMARY_peak_all	ALL	value_decay_peakvariant	mae_peak_inflation	30	1	-0.003557	-0.015993	120
NKD	PRIMARY_peak_all	ALL	value_decay_peakvariant	mae_peak_inflation	60	1	-0.003378	-0.019554	120
NKD	PRIMARY_peak_all	ALL	value_decay_peakvariant	mae_peak_inflation	90	1	-0.001341	-0.019253	120
NKD	PRIMARY_peak_all	ALL	value_decay_peakvariant	mae_peak_inflation	120	1	-0.000382	-0.019115	120
NKD	SPEC_LITERAL_close_all	ALL	value_decay	mae_peak_inflation	0	1	0.000000	0.000000	30
NKD	SPEC_LITERAL_close_all	ALL	value_decay	mae_peak_inflation	15	0	0.048981	-0.016071	30
NKD	SPEC_LITERAL_close_all	ALL	value_decay	mae_peak_inflation	30	0	0.054759	-0.015993	30
NKD	SPEC_LITERAL_close_all	ALL	value_decay	mae_peak_inflation	60	0	0.038192	-0.019554	30
NKD	SPEC_LITERAL_close_all	ALL	value_decay	mae_peak_inflation	90	0	0.039281	-0.019253	30
NKD	SPEC_LITERAL_close_all	ALL	value_decay	mae_peak_inflation	120	0	0.047278	-0.019115	30
NKD	close_all_maehold	ALL	value_decay	mae_hold_inflation	0	1	0.000000	0.000000	30
NKD	close_all_maehold	ALL	value_decay	mae_hold_inflation	15	0	0.048981	-0.005138	30
NKD	close_all_maehold	ALL	value_decay	mae_hold_inflation	30	0	0.054759	-0.006284	30
NKD	close_all_maehold	ALL	value_decay	mae_hold_inflation	60	0	0.038192	-0.007408	30
NKD	close_all_maehold	ALL	value_decay	mae_hold_inflation	90	0	0.039281	-0.009129	30
NKD	close_all_maehold	ALL	value_decay	mae_hold_inflation	120	0	0.047278	-0.009682	30
NKD	peak_all_maehold	ALL	value_decay_peakvariant	mae_hold_inflation	0	1	0.000000	0.000000	120
NKD	peak_all_maehold	ALL	value_decay_peakvariant	mae_hold_inflation	15	1	-0.003412	-0.005138	120
NKD	peak_all_maehold	ALL	value_decay_peakvariant	mae_hold_inflation	30	1	-0.003557	-0.006284	120
NKD	peak_all_maehold	ALL	value_decay_peakvariant	mae_hold_inflation	60	1	-0.003378	-0.007408	120
NKD	peak_all_maehold	ALL	value_decay_peakvariant	mae_hold_inflation	90	1	-0.001341	-0.009129	120
NKD	peak_all_maehold	ALL	value_decay_peakvariant	mae_hold_inflation	120	1	-0.000382	-0.009682	120
NKD	close_1kclass	K1K_AT_TAU0	value_decay	mae_peak_inflation	0	1	0.000000	0.000000	30
NKD	close_1kclass	K1K_AT_TAU0	value_decay	mae_peak_inflation	15	1	0.014099	-0.017488	30
NKD	close_1kclass	K1K_AT_TAU0	value_decay	mae_peak_inflation	30	0	0.023392	-0.023298	30
NKD	close_1kclass	K1K_AT_TAU0	value_decay	mae_peak_inflation	60	0	0.037077	-0.028711	30
NKD	close_1kclass	K1K_AT_TAU0	value_decay	mae_peak_inflation	90	0	0.047254	-0.034805	30
NKD	close_1kclass	K1K_AT_TAU0	value_decay	mae_peak_inflation	120	0	0.054623	-0.037170	30
