key	value
status	PLAN_PROBE_NONPROMOTABLE_UNCOMMITTED_SOURCE
raw_payload_opened	false
payload_launch_authorized	false
base_commit	ab3940bcd5b188844f84f175d367e3df7ea17446
base_engine_tree_object	3da372c6abbd1bf0045b0961c01c60ace7df9c11
base_git_tree_zlist_sha256	50805bedafb15ac5f4390970421caaa2b716f543c441395daf3b216f2befe046
base_byte_merkle_v1_sha256	5fc81c779a52a7eee73256368589c571671605fb48f5d464fb2ad48a8af513bd
base_git_validation_sha256	7a3292c8c9a650e7409f838f688d765f333c3667189ac529b94c3efd1b3aa1c0
base_regular_files	895
base_symlinks	0
base_bytes	160235381
base_blob_matches	895
card_sha256	3f7d1820f250e814f186f49ae5e830c9f250905561d73e01740794f6c637743d
reader_addendum_sha256	667ff4116338573c3ffddace170862ace8950244b58ec28f3e691dad04299226
canonical_engine_relative_patch_sha256	8cfb722a5e75af5f20e6845d65b4bad02399c6882cc167be734a100f62267cc1
canonical_patch_paths	engine/Cargo.lock,engine/crates/select_v2/Cargo.toml,engine/crates/select_v2/src/sources/mod.rs,engine/crates/select_v2/src/sources/causal_probe.rs,engine/crates/select_v2/src/bin/v33_causal_raw_adapter.rs
clean_replay_status	PASS
clean_replay_proof_sha256	f8f779c720fa1ec4641948ba90166091ed1c8ba063b56b9de5cfad8371a689a7
clean_replay_apply_log_sha256	2cac984f6d703617b9170372dee7f81724c6905a6f6d067dd29ce22294bd6e0e
clean_replay_files	897
clean_replay_bytes_exact	true
clean_replay_executable_bits_exact	true
causal_probe_source_sha256	9126cc81a55c8cef45d655ce8536fee284283901a3937555da3a62334dd18b16
patched_sources_mod_sha256	3d959df1569787910ffead99b3c4cfe2d88b6bfcf4cfb92e9d7a19e0853688d3
publisher_source_sha256	440d04e41f080a354020b2e37f7d7ad017d8e6ec59a0293433dbac3347986208
patched_select_v2_cargo_toml_sha256	f24e1915ba55517e2171c8a37c1930d4260f455c336bfda2382819a5f119ed8f
patched_cargo_lock_sha256	64fe8f5c9b11325f96cbe9e2a78247b1b5f2aa97dc2c6448665f7d397f17e6b3
cargo_metadata_nodeps_sha256	0eb13aca7cb5a41f1af9725f2738473e7bcbd537ee75f2287668ec2487177939
cargo_tree_select_v2_sha256	59b55533228f5416438a1eee33a03992fbaeea06afb8fa1dc16429eb5b32df7e
build_recipe_sha256	3643590f7e9bd3669af8983313541d8931d704a9b7e5fc1e23a7d83acaa6e355
rename_noreplace_source_sha256	c57a1a01d91d7b8a280d39c69ac870f17d40367d575b316cc85d8a6ad1a8f731
rename_noreplace_binary_sha256	362ab0c3d52683d3a25eaca2cd61a9eeb21a6e052596dd6cc323a9e9416949d6
inner_release_binary_sha256	b8ac60db800eea8f35f947570a90f3ba0db4176bae0d51f0b1450512d75dbf43
rustc	1.97.1 (8bab26f4f68e0e26f0bb7960be334d5b520ea452)
cargo	1.97.1 (c980f4866141969fab6254a680546a277789d6f0)
llvm	22.1.6
host	x86_64-unknown-linux-gnu
cc	Ubuntu 13.3.0-6ubuntu2~24.04.1
build_environment	CARGO_NET_OFFLINE=true;CARGO_INCREMENTAL=0;SOURCE_DATE_EPOCH=0;TZ=UTC;LC_ALL=C;CARGO_TARGET_DIR=/workspace/artifacts/cache/ctpool-a
cargo_check_status	PASS
cargo_check_log_sha256	50e8fc30b254e41d7a4b7f3bbb68688cff6fce589f30d2f3e88a87066309133b
fixture_status	PASS_16_OF_16
cargo_test_log_sha256	958490693d9d84531e1e2a7e06f10c21276000b01ee8607e608496266eb532da
fixture_scope	ASCII/Unicode timestamp;input/output redirect;null-main/all-rowgroup;quote/trade/option production constructors;compact/wide;strict/equal/future/missing;invalid numeric;source drift/path replacement;census mutants;noreplace;two-run bytes
probe_ordinals	125,500,625
probe_days	2022-07-05,2023-12-29,2024-07-01
scientific_symbol	IWM
forbidden_ordinal_floor	750
forbidden_payload_year	2026
forbidden_symbol	RTY
direct_inner_probe	REFUSED_WITHOUT_PREFLIGHT_FDS
payload_api_after_external_green	v33_causal_preflight --probe RUN_NAME
