thread_id	session_id	parent_thread_id	thread_source	agent_path	relative_path	cutoff_bytes	prefix_sha256	valid_json_records	malformed_physical_lines
019fe17c-e113-78f2-bd5f-2b39f35b4c98	019fe17c-e113-78f2-bd5f-2b39f35b4c98		user		2026/08/08/rollout-2026-08-08T13-08-05-019fe17c-e113-78f2-bd5f-2b39f35b4c98.jsonl	945975	e28d055f788cbdf3ffdfb523f513bc2d11cf4a8502653a16b45280ff34efec59	74	0
019fe186-52b1-7e12-8e2a-21cdec8c6ca9	019fe186-52b1-7e12-8e2a-21cdec8c6ca9		user		2026/08/08/rollout-2026-08-08T13-18-24-019fe186-52b1-7e12-8e2a-21cdec8c6ca9.jsonl	46750475	0a785fd869aac3518ae3237aab927f7180257d4aa9599def273004a156deca7e	2697	0
019fe1ef-1314-72d3-ad60-8748f1ecb161	019fe1ef-1314-72d3-ad60-8748f1ecb161		user		2026/08/08/rollout-2026-08-08T15-12-49-019fe1ef-1314-72d3-ad60-8748f1ecb161.jsonl	515933942	b781bfb632e80b5e7d8b3c70652d191e5524102d3673a141e78bd4c67493e7dc	54526	14
019fe1f0-a8b3-78c0-b66f-0ece383f2c48	019fe1ef-1314-72d3-ad60-8748f1ecb161	019fe1ef-1314-72d3-ad60-8748f1ecb161	subagent	/root/archive_git_audit	2026/08/08/rollout-2026-08-08T15-14-33-019fe1f0-a8b3-78c0-b66f-0ece383f2c48.jsonl	6517669	6676a5a5a3db5021baf3c352850dad05331eef8658df60158a840bbc69d60e83	312	0
019fe1f0-c887-7fd2-b2b3-9c06d019095a	019fe1ef-1314-72d3-ad60-8748f1ecb161	019fe1ef-1314-72d3-ad60-8748f1ecb161	subagent	/root/archive_transcript_audit	2026/08/08/rollout-2026-08-08T15-14-41-019fe1f0-c887-7fd2-b2b3-9c06d019095a.jsonl	1132156	075e3ee307c9b12dd548d58dde73af51a7e7560e700a36e9a6f89fec0b40f61f	221	0
019fe1f0-ea8e-79d1-9961-0ad90c1ee4d0	019fe1ef-1314-72d3-ad60-8748f1ecb161	019fe1ef-1314-72d3-ad60-8748f1ecb161	subagent	/root/archive_sample_audit	2026/08/08/rollout-2026-08-08T15-14-50-019fe1f0-ea8e-79d1-9961-0ad90c1ee4d0.jsonl	5450804	f537f5245f2015d169c63337b21cf2b5024513395e1963bd6089093528450328	367	0
019fe1ff-e5cb-74e2-8138-ba6e8ae54e17	019fe1ef-1314-72d3-ad60-8748f1ecb161	019fe1ef-1314-72d3-ad60-8748f1ecb161	subagent	/root/archive_builder_impl	2026/08/08/rollout-2026-08-08T15-31-12-019fe1ff-e5cb-74e2-8138-ba6e8ae54e17.jsonl	1265984	30e79463929c314d4182b57367feb02898c651a55f5626bbf0825fd270c3cbcc	118	0
019fe6e0-d52b-71d1-95f1-c9d645e2cda5	019fe1ef-1314-72d3-ad60-8748f1ecb161	019fe1ef-1314-72d3-ad60-8748f1ecb161	subagent	/root/hardware_opt	2026/08/09/rollout-2026-08-09T14-15-22-019fe6e0-d52b-71d1-95f1-c9d645e2cda5.jsonl	810870	9f494197aa37edecd8a5cbdbf0c1a435562c27633200dae429025a407d39b06a	165	0
019fe6e0-f3ff-79c2-b25c-91612fffbe41	019fe1ef-1314-72d3-ad60-8748f1ecb161	019fe1ef-1314-72d3-ad60-8748f1ecb161	subagent	/root/fold6_input	2026/08/09/rollout-2026-08-09T14-15-30-019fe6e0-f3ff-79c2-b25c-91612fffbe41.jsonl	565936	b54b4066e6087ddf98bca1940b3e764e6e3de45427eccc01eb449694ba2e0661	104	0
019fe6e1-15cd-7d73-9da5-e5d92dd28c4b	019fe1ef-1314-72d3-ad60-8748f1ecb161	019fe1ef-1314-72d3-ad60-8748f1ecb161	subagent	/root/oi_adversarial	2026/08/09/rollout-2026-08-09T14-15-38-019fe6e1-15cd-7d73-9da5-e5d92dd28c4b.jsonl	3924392	a7320c15aba5e024f38db6af62e474cee8f24b8755ec67106ef6fbdf05b830a5	375	0
019fe6e4-eaac-7a81-9484-22f0c5878a1f	019fe1ef-1314-72d3-ad60-8748f1ecb161	019fe1ef-1314-72d3-ad60-8748f1ecb161	subagent	/root/oi_horizon	2026/08/09/rollout-2026-08-09T14-19-49-019fe6e4-eaac-7a81-9484-22f0c5878a1f.jsonl	1362930	c5b56714cee3e308c027f8b51891fbcd5613554663b996e77a422da4fc02681f	216	0
019fe6e9-719c-7761-bef7-b5fed64aa5e2	019fe1ef-1314-72d3-ad60-8748f1ecb161	019fe1ef-1314-72d3-ad60-8748f1ecb161	subagent	/root/raw_modality_route	2026/08/09/rollout-2026-08-09T14-24-46-019fe6e9-719c-7761-bef7-b5fed64aa5e2.jsonl	9325635	0858d15fb797f6112b75958baa38b8d1f1c1ff7ada738b313745b7ab2b818760	439	0
019fe70f-96f3-7951-a517-dfb743c8e645	019fe1ef-1314-72d3-ad60-8748f1ecb161	019fe1ef-1314-72d3-ad60-8748f1ecb161	subagent	/root/event_generation_audit	2026/08/09/rollout-2026-08-09T15-06-26-019fe70f-96f3-7951-a517-dfb743c8e645.jsonl	6224518	baad3f4e426c198f4441551c9ad63fc1c6b58ac310d3ea7a339a9b98da1e9cda	597	0
019fe710-945f-7e30-80cf-d1468068f138	019fe1ef-1314-72d3-ad60-8748f1ecb161	019fe1ef-1314-72d3-ad60-8748f1ecb161	subagent	/root/video_pdf_audit	2026/08/09/rollout-2026-08-09T15-07-31-019fe710-945f-7e30-80cf-d1468068f138.jsonl	13068495	39ea022c1a8b32ce4873bb6f4eb8e3c96b5bf0210123d56f531e54d27a9583bf	399	0
019fe71d-6c0e-7ae3-bdb1-618aea4a1dfa	019fe1ef-1314-72d3-ad60-8748f1ecb161	019fe1ef-1314-72d3-ad60-8748f1ecb161	subagent	/root/sequence_failure_audit	2026/08/09/rollout-2026-08-09T15-21-33-019fe71d-6c0e-7ae3-bdb1-618aea4a1dfa.jsonl	37639687	8d0ea98138f85bb1471d86d65079ab9289a844c8505dfd1023f5e238a1d893e0	5886	2
019fe734-7dae-7423-989c-8222c76cf20b	019fe1ef-1314-72d3-ad60-8748f1ecb161	019fe1ef-1314-72d3-ad60-8748f1ecb161	subagent	/root/raw_causal_tournament	2026/08/09/rollout-2026-08-09T15-46-44-019fe734-7dae-7423-989c-8222c76cf20b.jsonl	3276890	4add868374d0f023138b6119d5661b733663af8020638b7fbdcb65a3c24bf7bb	376	0
