segment	block	era_label	arm	k	rule	ratchet_arm	days	realized_day	picked_day	entered_cert_day	capture_pct	capture_entered_pct	median_day	worst_day	best_day	sd_day	loss_days_pct	trades_day	trade_mean	max_trade_loss	max_trade_gain	win_rate	stop_rate	hold_min	winner_trade_mean	dud_trade_mean	winner_share
e	blind_e3	2023-09-15..10-13 control	v2	3	close	854.14	20	134.38800000000003	1459.435	776.833	9.20822098962955	17.299471057485977	145.54	-907.1800000000001	1312.14	661.9703665391677	45.0	1.45	92.68137931034484	-320.86	1381.34	37.93103448275862	62.06896551724138	169.80459770114942	740.07	-248.04947368421054	34.48275862068966
e	blind_e3	2023-09-15..10-13 control	v2	3	mirror@0.75	854.14	20	113.726	1459.435	1402.446	7.792467633022369	8.109117926822139	50.46999999999999	-288.28	1317.1200000000001	370.0057247178752	45.0	2.9	39.21586206896553	-322.26	869.14	43.103448275862064	1.7241379310344827	8.307758620689656	149.17499999999998	-18.657368421052627	34.48275862068966
e	blind_e3	2023-09-15..10-13 control	v2	3	mirror@1.00	854.14	20	110.168	1459.435	1424.423	7.5486746583438125	7.734219399714832	-13.880000000000003	-317.58	1282.52	415.73805019026105	50.0	2.95	37.34508474576271	-151.66	924.44	38.983050847457626	0.0	13.195197740112995	167.41	-29.354871794871798	33.89830508474576
e	blind_e3	2023-09-15..10-13 control	v2	3	mirror@1.50	854.14	20	137.95399999999998	1459.435	1062.479	9.452562121642963	12.984162510506087	-28.369999999999997	-457.58000000000004	1610.84	525.9972445973458	55.00000000000001	2.1	65.69238095238094	-311.76	1610.84	42.857142857142854	16.666666666666664	35.28214285714286	370.65999999999997	-103.73407407407409	35.714285714285715
e	blind_e3	2023-09-15..10-13 control	v2	3	mirror@1.00+patience15	854.14	20	150.466	1459.435	1235.361	10.3098801933625	12.179921496631348	77.46	-470.08000000000004	1271.02	391.75328410110365	35.0	2.4	62.69416666666668	-332.56	924.44	56.25	10.416666666666668	20.54513888888889	251.41647058823528	-40.798709677419346	35.41666666666667
e	blind_e3	2023-09-15..10-13 control	v2	3	mirror@1.00+ratchet	854.14	20	110.168	1459.435	1424.423	7.5486746583438125	7.734219399714832	-13.880000000000003	-317.58	1282.52	415.73805019026105	50.0	2.95	37.34508474576271	-151.66	924.44	38.983050847457626	0.0	13.195197740112995	167.41	-29.354871794871798	33.89830508474576
e	blind_e3	2023-09-15..10-13 control	v2	3	oracle	854.14	20	885.9779999999998	1459.435	881.423	60.70691740296758	100.51677798287541	1011.5	-16.21999999999997	1845.14	502.7731716748618	5.0	1.7	521.1635294117647	-322.26	1845.14	88.23529411764706	11.76470588235294	94.9450980392157	1166.916923076923	121.41142857142856	38.23529411764706
e	blind_e3	2023-09-15..10-13 control	v2	5	close	854.14	20	48.11600000000002	2203.1549999999997	794.786	2.1839589134672788	6.053956662548161	-117.40000000000002	-907.1800000000001	1036.14	575.0233446948046	50.0	1.65	29.161212121212134	-320.86	1381.34	33.33333333333333	66.66666666666666	161.06717171717173	603.1127272727273	-257.81454545454545	33.33333333333333
e	blind_e3	2023-09-15..10-13 control	v2	5	mirror@0.75	854.14	20	50.578	2203.1549999999997	2151.093	2.2957077463909714	2.351269796331447	-34.60000000000001	-356.09999999999997	1108.8999999999999	337.7691053900578	55.00000000000001	4.7	10.76127659574468	-322.26	869.14	37.234042553191486	3.1914893617021276	7.681382978723405	106.05875	-38.42451612903226	34.04255319148936
e	blind_e3	2023-09-15..10-13 control	v2	5	mirror@1.00	854.14	20	83.99	2203.1549999999997	2149.42	3.812260145110081	3.907565761926473	-34.900000000000006	-514.4	1119.8000000000002	430.853945160074	50.0	4.75	17.68210526315789	-306.56	924.44	37.89473684210527	1.0526315789473684	12.893333333333334	125.47125	-37.0679365079365	33.68421052631579
