# PORT_M1B_SPEC.md S1.1 D-052 relevance re-verification (CC-M1-1 B on levels_v4) (spec_sha16=d31f48b59877e44d)
# params_hash=0b5cbf7cb836908fbdf8eeefc73b7a70e7d6be52c3ef3fd44eb80f150b165f7a
# family levels displaced +0.5 x ATR14 / mult, sign alternating by level index within the family (deterministic)
# a level counts only when it is ACTIVE (created_sec <= extreme second) and, if segment-scoped, when the extreme falls inside its own phase
# lift < 1.5 AND exclusive union-DP add < $150/day
# DENOMINATOR LAW: an extreme is scored for a family only where that family declares an ACTIVE, in-scope level; capture and its displaced null share that denominator
asset	level_family	era	n_scored_extremes	n_hit	capture	n_hit_null	null_capture	lift	n_g2_candidates	conditional_value_usd	n_positive	exclusive_dp_add_median_usd	decision
HG	PRIOR_DAY	2024	414	55	0.132850	31	0.074879	1.774194	5303	533.868196	2517	0.000000	
HG	PRIOR_DAY	2025	720	93	0.129167	57	0.079167	1.631579	5303	533.868196	2517	0.000000	
HG	PRIOR_DAY	ALL	2664	326	0.122372	195	0.073198	1.671795	5303	533.868196	2517	0.000000	
HG	PRIOR_DAY	FIT_2021_2024	1944	233	0.119856	138	0.070988	1.688406	5303	533.868196	2517	0.000000	KEEP
HG	PRIOR_DAY	GATE_2025	720	93	0.129167	57	0.079167	1.631579	5303	533.868196	2517	0.000000	
HG	PRIOR_WEEK	2021	578	21	0.036332	15	0.025952	1.400000					
HG	PRIOR_WEEK	2022	686	19	0.027697	22	0.032070	0.863636					
HG	PRIOR_WEEK	2023	266	10	0.037594	6	0.022556	1.666667					
HG	PRIOR_WEEK	2024	414	18	0.043478	8	0.019324	2.250000					
HG	PRIOR_WEEK	2025	720	25	0.034722	19	0.026389	1.315789					
HG	PRIOR_WEEK	ALL	2664	93	0.034910	70	0.026276	1.328571					
HG	PRIOR_WEEK	FIT_2021_2024	1944	68	0.034979	51	0.026235	1.333333					RETIRE
HG	PRIOR_WEEK	GATE_2025	720	25	0.034722	19	0.026389	1.315789					
HG	PROFILE	2021	578	276	0.477509	303	0.524221	0.910891					
HG	PROFILE	2022	686	312	0.454810	404	0.588921	0.772277					
HG	PROFILE	2023	266	108	0.406015	132	0.496241	0.818182					
HG	PROFILE	2024	414	191	0.461353	210	0.507246	0.909524					
HG	PROFILE	2025	720	350	0.486111	427	0.593056	0.819672					
HG	PROFILE	ALL	2664	1237	0.464339	1476	0.554054	0.838076					
HG	PROFILE	FIT_2021_2024	1944	887	0.456276	1049	0.539609	0.845567					RETIRE
HG	PROFILE	GATE_2025	720	350	0.486111	427	0.593056	0.819672					
HG	ROUND	2021	578	114	0.197232	127	0.219723	0.897638					
HG	ROUND	2022	686	112	0.163265	148	0.215743	0.756757					
HG	ROUND	2023	266	33	0.124060	40	0.150376	0.825000					
HG	ROUND	2024	414	61	0.147343	85	0.205314	0.717647					
HG	ROUND	2025	720	140	0.194444	159	0.220833	0.880503					
HG	ROUND	ALL	2664	460	0.172673	559	0.209835	0.822898					
HG	ROUND	FIT_2021_2024	1944	320	0.164609	400	0.205761	0.800000					RETIRE
HG	ROUND	GATE_2025	720	140	0.194444	159	0.220833	0.880503					
HG	VWAP	2021	578	496	0.858131	250	0.432526	1.984000	38350	580.462921	17476	0.000000	
HG	VWAP	2022	686	589	0.858601	312	0.454810	1.887821	38350	580.462921	17476	0.000000	
HG	VWAP	2023	266	220	0.827068	111	0.417293	1.981982	38350	580.462921	17476	0.000000	
HG	VWAP	2024	413	349	0.845036	166	0.401937	2.102410	38350	580.462921	17476	0.000000	
HG	VWAP	2025	718	580	0.807799	331	0.461003	1.752266	38350	580.462921	17476	0.000000	
HG	VWAP	ALL	2661	2234	0.839534	1170	0.439684	1.909402	38350	580.462921	17476	0.000000	
HG	VWAP	FIT_2021_2024	1943	1654	0.851261	839	0.431806	1.971395	38350	580.462921	17476	0.000000	KEEP
HG	VWAP	GATE_2025	718	580	0.807799	331	0.461003	1.752266	38350	580.462921	17476	0.000000	
NKD	DEV_POC	2021	479	16	0.033403	16	0.033403	1.000000					
NKD	DEV_POC	2022	583	17	0.029160	27	0.046312	0.629630					
NKD	DEV_POC	2023	491	13	0.026477	23	0.046843	0.565217					
NKD	DEV_POC	2024	925	46	0.049730	46	0.049730	1.000000					
NKD	DEV_POC	2025	900	46	0.051111	49	0.054444	0.938776					
NKD	DEV_POC	ALL	3378	138	0.040853	161	0.047661	0.857143					
NKD	DEV_POC	FIT_2021_2024	2478	92	0.037127	112	0.045198	0.821429					RETIRE
NKD	DEV_POC	GATE_2025	900	46	0.051111	49	0.054444	0.938776					
NKD	FVOL_BAND	2021	496	118	0.237903	47	0.094758	2.510638	24008	728.857543	10182	0.000000	
NKD	FVOL_BAND	2022	602	375	0.622924	201	0.333887	1.865672	24008	728.857543	10182	0.000000	
NKD	FVOL_BAND	2023	504	280	0.555556	143	0.283730	1.958042	24008	728.857543	10182	0.000000	
NKD	FVOL_BAND	2024	948	586	0.618143	242	0.255274	2.421488	24008	728.857543	10182	0.000000	
NKD	FVOL_BAND	2025	936	572	0.611111	230	0.245726	2.486957	24008	728.857543	10182	0.000000	
NKD	FVOL_BAND	ALL	3486	1931	0.553930	863	0.247562	2.237543	24008	728.857543	10182	0.000000	
NKD	FVOL_BAND	FIT_2021_2024	2550	1359	0.532941	633	0.248235	2.146919	24008	728.857543	10182	0.000000	KEEP
NKD	FVOL_BAND	GATE_2025	936	572	0.611111	230	0.245726	2.486957	24008	728.857543	10182	0.000000	
NKD	FVOL_LADDER	2021	416	200	0.480769	103	0.247596	1.941748	25087	712.207731	10658	0.000000	
NKD	FVOL_LADDER	2022	602	405	0.672757	223	0.370432	1.816143	25087	712.207731	10658	0.000000	
NKD	FVOL_LADDER	2023	504	269	0.533730	116	0.230159	2.318966	25087	712.207731	10658	0.000000	
NKD	FVOL_LADDER	2024	948	515	0.543249	180	0.189873	2.861111	25087	712.207731	10658	0.000000	
NKD	FVOL_LADDER	2025	936	516	0.551282	160	0.170940	3.225000	25087	712.207731	10658	0.000000	
NKD	FVOL_LADDER	ALL	3406	1905	0.559307	782	0.229595	2.436061	25087	712.207731	10658	0.000000	
NKD	FVOL_LADDER	FIT_2021_2024	2470	1389	0.562348	622	0.251822	2.233119	25087	712.207731	10658	0.000000	KEEP
NKD	FVOL_LADDER	GATE_2025	936	516	0.551282	160	0.170940	3.225000	25087	712.207731	10658	0.000000	
NKD	FVOL_LADDER_RS	2021	416	204	0.490385	107	0.257212	1.906542					
NKD	FVOL_LADDER_RS	2022	602	396	0.657807	219	0.363787	1.808219					
NKD	FVOL_LADDER_RS	2023	504	278	0.551587	117	0.232143	2.376068					
NKD	FVOL_LADDER_RS	2024	948	504	0.531646	171	0.180380	2.947368					
NKD	FVOL_LADDER_RS	2025	936	503	0.537393	155	0.165598	3.245161					
NKD	FVOL_LADDER_RS	ALL	3406	1885	0.553435	769	0.225778	2.451235					
NKD	FVOL_LADDER_RS	FIT_2021_2024	2470	1382	0.559514	614	0.248583	2.250814					KEEP
NKD	FVOL_LADDER_RS	GATE_2025	936	503	0.537393	155	0.165598	3.245161					
NKD	NDAY	2021	496	36	0.072581	27	0.054435	1.333333	2607	740.619469	1130	0.000000	
NKD	NDAY	2022	602	45	0.074751	28	0.046512	1.607143	2607	740.619469	1130	0.000000	
NKD	NDAY	2023	504	31	0.061508	28	0.055556	1.107143	2607	740.619469	1130	0.000000	
NKD	NDAY	2024	948	81	0.085443	36	0.037975	2.250000	2607	740.619469	1130	0.000000	
NKD	NDAY	2025	936	83	0.088675	31	0.033120	2.677419	2607	740.619469	1130	0.000000	
NKD	NDAY	ALL	3486	276	0.079174	150	0.043029	1.840000	2607	740.619469	1130	0.000000	
NKD	NDAY	FIT_2021_2024	2550	193	0.075686	119	0.046667	1.621849	2607	740.619469	1130	0.000000	KEEP
NKD	NDAY	GATE_2025	936	83	0.088675	31	0.033120	2.677419	2607	740.619469	1130	0.000000	
NKD	OR_EXT	2021	53	23	0.433962	9	0.169811	2.555556	2543	388.778179	1109	0.000000	
NKD	OR_EXT	2022	72	45	0.625000	6	0.083333	7.500000	2543	388.778179	1109	0.000000	
NKD	OR_EXT	2023	82	37	0.451220	5	0.060976	7.400000	2543	388.778179	1109	0.000000	
NKD	OR_EXT	2024	98	50	0.510204	5	0.051020	10.000000	2543	388.778179	1109	0.000000	
NKD	OR_EXT	2025	101	72	0.712871	3	0.029703	24.000000	2543	388.778179	1109	0.000000	
NKD	OR_EXT	ALL	406	227	0.559113	28	0.068966	8.107143	2543	388.778179	1109	0.000000	
NKD	OR_EXT	FIT_2021_2024	305	155	0.508197	25	0.081967	6.200000	2543	388.778179	1109	0.000000	KEEP
NKD	OR_EXT	GATE_2025	101	72	0.712871	3	0.029703	24.000000	2543	388.778179	1109	0.000000	
NKD	PHASE_HL	2021	496	156	0.314516	102	0.205645	1.529412	14125	693.739616	6139	0.000000	
NKD	PHASE_HL	2022	602	189	0.313953	146	0.242525	1.294521	14125	693.739616	6139	0.000000	
NKD	PHASE_HL	2023	504	166	0.329365	107	0.212302	1.551402	14125	693.739616	6139	0.000000	
NKD	PHASE_HL	2024	948	344	0.362869	194	0.204641	1.773196	14125	693.739616	6139	0.000000	
NKD	PHASE_HL	2025	936	352	0.376068	200	0.213675	1.760000	14125	693.739616	6139	0.000000	
NKD	PHASE_HL	ALL	3486	1207	0.346242	749	0.214859	1.611482	14125	693.739616	6139	0.000000	
NKD	PHASE_HL	FIT_2021_2024	2550	855	0.335294	549	0.215294	1.557377	14125	693.739616	6139	0.000000	KEEP
NKD	PHASE_HL	GATE_2025	936	352	0.376068	200	0.213675	1.760000	14125	693.739616	6139	0.000000	
NKD	PRIOR_DAY	2021	496	65	0.131048	27	0.054435	2.407407	4804	688.753065	2039	0.000000	
NKD	PRIOR_DAY	2022	602	77	0.127907	50	0.083056	1.540000	4804	688.753065	2039	0.000000	
NKD	PRIOR_DAY	2023	504	62	0.123016	47	0.093254	1.319149	4804	688.753065	2039	0.000000	
NKD	PRIOR_DAY	2024	948	141	0.148734	69	0.072785	2.043478	4804	688.753065	2039	0.000000	
NKD	PRIOR_DAY	2025	936	114	0.121795	70	0.074786	1.628571	4804	688.753065	2039	0.000000	
NKD	PRIOR_DAY	ALL	3486	459	0.131670	263	0.075445	1.745247	4804	688.753065	2039	0.000000	
NKD	PRIOR_DAY	FIT_2021_2024	2550	345	0.135294	193	0.075686	1.787565	4804	688.753065	2039	0.000000	KEEP
NKD	PRIOR_DAY	GATE_2025	936	114	0.121795	70	0.074786	1.628571	4804	688.753065	2039	0.000000	
NKD	PRIOR_WEEK	2021	496	14	0.028226	10	0.020161	1.400000					
NKD	PRIOR_WEEK	2022	602	21	0.034884	24	0.039867	0.875000					
NKD	PRIOR_WEEK	2023	504	9	0.017857	11	0.021825	0.818182					
NKD	PRIOR_WEEK	2024	948	36	0.037975	21	0.022152	1.714286					
NKD	PRIOR_WEEK	2025	936	33	0.035256	23	0.024573	1.434783					
NKD	PRIOR_WEEK	ALL	3486	113	0.032415	89	0.025531	1.269663					
NKD	PRIOR_WEEK	FIT_2021_2024	2550	80	0.031373	66	0.025882	1.212121					RETIRE
NKD	PRIOR_WEEK	GATE_2025	936	33	0.035256	23	0.024573	1.434783					
NKD	PROFILE	2021	496	210	0.423387	240	0.483871	0.875000					
NKD	PROFILE	2022	602	259	0.430233	309	0.513289	0.838188					
NKD	PROFILE	2023	504	199	0.394841	245	0.486111	0.812245					
NKD	PROFILE	2024	948	465	0.490506	552	0.582278	0.842391					
NKD	PROFILE	2025	936	441	0.471154	552	0.589744	0.798913					
NKD	PROFILE	ALL	3486	1574	0.451520	1898	0.544464	0.829294					
NKD	PROFILE	FIT_2021_2024	2550	1133	0.444314	1346	0.527843	0.841753					RETIRE
NKD	PROFILE	GATE_2025	936	441	0.471154	552	0.589744	0.798913					
NKD	ROUND	2021	496	275	0.554435	244	0.491935	1.127049					
NKD	ROUND	2022	602	312	0.518272	286	0.475083	1.090909					
NKD	ROUND	2023	504	254	0.503968	247	0.490079	1.028340					
NKD	ROUND	2024	948	651	0.686709	586	0.618143	1.110922					
NKD	ROUND	2025	936	681	0.727564	619	0.661325	1.100162					
NKD	ROUND	ALL	3486	2173	0.623351	1982	0.568560	1.096367					
NKD	ROUND	FIT_2021_2024	2550	1492	0.585098	1363	0.534510	1.094644					RETIRE
NKD	ROUND	GATE_2025	936	681	0.727564	619	0.661325	1.100162					
NKD	VWAP	2021	491	356	0.725051	211	0.429735	1.687204	29007	704.864124	12401	0.000000	
NKD	VWAP	2022	595	463	0.778151	238	0.400000	1.945378	29007	704.864124	12401	0.000000	
NKD	VWAP	2023	501	380	0.758483	197	0.393214	1.928934	29007	704.864124	12401	0.000000	
NKD	VWAP	2024	943	731	0.775186	414	0.439024	1.765700	29007	704.864124	12401	0.000000	
NKD	VWAP	2025	923	721	0.781148	365	0.395450	1.975342	29007	704.864124	12401	0.000000	
NKD	VWAP	ALL	3453	2651	0.767738	1425	0.412685	1.860351	29007	704.864124	12401	0.000000	
NKD	VWAP	FIT_2021_2024	2530	1930	0.762846	1060	0.418972	1.820755	29007	704.864124	12401	0.000000	KEEP
NKD	VWAP	GATE_2025	923	721	0.781148	365	0.395450	1.975342	29007	704.864124	12401	0.000000	
SI	DEV_POC	2021	393	15	0.038168	15	0.038168	1.000000					
SI	DEV_POC	2022	850	25	0.029412	28	0.032941	0.892857					
SI	DEV_POC	2023	725	26	0.035862	33	0.045517	0.787879					
SI	DEV_POC	2024	911	29	0.031833	37	0.040615	0.783784					
SI	DEV_POC	2025	979	50	0.051073	35	0.035751	1.428571					
SI	DEV_POC	ALL	3858	145	0.037584	148	0.038362	0.979730					
SI	DEV_POC	FIT_2021_2024	2879	95	0.032998	113	0.039250	0.840708					RETIRE
SI	DEV_POC	GATE_2025	979	50	0.051073	35	0.035751	1.428571					
SI	FVOL_BAND	2021	400	125	0.312500	40	0.100000	3.125000	30762	1077.142135	12365	0.000000	
SI	FVOL_BAND	2022	874	483	0.552632	223	0.255149	2.165919	30762	1077.142135	12365	0.000000	
SI	FVOL_BAND	2023	738	508	0.688347	249	0.337398	2.040161	30762	1077.142135	12365	0.000000	
SI	FVOL_BAND	2024	928	659	0.710129	291	0.313578	2.264605	30762	1077.142135	12365	0.000000	
SI	FVOL_BAND	2025	1006	628	0.624254	307	0.305169	2.045603	30762	1077.142135	12365	0.000000	
SI	FVOL_BAND	ALL	3946	2403	0.608971	1110	0.281298	2.164865	30762	1077.142135	12365	0.000000	
SI	FVOL_BAND	FIT_2021_2024	2940	1775	0.603741	803	0.273129	2.210461	30762	1077.142135	12365	0.000000	KEEP
SI	FVOL_BAND	GATE_2025	1006	628	0.624254	307	0.305169	2.045603	30762	1077.142135	12365	0.000000	
SI	FVOL_LADDER	2021	308	210	0.681818	96	0.311688	2.187500	34462	1022.930635	14020	0.000000	
SI	FVOL_LADDER	2022	874	651	0.744851	311	0.355835	2.093248	34462	1022.930635	14020	0.000000	
SI	FVOL_LADDER	2023	738	525	0.711382	231	0.313008	2.272727	34462	1022.930635	14020	0.000000	
SI	FVOL_LADDER	2024	928	645	0.695043	217	0.233836	2.972350	34462	1022.930635	14020	0.000000	
SI	FVOL_LADDER	2025	1006	608	0.604374	247	0.245527	2.461538	34462	1022.930635	14020	0.000000	
SI	FVOL_LADDER	ALL	3854	2639	0.684743	1102	0.285937	2.394737	34462	1022.930635	14020	0.000000	
SI	FVOL_LADDER	FIT_2021_2024	2848	2031	0.713132	855	0.300211	2.375439	34462	1022.930635	14020	0.000000	KEEP
SI	FVOL_LADDER	GATE_2025	1006	608	0.604374	247	0.245527	2.461538	34462	1022.930635	14020	0.000000	
SI	FVOL_LADDER_RS	2021	308	205	0.665584	94	0.305195	2.180851					
SI	FVOL_LADDER_RS	2022	874	641	0.733410	310	0.354691	2.067742					
SI	FVOL_LADDER_RS	2023	738	522	0.707317	238	0.322493	2.193277					
SI	FVOL_LADDER_RS	2024	928	638	0.687500	225	0.242457	2.835556					
SI	FVOL_LADDER_RS	2025	1006	623	0.619284	253	0.251491	2.462451					
SI	FVOL_LADDER_RS	ALL	3854	2629	0.682148	1120	0.290607	2.347321					
SI	FVOL_LADDER_RS	FIT_2021_2024	2848	2006	0.704354	867	0.304424	2.313725					KEEP
SI	FVOL_LADDER_RS	GATE_2025	1006	623	0.619284	253	0.251491	2.462451					
SI	NDAY	2021	400	32	0.080000	14	0.035000	2.285714	2772	974.386161	1120	0.000000	
SI	NDAY	2022	874	47	0.053776	36	0.041190	1.305556	2772	974.386161	1120	0.000000	
SI	NDAY	2023	738	48	0.065041	34	0.046070	1.411765	2772	974.386161	1120	0.000000	
SI	NDAY	2024	928	71	0.076509	28	0.030172	2.535714	2772	974.386161	1120	0.000000	
SI	NDAY	2025	1006	67	0.066600	43	0.042744	1.558140	2772	974.386161	1120	0.000000	
SI	NDAY	ALL	3946	265	0.067157	155	0.039280	1.709677	2772	974.386161	1120	0.000000	
SI	NDAY	FIT_2021_2024	2940	198	0.067347	112	0.038095	1.767857	2772	974.386161	1120	0.000000	KEEP
SI	NDAY	GATE_2025	1006	67	0.066600	43	0.042744	1.558140	2772	974.386161	1120	0.000000	
SI	OR_EXT	2021	374	165	0.441176	79	0.211230	2.088608	22735	848.371693	9450	0.000000	
SI	OR_EXT	2022	810	381	0.470370	143	0.176543	2.664336	22735	848.371693	9450	0.000000	
SI	OR_EXT	2023	696	288	0.413793	120	0.172414	2.400000	22735	848.371693	9450	0.000000	
SI	OR_EXT	2024	871	385	0.442021	134	0.153846	2.873134	22735	848.371693	9450	0.000000	
SI	OR_EXT	2025	915	420	0.459016	153	0.167213	2.745098	22735	848.371693	9450	0.000000	
SI	OR_EXT	ALL	3666	1639	0.447081	629	0.171577	2.605723	22735	848.371693	9450	0.000000	
SI	OR_EXT	FIT_2021_2024	2751	1219	0.443112	476	0.173028	2.560924	22735	848.371693	9450	0.000000	KEEP
SI	OR_EXT	GATE_2025	915	420	0.459016	153	0.167213	2.745098	22735	848.371693	9450	0.000000	
SI	PHASE_HL	2021	400	130	0.325000	82	0.205000	1.585366	14446	928.338932	5954	0.000000	
SI	PHASE_HL	2022	874	288	0.329519	199	0.227689	1.447236	14446	928.338932	5954	0.000000	
SI	PHASE_HL	2023	738	227	0.307588	162	0.219512	1.401235	14446	928.338932	5954	0.000000	
SI	PHASE_HL	2024	928	315	0.339440	198	0.213362	1.590909	14446	928.338932	5954	0.000000	
SI	PHASE_HL	2025	1006	328	0.326044	217	0.215706	1.511521	14446	928.338932	5954	0.000000	
SI	PHASE_HL	ALL	3946	1288	0.326406	858	0.217435	1.501166	14446	928.338932	5954	0.000000	
SI	PHASE_HL	FIT_2021_2024	2940	960	0.326531	641	0.218027	1.497660	14446	928.338932	5954	0.000000	RETIRE
SI	PHASE_HL	GATE_2025	1006	328	0.326044	217	0.215706	1.511521	14446	928.338932	5954	0.000000	
SI	PRIOR_DAY	2021	400	57	0.142500	24	0.060000	2.375000	4993	916.945783	2075	0.000000	
SI	PRIOR_DAY	2022	874	133	0.152174	74	0.084668	1.797297	4993	916.945783	2075	0.000000	
SI	PRIOR_DAY	2023	738	90	0.121951	66	0.089431	1.363636	4993	916.945783	2075	0.000000	
SI	PRIOR_DAY	2024	928	126	0.135776	74	0.079741	1.702703	4993	916.945783	2075	0.000000	
SI	PRIOR_DAY	2025	1006	137	0.136183	87	0.086481	1.574713	4993	916.945783	2075	0.000000	
SI	PRIOR_DAY	ALL	3946	543	0.137608	325	0.082362	1.670769	4993	916.945783	2075	0.000000	
SI	PRIOR_DAY	FIT_2021_2024	2940	406	0.138095	238	0.080952	1.705882	4993	916.945783	2075	0.000000	KEEP
SI	PRIOR_DAY	GATE_2025	1006	137	0.136183	87	0.086481	1.574713	4993	916.945783	2075	0.000000	
SI	PRIOR_WEEK	2021	400	5	0.012500	9	0.022500	0.555556					
SI	PRIOR_WEEK	2022	874	25	0.028604	23	0.026316	1.086957					
SI	PRIOR_WEEK	2023	738	21	0.028455	25	0.033875	0.840000					
SI	PRIOR_WEEK	2024	928	32	0.034483	30	0.032328	1.066667					
SI	PRIOR_WEEK	2025	1006	29	0.028827	28	0.027833	1.035714					
SI	PRIOR_WEEK	ALL	3946	112	0.028383	115	0.029143	0.973913					
SI	PRIOR_WEEK	FIT_2021_2024	2940	83	0.028231	87	0.029592	0.954023					RETIRE
SI	PRIOR_WEEK	GATE_2025	1006	29	0.028827	28	0.027833	1.035714					
SI	PROFILE	2021	400	190	0.475000	204	0.510000	0.931373					
SI	PROFILE	2022	874	393	0.449657	453	0.518307	0.867550					
SI	PROFILE	2023	738	320	0.433604	348	0.471545	0.919540					
SI	PROFILE	2024	928	446	0.480603	499	0.537716	0.893788					
SI	PROFILE	2025	1006	472	0.469185	597	0.593439	0.790620					
SI	PROFILE	ALL	3946	1821	0.461480	2101	0.532438	0.866730					
SI	PROFILE	FIT_2021_2024	2940	1349	0.458844	1504	0.511565	0.896941					RETIRE
SI	PROFILE	GATE_2025	1006	472	0.469185	597	0.593439	0.790620					
SI	ROUND	2021	400	71	0.177500	88	0.220000	0.806818					
SI	ROUND	2022	874	174	0.199085	238	0.272311	0.731092					
SI	ROUND	2023	738	129	0.174797	145	0.196477	0.889655					
SI	ROUND	2024	928	261	0.281250	271	0.292026	0.963100					
SI	ROUND	2025	1006	337	0.334990	384	0.381710	0.877604					
SI	ROUND	ALL	3946	972	0.246325	1126	0.285352	0.863233					
SI	ROUND	FIT_2021_2024	2940	635	0.215986	742	0.252381	0.855795					RETIRE
SI	ROUND	GATE_2025	1006	337	0.334990	384	0.381710	0.877604					
SI	VWAP	2021	400	339	0.847500	187	0.467500	1.812834	37689	976.305259	15382	0.000000	
SI	VWAP	2022	872	746	0.855505	393	0.450688	1.898219	37689	976.305259	15382	0.000000	
SI	VWAP	2023	738	620	0.840108	322	0.436314	1.925466	37689	976.305259	15382	0.000000	
