# PORT M2 D-090.6 information ceiling (E6, hindsight-fit, NON-CAUSAL-BY-DESIGN) (PORT-M2-INFO-CEILING-V1)
# NON-CAUSAL-BY-DESIGN: hindsight-fit upper bound over ALL E6 sessions (study + sealed blind). NOT a deployable result.
# port m2 entry-delay decidability + post-entry divergence (E6, hindsight-fit, NON-CAUSAL-BY-DESIGN)
# THE RULE: enter at t (the current shape); at t+D score the trade on pre-t fields + the [t, t+D] block; if the score is below the threshold CUT at mid(t+D) (realising f_at_D - cost_rt), else ride to the walled phase close.  A trade already stopped by the $900 wall before t+D pays the wall regardless.
# scores are OUT-OF-FOLD (5 folds of whole DAYS); the operating point is a CUT FRACTION q — cut the worst-looking q of the trades still open at t+D (cut_level = the q-quantile of the out-of-fold score)
# proj_usd_at_40pct = 0.40 x mean(winners) + 0.60 x mean(losers) — the teacher's MEASURED sealed take-precision applied to this population's per-class outcomes; per_day assumes the 3-seat shape
# intervals CR1 clustered BY DAY; delta_usd is the PAIRED (managed - unmanaged) difference on the same rows
# cut_would_have_paid_usd = the unmanaged certificate of the trades the rule CUT — the diagnostic that says WHICH tail the score selects; saved_per_cut_usd = realized - would-have-paid, per cut trade (positive = the cut avoided a loss)
population	delay_sec	cut_fraction	cut_level	n	cut_rate	mean_usd_managed	ci_lo	ci_hi	mean_usd_unmanaged	delta_usd	delta_lo	delta_hi	winner_cut_rate	loser_cut_rate	mean_usd_winners	mean_usd_losers	proj_usd_at_40pct	proj_usd_per_day_3trades	cut_would_have_paid_usd	cut_realized_usd	saved_per_cut_usd	kept_would_have_paid_usd	auc	note
WALLPAIR_LEGS	0	0	.	5737	0	429.12	380.684	477.555	429.12	0	0	0	0	0	1806.92	-937.682	160.16	480.481	.	.	.	429.12	0.47	no cut (the unmanaged shape)
WALLPAIR_LEGS	0	0.1	0.216463	5737	0.100052	378.946	325.723	432.169	429.12	-50.1732	-83.4268	-16.9196	0.105355	0.0947917	1620.18	-852.37	136.648	409.944	466.047	-35.4225	-501.47	425.014	0.47	cut the worst-looking 10% at t+D
WALLPAIR_LEGS	0	0.2	0.304181	5737	0.200105	316.355	256.613	376.097	429.12	-112.765	-168.202	-57.3275	0.213161	0.187153	1410.69	-769.245	102.731	308.192	526.321	-37.2082	-563.529	404.803	0.47	cut the worst-looking 20% at t+D
WALLPAIR_LEGS	0	0.3	0.378513	5737	0.299983	254.563	185.991	323.135	429.12	-174.557	-245.608	-103.505	0.322716	0.277431	1204.71	-687.995	69.0866	207.26	544.306	-37.5828	-581.889	379.758	0.47	cut the worst-looking 30% at t+D
WALLPAIR_LEGS	0	0.4	0.440021	5737	0.400035	213.328	136.822	289.834	429.12	-215.791	-299.693	-131.889	0.416171	0.384028	1025.2	-592.057	54.8447	164.534	501.626	-37.805	-539.431	380.775	0.47	cut the worst-looking 40% at t+D
WALLPAIR_LEGS	0	0.5	0.496929	5737	0.499913	164.003	84.2345	243.771	429.12	-265.117	-352.74	-177.493	0.521176	0.478819	840.15	-506.745	32.0132	96.0395	492.306	-38.0195	-530.326	365.955	0.47	cut the worst-looking 50% at t+D
WALLPAIR_LEGS	0	0.6	0.559546	5737	0.599965	112.955	36.1799	189.73	429.12	-316.165	-402.428	-229.901	0.624081	0.576042	649.439	-419.245	8.22859	24.6858	489.011	-37.9605	-526.972	339.295	0.47	cut the worst-looking 60% at t+D
WALLPAIR_LEGS	0	0.7	0.624295	5737	0.700017	77.0899	8.46164	145.718	429.12	-352.03	-433.507	-270.552	0.718586	0.681597	481.656	-324.245	-1.88464	-5.65393	464.956	-37.9308	-502.887	345.494	0.47	cut the worst-looking 70% at t+D
WALLPAIR_LEGS	0	0.8	0.693613	5737	0.799895	41.1652	-15.7479	98.0784	429.12	-387.954	-460.989	-314.92	0.812391	0.7875	313.437	-228.932	-11.9845	-35.9535	447.061	-37.9456	-485.006	357.402	0.47	cut the worst-looking 80% at t+D
WALLPAIR_LEGS	0	0.9	0.781527	5737	0.899948	-8.37066	-41.8775	25.1361	429.12	-437.49	-498.781	-376.199	0.910046	0.889931	121.037	-136.745	-33.6321	-100.896	448.204	-37.9242	-486.128	257.456	0.47	cut the worst-looking 90% at t+D
WALLPAIR_LEGS	30	0	.	5737	0	429.12	380.684	477.555	429.12	0	0	0	0	0	1806.92	-937.682	160.16	480.481	.	.	.	429.12	0.471	no cut (the unmanaged shape)
WALLPAIR_LEGS	30	0.1	0.210806	5737	0.100052	361.473	311.856	411.09	429.12	-67.6464	-112.888	-22.4045	0.110606	0.0895833	1592.19	-859.412	121.228	363.683	626.141	-49.9695	-676.111	407.216	0.471	cut the worst-looking 10% at t+D
