# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# arm = the curriculum stacked final
# Computed from the SAME replay the $/session table uses, so the panel and the headline cannot disagree.
# dd_* are INTRA-SESSION drawdowns of the seated P&L sequence; the D-030 law is a $1000 maximum and frac_sessions_dd_over_1000 is the breach rate.
# Weekly rows use ISO weeks; weekly_pnl_p10 is the 10th percentile week -- the user's weekly framing of a bad run.
# precision_at_1000 is the fraction of TAKES paying >= $1000 (the D-021 target), not a model probability.
# takes_per_day_* are per SESSION, i.e. per (asset, trading day) -- the unit the one-position contract applies to -- not per calendar day across the three books.
arm	era	asset	n_sessions	n_takes	takes_per_day_mean	takes_per_day_p50	takes_per_day_max	win_rate	precision_at_1000	usd_per_trade_mean	usd_per_trade_median	usd_per_trade_p10	usd_per_trade_p90	mae_mean	mae_p50	mae_p90	wall_hit_rate	usd_per_session	dd_p50	dd_p90	dd_max	frac_sessions_dd_over_1000	losing_day_frac	n_weeks	weekly_pnl_mean	weekly_pnl_p10	losing_week_frac	longest_losing_streak_days	d077_vetoed_candidates
CURRICULUM_STACKED	E3	ALL	390	1183	3.03	3.0	4.0	0.5807	0.1336	176.52	132.5	-930.0	1182.5	364.37	225.0	900.0	0.3838	535.44	707.5	1403.25	3345.0	0.2051	0.3897	27	7734.17	3355.5	0.037	3	6460
CURRICULUM_STACKED	E3	SI	130	395	3.04	3.0	4.0	0.5671	0.162	217.15	145.0	-930.0	1417.5	459.24	250.0	1232.5	0.4734	659.81	930.0	1860.0	3345.0	0.2462	0.3846	27	3176.85	-440.0	0.1481	4	
CURRICULUM_STACKED	E3	HG	130	397	3.05	3.0	4.0	0.597	0.1486	185.52	157.5	-930.0	1242.5	359.67	231.25	890.0	0.3854	566.56	713.75	1405.12	2352.5	0.2	0.3769	27	2727.87	363.0	0.0741	4	
CURRICULUM_STACKED	E3	NKD	130	391	3.01	3.0	4.0	0.578	0.0895	126.33	107.5	-930.0	945.0	273.31	175.0	650.0	0.2916	379.96	423.75	1230.0	2240.0	0.1692	0.4077	27	1829.44	-1158.5	0.1852	4	
CURRICULUM_STACKED	E4	ALL	385	1155	3.0	3.0	3.0	0.645	0.1333	293.61	207.5	-625.0	1195.0	274.56	143.75	712.5	0.3048	880.83	242.5	994.5	2215.0	0.0987	0.239	26	13043.03	4462.5	0.0385	2	6324
CURRICULUM_STACKED	E4	SI	128	384	3.0	3.0	3.0	0.6562	0.1458	372.28	257.5	-911.25	1403.75	398.11	212.5	996.25	0.4193	1116.84	261.25	1076.5	1860.0	0.1172	0.25	26	5498.27	643.75	0.0769	3	
CURRICULUM_STACKED	E4	HG	128	384	3.0	3.0	3.0	0.6068	0.1276	213.86	173.12	-692.5	1098.12	234.21	115.62	629.37	0.2969	641.59	304.38	1072.5	2215.0	0.1172	0.3047	26	3158.61	-68.75	0.1154	3	
CURRICULUM_STACKED	E4	NKD	129	387	3.0	3.0	3.0	0.6718	0.1266	294.68	220.0	-505.0	1125.0	191.99	125.0	500.0	0.199	884.03	185.0	955.0	1860.0	0.062	0.1628	26	4386.15	1993.75	0.0385	2	
CURRICULUM_STACKED	E5	ALL	387	1161	3.0	3.0	3.0	0.7028	0.1275	334.09	245.0	-392.5	1145.0	207.47	106.25	562.5	0.2162	1002.26	167.5	930.0	2790.0	0.0284	0.1628	26	14918.32	7822.5	0.0	2	6108
CURRICULUM_STACKED	E5	SI	129	387	3.0	3.0	3.0	0.6873	0.1395	367.9	282.5	-480.0	1250.0	286.92	150.0	730.0	0.3359	1103.7	167.5	930.0	2790.0	0.0465	0.186	26	5476.06	543.75	0.0769	3	
