# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# PROP CONSTRAINTS CHECKED IN EVERY ROW: <=10 trades/day across the three books (cap_flag), >=$667/trade (trade_target), >=$2000/day/asset (day_target).  NO EXIT IS TOUCHED -- the contract remains ride-to-phase-close with the $900 wall, so no quick exit or microscalp is expressible by construction.
# FIX 2b: re-rank by within-cell score percentile MINUS lambda x predicted-MAE percentile.  lambda=0 is the unmodified arm, so the sweep contains its own null.
# Mandated by the autopsy: top-decile losers are walled 9x more often than top-decile winners and carry 2x the MAE, and the dollar label cannot see either.
era	arm	knob	n_seated	takes_per_session	trades_per_day_3books	win_rate	usd_per_trade	usd_per_session	usd_per_traded_day	weekly_pnl_p10	frac_sessions_dd_over_1000	cap_flag	trade_target	day_target	entry_foresight_ceiling	capture_of_ceiling
E3	RISKADJ	0.0	1185	3.04	27.35	0.5873	202.91	616.54	616.54	2897.0	0.1974	OVER_DAY_CAP			2969.1	0.2077
E3	RISKADJ	0.25	1189	3.05	27.44	0.5341	109.16	332.8	332.8	-691.5	0.2385	OVER_DAY_CAP			2969.1	0.1121
E3	RISKADJ	0.5	1196	3.07	27.6	0.4891	15.69	48.11	48.11	-4265.5	0.2795	OVER_DAY_CAP			2969.1	0.0162
E3	RISKADJ	1.0	1196	3.07	27.6	0.4749	-29.05	-89.1	-89.1	-6737.0	0.2846	OVER_DAY_CAP			2969.1	-0.03
E3	RISKADJ	2.0	1203	3.08	27.76	0.4713	-39.17	-120.82	-120.82	-6756.0	0.2051	OVER_DAY_CAP			2969.1	-0.0407
E4	RISKADJ	0.0	1155	3.0	26.86	0.6563	314.27	942.82	942.82	5090.0	0.0779	OVER_DAY_CAP			2744.17	0.3436
E4	RISKADJ	0.25	1155	3.0	26.86	0.6511	246.07	738.21	738.21	2971.87	0.1039	OVER_DAY_CAP			2744.17	0.269
E4	RISKADJ	0.5	1155	3.0	26.86	0.6035	148.18	444.53	444.53	846.87	0.1429	OVER_DAY_CAP			2744.17	0.162
E4	RISKADJ	1.0	1155	3.0	26.86	0.5593	78.48	235.45	235.45	-2234.37	0.1377	OVER_DAY_CAP			2744.17	0.0858
E4	RISKADJ	2.0	1155	3.0	26.86	0.529	20.08	60.24	60.24	-2806.25	0.1429	OVER_DAY_CAP			2744.17	0.022
E5	RISKADJ	0.0	1161	3.0	27.0	0.7261	356.61	1069.82	1069.82	9013.13	0.0181	OVER_DAY_CAP			2582.61	0.4142
E5	RISKADJ	0.25	1161	3.0	27.0	0.7089	314.85	944.54	944.54	7425.0	0.0362	OVER_DAY_CAP			2582.61	0.3657
E5	RISKADJ	0.5	1161	3.0	27.0	0.6537	206.78	620.35	620.35	3275.0	0.0904	OVER_DAY_CAP			2582.61	0.2402
E5	RISKADJ	1.0	1161	3.0	27.0	0.5719	87.62	262.86	262.86	-2068.75	0.1292	OVER_DAY_CAP			2582.61	0.1018
E5	RISKADJ	2.0	1161	3.0	27.0	0.5047	11.19	33.58	33.58	-3778.12	0.1214	OVER_DAY_CAP			2582.61	0.013
E6	RISKADJ	0.0	1152	3.0	27.0	0.6207	312.61	937.83	937.83	6984.37	0.1458	OVER_DAY_CAP			3366.93	0.2785
E6	RISKADJ	0.25	1152	3.0	27.0	0.6076	220.97	662.91	662.91	2481.25	0.1667	OVER_DAY_CAP			3366.93	0.1969
E6	RISKADJ	0.5	1152	3.0	27.0	0.5703	129.54	388.63	388.63	-765.62	0.1953	OVER_DAY_CAP			3366.93	0.1154
E6	RISKADJ	1.0	1152	3.0	27.0	0.5191	63.89	191.66	191.66	-2456.25	0.1745	OVER_DAY_CAP			3366.93	0.0569
E6	RISKADJ	2.0	1152	3.0	27.0	0.4965	50.87	152.61	152.61	-1959.38	0.1432	OVER_DAY_CAP			3366.93	0.0453
E7	RISKADJ	0.0	1179	3.0	27.0	0.7125	509.32	1527.97	1527.97	9163.75	0.1323	OVER_DAY_CAP			4085.25	0.374
E7	RISKADJ	0.25	1179	3.0	27.0	0.7133	412.75	1238.24	1238.24	8187.5	0.1578	OVER_DAY_CAP			4085.25	0.3031
E7	RISKADJ	0.5	1179	3.0	27.0	0.6539	300.62	901.86	901.86	3730.25	0.1908	OVER_DAY_CAP			4085.25	0.2208
E7	RISKADJ	1.0	1179	3.0	27.0	0.5878	161.38	484.14	484.14	-1493.75	0.1959	OVER_DAY_CAP			4085.25	0.1185
E7	RISKADJ	2.0	1179	3.0	27.0	0.5267	62.75	188.26	188.26	-6308.75	0.2061	OVER_DAY_CAP			4085.25	0.0461
