# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# THE PRE-REGISTERED PROMOTION BAR, ON THE DEPLOYABLE LINE: a score is promoted only if its blind reading is POSITIVE in all three binding eras, CLEARS its search-adjusted null in all three, and BEATS the incumbent S_XGB|DAYSOFAR ($57.76 / $88.96 / $101.77) in at least two of three — with top-5 P&L concentration below 0.30.
# Both honest selectors are reported.  PREV_ERA is the deployable one; INNER_BLOCK is meaningful here for the first time, because H1_DAYRANK is fitted in this lane and so HAS inner-block coverage — the deployed column has none, which is why its inner readings were silent zeros.
# NARROW_<column> prices each column against only its own policy grid; WIDE_all_columns re-selects the column too and pays the wider null for it.  Both are printed; the wide one is the honest bar when the column itself was chosen after looking.
link	search_width	selector	cell_chosen	usd_on_selector	usd_on_TARGET_BLIND	sd_usd	ci_lo	ci_hi	n_trades_total	n_firing_sessions	n_era_sessions	top5_trade_share_of_pnl	search_adjusted_null	n_cells_searched	beats_null	incumbent_S_XGB_DAYSOFAR	delta_vs_incumbent	beats_incumbent	capture_of_causal_oracle	sign
E4->E5	NARROW_S_XGB	PREV_ERA	S_XGB|TAUZ_0.5	54.5	42.45	4.56	-59.4	144.3	692.0	383.2	387	0.083	9.77	28	YES	57.76	-15.31	no	0.021	POSITIVE
E4->E5	NARROW_S_XGB	INNER_BLOCK	S_XGB|TAUZ_0.5	0.0	42.45	4.56	-59.4	144.3	692.0	383.2	387	0.083	9.77	28	YES	57.76	-15.31	no	0.021	POSITIVE
E4->E5	NARROW_S_XGB_DAYZ	PREV_ERA	S_XGB_DAYZ|SECTIME_0.1	37.83	3.7	6.87	-87.48	94.88	627.2	374.2	387	0.096	1.68	28	YES	57.76	-54.06	no	0.0018	POSITIVE
E4->E5	NARROW_S_XGB_DAYZ	INNER_BLOCK	S_XGB_DAYZ|TAUZ_0.5	0.0	81.04	16.86	-30.15	192.22	790.8	387.0	387	0.073	1.68	28	YES	57.76	23.28	YES	0.0401	POSITIVE
E4->E5	NARROW_H1_DAYRANK	PREV_ERA	H1_DAYRANK|OCCUPANCY_2	102.41	-52.34	15.08	-132.08	27.41	439.8	371.6	387	0.16	13.82	28	no	57.76	-110.1	no	-0.0259	NEGATIVE
E4->E5	NARROW_H1_DAYRANK	INNER_BLOCK	H1_DAYRANK|TAU_0.8	87.71	21.75	38.22	-85.4	128.91	560.0	385.2	387	0.092	13.82	28	YES	57.76	-36.01	no	0.0108	POSITIVE
E4->E5	NARROW_ORACLE_DAYRANK	PREV_ERA	ORACLE_DAYRANK|TAU_0.7	2079.87	1952.94	0.0	1837.45	2068.42	1089.0	387.0	387	0.034	37.5	28	YES	57.76	1895.18	YES	0.9663	POSITIVE
E4->E5	NARROW_ORACLE_DAYRANK	INNER_BLOCK	ORACLE_DAYRANK|TAU_0.7	2068.36	1952.94	0.0	1837.45	2068.42	1089.0	387.0	387	0.034	37.5	28	YES	57.76	1895.18	YES	0.9663	POSITIVE
E4->E5	WIDE_all_columns	PREV_ERA	ORACLE_DAYRANK|TAU_0.7	2079.87	1952.94	0.0	1837.45	2068.42	1089.0	387.0	387	0.034	37.5	112	YES	57.76	1895.18	YES	0.9663	POSITIVE
E4->E5	WIDE_all_columns	INNER_BLOCK	ORACLE_DAYRANK|TAU_0.7	2068.36	1952.94	0.0	1837.45	2068.42	1089.0	387.0	387	0.034	37.5	112	YES	57.76	1895.18	YES	0.9663	POSITIVE
E5->E6	NARROW_S_XGB	PREV_ERA	S_XGB|DAYSOFAR_0.7	86.2	88.96	60.86	-35.58	213.51	730.0	384.0	384	0.076	0.0	28	YES	88.96	0.0	YES	0.0333	POSITIVE
E5->E6	NARROW_S_XGB	INNER_BLOCK	S_XGB|TAUZ_0.5	0.0	86.18	66.28	-9.83	182.19	397.8	236.2	384	0.374	0.0	28	YES	88.96	-2.78	no	0.0322	POSITIVE
E5->E6	NARROW_S_XGB_DAYZ	PREV_ERA	S_XGB_DAYZ|TAUZ_1	85.28	110.06	71.29	-20.25	240.37	722.0	384.0	384	0.075	37.6	28	YES	88.96	21.1	YES	0.0411	POSITIVE
E5->E6	NARROW_S_XGB_DAYZ	INNER_BLOCK	S_XGB_DAYZ|TAUZ_0.5	0.0	63.66	52.23	-59.86	187.18	727.4	384.0	384	0.078	37.6	28	YES	88.96	-25.3	no	0.0238	POSITIVE
E5->E6	NARROW_H1_DAYRANK	PREV_ERA	H1_DAYRANK|TAU_0.7	73.24	-2.46	43.26	-127.95	123.02	700.4	384.0	384	0.084	0.0	28	no	88.96	-91.42	no	-0.0009	NEGATIVE
E5->E6	NARROW_H1_DAYRANK	INNER_BLOCK	H1_DAYRANK|TAU_0.8	31.17	58.66	58.49	-72.23	189.56	673.6	384.0	384	0.086	0.0	28	YES	88.96	-30.3	no	0.0219	POSITIVE
E5->E6	NARROW_ORACLE_DAYRANK	PREV_ERA	ORACLE_DAYRANK|TAU_0.7	1952.94	2618.35	0.0	2426.84	2809.87	1073.0	384.0	384	0.035	103.62	28	YES	88.96	2529.39	YES	0.9788	POSITIVE
E5->E6	NARROW_ORACLE_DAYRANK	INNER_BLOCK	ORACLE_DAYRANK|TAU_0.7	1992.76	2618.35	0.0	2426.84	2809.87	1073.0	384.0	384	0.035	103.62	28	YES	88.96	2529.39	YES	0.9788	POSITIVE
E5->E6	WIDE_all_columns	PREV_ERA	ORACLE_DAYRANK|TAU_0.7	1952.94	2618.35	0.0	2426.84	2809.87	1073.0	384.0	384	0.035	103.62	112	YES	88.96	2529.39	YES	0.9788	POSITIVE
E5->E6	WIDE_all_columns	INNER_BLOCK	ORACLE_DAYRANK|TAU_0.7	1992.76	2618.35	0.0	2426.84	2809.87	1073.0	384.0	384	0.035	103.62	112	YES	88.96	2529.39	YES	0.9788	POSITIVE
