# PORT M2 M2.SEQ raw-event sequence model at candidate grain (lane=port-m2-seqtest; seed=20260813; device=NVIDIA RTX PRO 6000 Blackwell Workstation Edition)
# Per-fold training ledger.  `fit_secs` is the wall time of the fold (inner-selection run + full-block refit + scoring) on the RTX PRO 6000.
config	era	params	n_train	n_inner_train	n_inner_val	n_eval	train_days	eval_days	inner_rho	best_epoch	eval_auc_winner	fit_secs
SHUF_cnn_1M_L256	E3	958978	61394	50728	10666	158282	128	130	0.02131	9	0.5135	6.1
SHUF_cnn_1M_L256	E4	958978	117692	95485	22207	154742	258	129	0.01435	4	0.54	5.3
SHUF_cnn_1M_L256	E5	958978	174406	139959	34447	159055	386	129	0.00202	3	0.5366	6.3
SHUF_cnn_1M_L256	E6	958978	230351	184075	46276	169326	515	128	0.00413	2	0.5226	6.6
SHUF_cnn_1M_L256	E7	958978	299540	229992	69548	163374	643	131	0.0004	5	0.5029	15.7
SHUF_cnn_1M_L256	E8	958978	365852	288428	77424	177106	774	127	0.00303	1	0.4966	7.4
SUP_cnn_10M_L256	E3	10699394	61394	50728	10666	158282	128	130	0.02323	1	0.5129	6.2
SUP_cnn_10M_L256	E4	10699394	117692	95485	22207	154742	258	129	0.00938	5	0.6353	27.0
SUP_cnn_10M_L256	E5	10699394	174406	139959	34447	159055	386	129	0.02697	8	0.5946	55.0
SUP_cnn_10M_L256	E6	10699394	230351	184075	46276	169326	515	128	0.01314	1	0.5408	20.2
SUP_cnn_10M_L256	E7	10699394	299540	229992	69548	163374	643	131	0.00721	5	0.587	66.4
SUP_cnn_10M_L256	E8	10699394	365852	288428	77424	177106	774	127	0.01689	3	0.5544	56.6
SUP_cnn_1M_L1024	E3	1052034	61394	50728	10666	158282	128	130	0.057	3	0.5742	11.9
SUP_cnn_1M_L1024	E4	1052034	117692	95485	22207	154742	258	129	0.03088	3	0.6254	18.8
SUP_cnn_1M_L1024	E5	1052034	174406	139959	34447	159055	386	129	0.04615	8	0.6166	47.6
SUP_cnn_1M_L1024	E6	1052034	230351	184075	46276	169326	515	128	0.01068	6	0.5894	53.0
SUP_cnn_1M_L1024	E7	1052034	299540	229992	69548	163374	643	131	0.02208	5	0.5748	55.6
SUP_cnn_1M_L1024	E8	1052034	365852	288428	77424	177106	774	127	0.02561	2	0.5494	32.1
SUP_cnn_1M_L256	E3	958978	61394	50728	10666	158282	128	130	0.0163	1	0.5577	2.4
SUP_cnn_1M_L256	E4	958978	117692	95485	22207	154742	258	129	0.01976	6	0.612	7.4
SUP_cnn_1M_L256	E5	958978	174406	139959	34447	159055	386	129	0.01531	5	0.6151	9.3
SUP_cnn_1M_L256	E6	958978	230351	184075	46276	169326	515	128	0.01491	5	0.5906	12.0
SUP_cnn_1M_L256	E7	958978	299540	229992	69548	163374	643	131	0.01051	5	0.5908	15.6
SUP_cnn_1M_L256	E8	958978	365852	288428	77424	177106	774	127	0.01353	2	0.5453	10.3
SUP_cnn_1M_L4096	E3	1116546	61394	50728	10666	158282	128	130	0.05995	2	0.5765	118.2
SUP_cnn_1M_L4096	E4	1116546	117692	95485	22207	154742	258	129	0.05915	8	0.5943	297.4
SUP_cnn_1M_L4096	E5	1116546	174406	139959	34447	159055	386	129	0.04705	3	0.6132	224.6
SUP_cnn_1M_L4096	E6	1116546	230351	184075	46276	169326	515	128	0.0465	7	0.5838	430.2
SUP_cnn_1M_L4096	E7	1116546	299540	229992	69548	163374	643	131	0.03472	4	0.5637	244.2
SUP_cnn_1M_L4096	E8	1116546	365852	288428	77424	177106	774	127	0.05812	7	0.5584	385.7
SUP_trf_10M_L256	E3	11031634	61394	50728	10666	158282	128	130	0.02356	1	0.5786	26.8
SUP_trf_10M_L256	E4	11031634	117692	95485	22207	154742	258	129	0.02085	2	0.6076	65.1
SUP_trf_10M_L256	E5	11031634	174406	139959	34447	159055	386	129	0.02536	5	0.6173	173.8
SUP_trf_10M_L256	E6	11031634	230351	184075	46276	169326	515	128	0.01113	4	0.5908	193.6
SUP_trf_10M_L256	E7	11031634	299540	229992	69548	163374	643	131	0.00957	3	0.5738	203.2
SUP_trf_10M_L256	E8	11031634	365852	288428	77424	177106	774	127	0.02125	2	0.5428	229.8
SUP_trf_1M_L1024	E3	1110978	61394	50728	10666	158282	128	130	0.04506	7	0.5678	79.5
SUP_trf_1M_L1024	E4	1110978	117692	95485	22207	154742	258	129	0.03002	1	0.6373	44.5
SUP_trf_1M_L1024	E5	1110978	174406	139959	34447	159055	386	129	0.04313	3	0.6123	109.2
SUP_trf_1M_L1024	E6	1110978	230351	184075	46276	169326	515	128	0.02124	6	0.5885	241.6
SUP_trf_1M_L1024	E7	1110978	299540	229992	69548	163374	643	131	0.02056	5	0.5718	279.9
SUP_trf_1M_L1024	E8	1110978	365852	288428	77424	177106	774	127	0.02548	5	0.5562	409.0
SUP_trf_1M_L256	E3	1078066	61394	50728	10666	158282	128	130	0.02731	3	0.6391	12.4
SUP_trf_1M_L256	E4	1078066	117692	95485	22207	154742	258	129	0.02609	5	0.6149	32.3
SUP_trf_1M_L256	E5	1078066	174406	139959	34447	159055	386	129	0.03174	5	0.611	47.1
SUP_trf_1M_L256	E6	1078066	230351	184075	46276	169326	515	128	0.01492	7	0.5937	80.5
SUP_trf_1M_L256	E7	1078066	299540	229992	69548	163374	643	131	0.00748	5	0.5741	78.7
SUP_trf_1M_L256	E8	1078066	365852	288428	77424	177106	774	127	0.01656	2	0.5504	52.0
RANK_lambdamart-m3features_gbt_L0	E3					151884				9		2.0
RANK_lambdamart-m3features_gbt_L0	E4					148474				4		2.7
RANK_lambdamart-m3features_gbt_L0	E5					153013				15		4.4
RANK_lambdamart-m3features_gbt_L0	E6					163182				17		5.8
RANK_lambdamart-m3features_gbt_L0	E7					158329				32		8.5
RANK_lambdamart-m3features_gbt_L0	E8					172438				20		9.1
PROBE_eventlm-probe-fused_40M-frozen_L1024	E3	1126658	61394	50728	10666	158282	128	130	0.45704	2	0.5637	6.2
PROBE_eventlm-probe-fused_40M-frozen_L1024	E4	1126658	117692	95485	22207	154742	258	129	0.40599	2	0.5943	5.7
PROBE_eventlm-probe-fused_40M-frozen_L1024	E5	1126658	174406	139959	34447	159055	386	129	0.4364	1	0.6688	6.5
PROBE_eventlm-probe-fused_40M-frozen_L1024	E6	1126658	230351	184075	46276	169326	515	128	0.49137	1	0.6393	7.8
PROBE_eventlm-probe-fused_40M-frozen_L1024	E7	1126658	299540	229992	69548	163374	643	131	0.44361	1	0.6046	9.6
PROBE_eventlm-probe-fused_40M-frozen_L1024	E8	1126658	365852	288428	77424	177106	774	127	0.4227	1	0.5815	10.9
PROBE_eventlm-probe-ctx_40M-frozen_L1024	E3	404994	61394	50728	10666	158282	128	130	0.45446	3	0.5378	3.4
PROBE_eventlm-probe-ctx_40M-frozen_L1024	E4	404994	117692	95485	22207	154742	258	129	0.40753	2	0.5864	4.8
PROBE_eventlm-probe-ctx_40M-frozen_L1024	E5	404994	174406	139959	34447	159055	386	129	0.44025	1	0.6593	6.0
PROBE_eventlm-probe-ctx_40M-frozen_L1024	E6	404994	230351	184075	46276	169326	515	128	0.49451	1	0.6468	7.0
PROBE_eventlm-probe-ctx_40M-frozen_L1024	E7	404994	299540	229992	69548	163374	643	131	0.44166	1	0.5999	8.9
PROBE_eventlm-probe-ctx_40M-frozen_L1024	E8	404994	365852	288428	77424	177106	774	127	0.42007	1	0.5781	11.0
PROBE_eventlm-probe-fused_40M-frozen_L1024	E3	1126658	61394	50728	10666	158282	128	130	0.45878	2	0.5531	4.5
PROBE_eventlm-probe-fused_40M-frozen_L1024	E4	1126658	117692	95485	22207	154742	258	129	0.40627	2	0.5961	5.5
PROBE_eventlm-probe-fused_40M-frozen_L1024	E5	1126658	174406	139959	34447	159055	386	129	0.4339	1	0.6726	6.8
PROBE_eventlm-probe-fused_40M-frozen_L1024	E6	1126658	230351	184075	46276	169326	515	128	0.48958	1	0.6413	7.8
PROBE_eventlm-probe-fused_40M-frozen_L1024	E7	1126658	299540	229992	69548	163374	643	131	0.44589	1	0.6052	10.1
