# PORT M2 D-090.6 information ceiling (E6, hindsight-fit, NON-CAUSAL-BY-DESIGN) (PORT-M2-INFO-CEILING-V1)
# NON-CAUSAL-BY-DESIGN: hindsight-fit upper bound over ALL E6 sessions (study + sealed blind). NOT a deployable result.
# port m2 entry-delay decidability + post-entry divergence (E6, hindsight-fit, NON-CAUSAL-BY-DESIGN)
# the wall-pair paired census re-run at each delay D: PRE = the 225 fields at t (185 views + 40 pre-window seq cues), POST = the [t, t+D] block (18 path cues + 20 seq_cues on the forward window)
# pair_acc_kfold: 5 folds of whole DAYS; single-field signs and GBT fits are trained on 4/5 of the days and scored on the fifth
# the GBT arm is the ANTISYMMETRISED two-alternative forced choice (each pair entered twice, (w-l)->1 and (l-w)->0) — info_ceiling.combo_forced_choice, the same function the committed WALL_COMBOS census calls
# 0.73 = the pair accuracy $1,000/trade requires at these payoffs (ERA_NOTES/STATE arithmetic); intervals CR1 clustered BY DAY
delay_sec	field_set	n_fields	n_pairs	metric	pair_acc_kfold	pair_acc_in_sample	ci_lo	ci_hi	gap_to_073	best_field	fields
0	BEST_SINGLE_ANY	1	3251	single_field	0.572132	0.572132	0.496357	0.647906	0.157868	side	side
0	BEST_SINGLE_PRE	1	3251	single_field	0.572132	0.572132	0.496357	0.647906	0.157868	side	side
0	COMBO_TOP2	2	3251	gbt_forced_choice	0.561058	0.60566	0.50289	0.619227	0.168942	.	side,ret_sess_open_with
0	COMBO_TOP3	3	3251	gbt_forced_choice	0.574592	0.641341	0.524854	0.624331	0.155408	.	side,ret_sess_open_with,abs_mins_to_release
0	COMBO_TOP5	5	3251	gbt_forced_choice	0.560443	0.701323	0.509007	0.611879	0.169557	.	side,ret_sess_open_with,abs_mins_to_release,accel_usd,fph_sflow_with
0	COMBO_TOP10	10	3251	gbt_forced_choice	0.557982	0.735466	0.511653	0.604311	0.172018	.	side,ret_sess_open_with,abs_mins_to_release,accel_usd,fph_sflow_with,slope_1m_usd,p033_product,p033_sqrt,slope_5m_with,ret_phase_open_with
0	COMBO_TOP5_PRE_ONLY	5	3251	gbt_forced_choice	0.560443	0.701323	0.509007	0.611879	0.169557	.	side,ret_sess_open_with,abs_mins_to_release,accel_usd,fph_sflow_with
0	COMBO_ALL_PRE	221	3251	gbt_forced_choice	0.505691	0.79514	0.452193	0.559188	0.224309	.	(221 fields)
0	COMBO_ALL_FIELDS	221	3251	gbt_forced_choice	0.505691	0.79514	0.452193	0.559188	0.224309	.	(221 fields)
30	BEST_SINGLE_ANY	1	3251	single_field	0.572132	0.572132	0.496357	0.647906	0.157868	side	side
30	BEST_SINGLE_PRE	1	3251	single_field	0.572132	0.572132	0.496357	0.647906	0.157868	side	side
30	BEST_SINGLE_POST	1	3251	single_field	0.541064	0.541064	0.521202	0.560926	0.188936	pp_tmfe_frac_D30	pp_tmfe_frac_D30
30	COMBO_TOP2	2	3251	gbt_forced_choice	0.572132	0.575823	0.511584	0.632679	0.157868	.	side,pp_tmfe_frac_D30
30	COMBO_TOP3	3	3251	gbt_forced_choice	0.565672	0.601661	0.510578	0.620766	0.164328	.	side,pp_tmfe_frac_D30,pp_mfe_D30
30	COMBO_TOP5	5	3251	gbt_forced_choice	0.566287	0.655491	0.519513	0.613061	0.163713	.	side,pp_tmfe_frac_D30,pp_mfe_D30,pp_eff_D30,ret_sess_open_with
30	COMBO_TOP10	10	3251	gbt_forced_choice	0.571516	0.684097	0.52602	0.617013	0.158484	.	side,pp_tmfe_frac_D30,pp_mfe_D30,pp_eff_D30,ret_sess_open_with,pp_net_D30,pp_slope30_D30,pp_upfrac_D30,abs_mins_to_release,accel_usd
30	COMBO_TOP5_PRE_ONLY	5	3251	gbt_forced_choice	0.560443	0.701323	0.509007	0.611879	0.169557	.	side,ret_sess_open_with,abs_mins_to_release,accel_usd,fph_sflow_with
30	COMBO_ALL_PRE	221	3251	gbt_forced_choice	0.505691	0.79514	0.452193	0.559188	0.224309	.	(221 fields)
30	COMBO_ALL_FIELDS	259	3251	gbt_forced_choice	0.502615	0.796678	0.454473	0.550756	0.227385	.	(259 fields)
30	COMBO_TOP5_POST_ONLY	5	3251	gbt_forced_choice	0.522301	0.596432	0.506724	0.537877	0.207699	.	pp_tmfe_frac_D30,pp_mfe_D30,pp_eff_D30,pp_net_D30,pp_slope30_D30
30	COMBO_ALL_POST	38	3251	gbt_forced_choice	0.503845	0.707167	0.487641	0.520049	0.226155	.	(38 fields)
60	BEST_SINGLE_ANY	1	3251	single_field	0.572132	0.572132	0.496357	0.647906	0.157868	side	side
60	BEST_SINGLE_PRE	1	3251	single_field	0.572132	0.572132	0.496357	0.647906	0.157868	side	side
60	BEST_SINGLE_POST	1	3251	single_field	0.561827	0.561827	0.541415	0.582239	0.168173	pp_net_D60	pp_net_D60
60	COMBO_TOP2	2	3251	gbt_forced_choice	0.57367	0.587512	0.521433	0.625906	0.15633	.	side,pp_net_D60
60	COMBO_TOP3	3	3251	gbt_forced_choice	0.571824	0.617349	0.521481	0.622168	0.158176	.	side,pp_net_D60,pp_eff_D60
60	COMBO_TOP5	5	3251	gbt_forced_choice	0.566287	0.625654	0.518162	0.614413	0.163713	.	side,pp_net_D60,pp_eff_D60,pp_giveback_D60,pp_tmfe_frac_D60
60	COMBO_TOP10	10	3251	gbt_forced_choice	0.557367	0.650569	0.512813	0.601921	0.172633	.	side,pp_net_D60,pp_eff_D60,pp_giveback_D60,pp_tmfe_frac_D60,pp_slope30_D60,pp_mfe_D60,pp_mae_D60,pp_tmae_frac_D60,pp_upfrac_D60
60	COMBO_TOP5_PRE_ONLY	5	3251	gbt_forced_choice	0.560443	0.701323	0.509007	0.611879	0.169557	.	side,ret_sess_open_with,abs_mins_to_release,accel_usd,fph_sflow_with
60	COMBO_ALL_PRE	221	3251	gbt_forced_choice	0.505691	0.79514	0.452193	0.559188	0.224309	.	(221 fields)
60	COMBO_ALL_FIELDS	259	3251	gbt_forced_choice	0.515841	0.792679	0.467576	0.564107	0.214159	.	(259 fields)
