# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# arm = LMART_HP_NOTF
# Computed from the SAME replay the $/session table uses, so the panel and the headline cannot disagree.
# dd_* are INTRA-SESSION drawdowns of the seated P&L sequence; the D-030 law is a $1000 maximum and frac_sessions_dd_over_1000 is the breach rate.
# Weekly rows use ISO weeks; weekly_pnl_p10 is the 10th percentile week -- the user's weekly framing of a bad run.
# precision_at_1000 is the fraction of TAKES paying >= $1000 (the D-021 target), not a model probability.
# takes_per_day_* are per SESSION, i.e. per (asset, trading day) -- the unit the one-position contract applies to -- not per calendar day across the three books.
arm	era	asset	n_sessions	n_takes	takes_per_day_mean	takes_per_day_p50	takes_per_day_max	win_rate	precision_at_1000	usd_per_trade_mean	usd_per_trade_median	usd_per_trade_p10	usd_per_trade_p90	mae_mean	mae_p50	mae_p90	wall_hit_rate	usd_per_session	dd_p50	dd_p90	dd_max	frac_sessions_dd_over_1000	losing_day_frac	n_weeks	weekly_pnl_mean	weekly_pnl_p10	losing_week_frac	longest_losing_streak_days	d077_vetoed_candidates
LMART_HP_NOTF	E3	ALL	390	1183	3.03	3.0	4.0	0.6585	0.1336	276.21	207.5	-930.0	1205.0	314.91	175.0	800.0	0.3322	837.83	306.88	1029.5	2457.5	0.1103	0.2846	27	12101.99	1615.75	0.037	2	6460
LMART_HP_NOTF	E3	SI	130	397	3.05	3.0	4.0	0.6146	0.1511	266.91	182.5	-930.0	1400.0	406.45	212.5	1040.0	0.4534	815.12	930.0	1535.75	2457.5	0.2154	0.3769	27	3924.63	-917.5	0.1481	7	
LMART_HP_NOTF	E3	HG	130	392	3.02	3.0	4.0	0.6735	0.1454	293.55	220.0	-646.25	1268.75	309.07	187.5	741.87	0.3061	885.16	326.88	930.0	1860.0	0.0462	0.2538	27	4261.9	693.5	0.037	4	
LMART_HP_NOTF	E3	NKD	130	394	3.03	3.0	4.0	0.6878	0.1041	268.32	201.25	-388.75	1020.0	228.49	137.5	550.0	0.236	813.21	80.0	955.0	2290.0	0.0692	0.2231	27	3915.46	212.5	0.1111	2	
LMART_HP_NOTF	E4	ALL	385	1155	3.0	3.0	3.0	0.7342	0.1446	398.66	295.0	-330.0	1215.0	253.66	125.0	637.5	0.2519	1195.99	98.75	930.0	1910.0	0.0442	0.1247	26	17709.86	10187.5	0.0	1	6324
LMART_HP_NOTF	E4	SI	128	384	3.0	3.0	3.0	0.7057	0.1589	463.33	326.25	-467.5	1487.5	377.47	200.0	980.0	0.3672	1389.98	161.25	930.0	1260.0	0.0547	0.1406	26	6842.98	2000.0	0.0385	3	
LMART_HP_NOTF	E4	HG	128	384	3.0	3.0	3.0	0.7214	0.1406	345.21	282.5	-355.0	1126.25	210.3	118.75	543.75	0.2318	1035.63	95.62	889.5	1521.25	0.0469	0.1641	26	5098.51	2662.5	0.0	2	
LMART_HP_NOTF	E4	NKD	129	387	3.0	3.0	3.0	0.7752	0.1344	387.54	307.5	-205.0	1150.0	173.84	112.5	430.0	0.1576	1162.62	17.5	935.0	1910.0	0.031	0.0698	26	5768.37	3587.5	0.0	2	
LMART_HP_NOTF	E5	ALL	387	1161	3.0	3.0	3.0	0.7123	0.1197	319.8	238.75	-398.75	1107.5	209.38	100.0	587.5	0.2214	959.4	155.0	930.0	2190.0	0.0336	0.1783	26	14280.34	7984.37	0.0	2	6108
LMART_HP_NOTF	E5	SI	129	387	3.0	3.0	3.0	0.7028	0.1447	367.19	270.0	-432.5	1250.0	295.35	150.0	780.0	0.3282	1101.57	180.0	930.0	2190.0	0.0388	0.2016	26	5465.48	1420.0	0.0385	3	
LMART_HP_NOTF	E5	HG	129	387	3.0	3.0	3.0	0.7209	0.062	249.22	195.0	-262.5	878.75	145.62	62.5	350.0	0.1318	747.65	98.75	543.75	1715.0	0.0155	0.1473	26	3709.47	1525.0	0.0	2	
LMART_HP_NOTF	E5	NKD	129	387	3.0	3.0	3.0	0.7132	0.1525	343.0	257.5	-490.0	1212.5	187.18	87.5	505.0	0.2041	1028.99	267.5	955.0	1465.0	0.0465	0.186	26	5105.38	2056.25	0.0385	2	
LMART_HP_NOTF	E6	ALL	384	1152	3.0	3.0	3.0	0.6328	0.171	309.01	220.0	-930.0	1406.25	323.21	162.5	812.5	0.3368	927.02	386.25	1291.5	2865.0	0.1536	0.2839	26	13691.44	7128.13	0.0	2	6264
LMART_HP_NOTF	E6	SI	128	384	3.0	3.0	3.0	0.6146	0.2135	387.94	251.25	-930.0	1605.0	448.8	237.5	1146.25	0.4323	1163.81	586.25	1344.0	2865.0	0.1875	0.2578	26	5729.52	1207.5	0.0769	5	
LMART_HP_NOTF	E6	HG	128	384	3.0	3.0	3.0	0.6693	0.1068	259.1	223.12	-545.0	1039.38	210.16	112.5	512.5	0.2292	777.29	192.5	1121.25	2790.0	0.1172	0.2344	26	3826.63	531.25	0.0385	3	
LMART_HP_NOTF	E6	NKD	128	384	3.0	3.0	3.0	0.6146	0.1927	279.99	182.5	-955.0	1591.25	310.68	175.0	746.25	0.349	839.98	713.75	1302.75	2727.5	0.1562	0.3594	26	4135.29	-1406.25	0.2308	5	
LMART_HP_NOTF	E7	ALL	393	1179	3.0	3.0	3.0	0.6014	0.1925	322.09	195.0	-930.0	1607.5	399.8	206.25	1002.5	0.3808	966.28	635.0	1561.25	2865.0	0.2366	0.3359	27	14064.77	4730.0	0.0	2	5098
LMART_HP_NOTF	E7	SI	131	393	3.0	3.0	3.0	0.5013	0.1832	196.53	7.5	-930.0	1732.5	550.32	337.5	1472.5	0.5369	589.58	930.0	1865.0	2865.0	0.3969	0.4504	27	2860.56	-2397.5	0.2963	4	
LMART_HP_NOTF	E7	HG	131	393	3.0	3.0	3.0	0.6361	0.1094	214.77	176.25	-775.0	1052.5	243.8	150.0	568.75	0.2392	644.3	267.5	1235.0	2790.0	0.1374	0.2977	27	3126.06	417.5	0.1111	3	
LMART_HP_NOTF	E7	NKD	131	393	3.0	3.0	3.0	0.6667	0.285	554.99	370.0	-955.0	2002.5	405.28	187.5	995.0	0.3664	1664.96	680.0	1302.5	2865.0	0.1756	0.2595	27	8078.15	1375.5	0.0741	3	
