ep	asset	sec	side	p	call	src	compl	why
NKD-20240118-S-E01	NK	00:04	S	0.064	SKIP	RUBRIC	-	fresh+flow+wide
NKD-20240118-L-E01	NK	00:23	L	0.045	SKIP	RUBRIC	-	flow+wide
SI-20240118-L-E01	SI	00:23	L	0.064	SKIP	RUBRIC	-	flow
HG-20240118-S-E01	HG	00:24	S	0.064	SKIP	RUBRIC	-	flow
SI-20240118-L-E02	SI	00:26	L	0.064	SKIP	RUBRIC	-	flow
NKD-20240118-L-E02	NK	00:32	L	0.045	SKIP	RUBRIC	-	fuel+wide
NKD-20240118-S-E02	NK	00:34	S	0.045	SKIP	RUBRIC	-	flow+wide
NKD-20240118-L-E03	NK	00:37	L	0.064	SKIP	RUBRIC	-	fresh+fuel+wide
NKD-20240118-S-E03	NK	00:40	S	0.032	SKIP	RUBRIC	-	wide
NKD-20240118-S-E04	NK	00:43	S	0.045	SKIP	RUBRIC	-	level_held+wide
NKD-20240118-L-E04	NK	00:45	L	0.064	SKIP	RUBRIC	-	fresh+flow+wide
NKD-20240118-S-E05	NK	00:47	S	0.032	SKIP	RUBRIC	-	wide
NKD-20240118-S-E06	NK	00:51	S	0.064	SKIP	RUBRIC	-	level_held+flow+wide
SI-20240118-L-E03	SI	00:52	L	0.045	SKIP	RUBRIC	-	base
NKD-20240118-L-E05	NK	00:56	L	0.220	TAKE	OVERRIDE	-	Tokyo low w/ $1,932 unspent and 6.5h runway; trapped volume 134 above vs 3 below = fuel for a squeeze up; mid $312 below prior-session POC = a magnet with room; vol contracting (rv60 98 vs rv1800 394) so the seller push is spent
NKD-20240118-S-E07	NK	00:57	S	0.064	SKIP	RUBRIC	-	level_held+flow+wide
NKD-20240118-L-E06	NK	01:01	L	0.180	SKIP	OVERRIDE	-	same low, ignition version: 10 members, +300 1-min slope, trades/min z 6.6, rv60 262 — the reclaim actually firing
NKD-20240118-S-E08	NK	01:01	S	0.129	SKIP	RUBRIC	-	level_held+flow+fuel+burst+wide
NKD-20240118-S-E09	NK	01:06	S	0.091	SKIP	RUBRIC	-	fresh+level_held+flow+wide
NKD-20240118-L-E07	NK	01:07	L	0.129	SKIP	RUBRIC	-	fresh+level_held+flow+fuel+wide
SI-20240118-S-E01	SI	01:08	S	0.091	SKIP	RUBRIC	-	fresh+flow
NKD-20240118-S-E10	NK	01:15	S	0.091	SKIP	RUBRIC	-	fresh+level_held+flow_against+fuel
NKD-20240118-L-E08	NK	01:16	L	0.120	SKIP	OVERRIDE	-	fuel map flips (515 below vs 21 above) but unspent already down to $1,257
SI-20240118-L-E04	SI	01:18	L	0.045	SKIP	RUBRIC	-	base
HG-20240118-S-E02	HG	01:19	S	0.064	SKIP	RUBRIC	-	flow
NKD-20240118-S-E11	NK	01:20	S	0.129	SKIP	RUBRIC	-	fresh+level_held+flow+fuel+wide
NKD-20240118-L-E09	NK	01:22	L	0.045	SKIP	RUBRIC	-	level_held+wide
NKD-20240118-S-E12	NK	01:27	S	0.091	SKIP	RUBRIC	-	fresh+level_held+flow+wide
NKD-20240118-L-E10	NK	01:28	L	0.064	SKIP	RUBRIC	-	level_held+flow+wide
SI-20240118-S-E02	SI	01:32	S	0.064	SKIP	RUBRIC	-	flow
HG-20240118-S-E03	HG	01:32	S	0.064	SKIP	RUBRIC	-	flow
NKD-20240118-L-E11	NK	01:35	L	0.091	SKIP	RUBRIC	-	level_held+flow
NKD-20240118-S-E13	NK	01:35	S	0.091	SKIP	RUBRIC	-	level_held+flow
NKD-20240118-S-E14	NK	01:40	S	0.045	SKIP	RUBRIC	-	level_held+flow_against+fuel+wide
NKD-20240118-S-E15	NK	01:45	S	0.064	SKIP	RUBRIC	-	level_held+flow+wide
SI-20240118-L-E05	SI	01:47	L	0.045	SKIP	RUBRIC	-	stale+flow
HG-20240118-L-E01	HG	01:48	L	0.064	SKIP	RUBRIC	-	flow
NKD-20240118-L-E12	NK	01:48	L	0.032	SKIP	RUBRIC	-	wide
HG-20240118-L-E02	HG	01:50	L	0.064	SKIP	RUBRIC	-	flow
NKD-20240118-S-E16	NK	01:53	S	0.091	SKIP	RUBRIC	-	level_held+flow+fuel+wide
HG-20240118-L-E03	HG	01:55	L	0.064	SKIP	RUBRIC	-	flow
NKD-20240118-L-E13	NK	01:58	L	0.045	SKIP	RUBRIC	-	level_held+wide
SI-20240118-L-E06	SI	02:02	L	0.064	SKIP	RUBRIC	-	stale+level_held+flow
HG-20240118-S-E04	HG	02:02	S	0.064	SKIP	RUBRIC	-	fresh+flow_against+fuel
NKD-20240118-S-E17	NK	02:02	S	0.064	SKIP	RUBRIC	-	level_held+flow+wide
HG-20240118-L-E04	HG	02:02	L	0.091	SKIP	RUBRIC	-	level_held+flow
NKD-20240118-L-E14	NK	02:07	L	0.064	SKIP	RUBRIC	-	level_held+fuel+wide
NKD-20240118-S-E18	NK	02:08	S	0.064	SKIP	RUBRIC	-	level_held+flow+wide
NKD-20240118-S-E19	NK	02:11	S	0.045	SKIP	RUBRIC	-	level_held+wide
HG-20240118-S-E05	HG	02:13	S	0.182	TAKE	RUBRIC	-	fresh+level_held+flow+fuel
NKD-20240118-L-E15	NK	02:18	L	0.045	SKIP	RUBRIC	-	level_held+flow_against+fuel+wide
HG-20240118-L-E05	HG	02:19	L	0.091	SKIP	RUBRIC	-	level_held+flow
NKD-20240118-S-E20	NK	02:21	S	0.045	SKIP	RUBRIC	-	level_held+wide
HG-20240118-S-E06	HG	02:23	S	0.129	SKIP	RUBRIC	-	level_held+flow+fuel
SI-20240118-S-E03	SI	02:23	S	0.091	SKIP	RUBRIC	-	fresh+flow
NKD-20240118-S-E21	NK	02:23	S	0.045	SKIP	RUBRIC	-	level_held+wide
HG-20240118-S-E07	HG	02:27	S	0.064	SKIP	RUBRIC	-	flow
SI-20240118-S-E04	SI	02:27	S	0.091	SKIP	RUBRIC	-	fresh+flow
NKD-20240118-L-E16	NK	02:28	L	0.064	SKIP	RUBRIC	-	level_held+flow+wide
NKD-20240118-S-E22	NK	02:32	S	0.064	SKIP	RUBRIC	-	level_held+flow+wide
HG-20240118-S-E08	HG	02:34	S	0.064	SKIP	RUBRIC	-	flow
NKD-20240118-L-E17	NK	02:36	L	0.064	SKIP	RUBRIC	-	level_held+flow+wide
HG-20240118-L-E06	HG	02:38	L	0.064	SKIP	RUBRIC	-	flow
HG-20240118-S-E09	HG	02:39	S	0.032	SKIP	RUBRIC	-	flow_against
NKD-20240118-S-E23	NK	02:40	S	0.064	SKIP	RUBRIC	-	level_held
NKD-20240118-L-E18	NK	02:42	L	0.045	SKIP	RUBRIC	-	stale+level_held+flow+wide
NKD-20240118-S-E24	NK	02:43	S	0.064	SKIP	RUBRIC	-	level_held+fuel+wide
SI-20240118-S-E05	SI	02:44	S	0.064	SKIP	RUBRIC	-	flow
NKD-20240118-S-E25	NK	02:46	S	0.064	SKIP	RUBRIC	-	fuel
NKD-20240118-L-E19	NK	02:46	L	0.032	SKIP	RUBRIC	-	stale+flow+wide
NKD-20240118-S-E26	NK	02:49	S	0.091	SKIP	RUBRIC	-	level_held+flow+fuel+wide
NKD-20240118-L-E20	NK	02:50	L	0.032	SKIP	RUBRIC	-	stale+level_held+wide
HG-20240118-L-E07	HG	02:52	L	0.091	SKIP	RUBRIC	-	level_held+flow
SI-20240118-L-E07	SI	02:53	L	0.045	SKIP	RUBRIC	-	stale+flow
NKD-20240118-L-E21	NK	02:54	L	0.032	SKIP	RUBRIC	-	stale+flow+wide
NKD-20240118-S-E27	NK	02:55	S	0.091	SKIP	RUBRIC	-	fresh+level_held+fuel+wide
HG-20240118-L-E08	HG	02:56	L	0.091	SKIP	RUBRIC	-	level_held+flow
NKD-20240118-S-E28	NK	02:59	S	0.129	SKIP	RUBRIC	-	fresh+level_held+fuel
NKD-20240118-L-E22	NK	03:00	L	0.045	SKIP	RUBRIC	-	stale+flow
SI-20240118-S-E06	SI	03:02	S	0.064	SKIP	RUBRIC	-	flow+fuel+wide
HG-20240118-S-E10	HG	03:04	S	0.129	SKIP	RUBRIC	-	fresh+level_held+fuel
SI-20240118-L-E08	SI	03:07	L	0.064	SKIP	RUBRIC	-	stale+level_held+flow
NKD-20240118-S-E29	NK	03:07	S	0.091	SKIP	RUBRIC	-	fresh+level_held+fuel+wide
NKD-20240118-L-E23	NK	03:09	L	0.032	SKIP	RUBRIC	-	stale
NKD-20240118-S-E30	NK	03:09	S	0.129	SKIP	RUBRIC	-	fresh+flow+fuel
HG-20240118-S-E11	HG	03:12	S	0.091	SKIP	RUBRIC	-	fresh+flow
SI-20240118-S-E07	SI	03:13	S	0.032	SKIP	RUBRIC	-	wide
NKD-20240118-L-E24	NK	03:14	L	0.032	SKIP	RUBRIC	-	stale
NKD-20240118-S-E31	NK	03:14	S	0.129	SKIP	RUBRIC	-	fresh+flow+fuel
HG-20240118-L-E09	HG	03:17	L	0.064	SKIP	RUBRIC	-	stale+level_held+flow
NKD-20240118-L-E25	NK	03:17	L	0.032	SKIP	RUBRIC	-	stale+level_held+wide
SI-20240118-L-E09	SI	03:21	L	0.022	SKIP	RUBRIC	-	stale+wide
HG-20240118-S-E12	HG	03:22	S	0.064	SKIP	RUBRIC	-	flow
NKD-20240118-S-E32	NK	03:25	S	0.064	SKIP	RUBRIC	-	flow+fuel+wide
SI-20240118-S-E08	SI	03:26	S	0.045	SKIP	RUBRIC	-	flow+wide
HG-20240118-L-E10	HG	03:29	L	0.032	SKIP	RUBRIC	-	stale+flow_against+fuel
NKD-20240118-S-E33	NK	03:29	S	0.091	SKIP	RUBRIC	-	flow+fuel
HG-20240118-L-E11	HG	03:31	L	0.064	SKIP	RUBRIC	-	stale+flow+fuel
NKD-20240118-L-E26	NK	03:35	L	0.045	SKIP	RUBRIC	-	stale+level_held+flow+wide
HG-20240118-L-E12	HG	03:38	L	0.064	SKIP	RUBRIC	-	stale+flow+fuel
NKD-20240118-S-E34	NK	03:38	S	0.064	SKIP	RUBRIC	-	flow+fuel+wide
HG-20240118-S-E13	HG	03:39	S	0.045	SKIP	RUBRIC	-	base
HG-20240118-S-E14	HG	03:45	S	0.045	SKIP	RUBRIC	-	base
SI-20240118-S-E09	SI	03:47	S	0.064	SKIP	RUBRIC	-	flow
HG-20240118-S-E15	HG	03:48	S	0.064	SKIP	RUBRIC	-	flow
NKD-20240118-L-E27	NK	03:50	L	0.045	SKIP	RUBRIC	-	stale+flow
NKD-20240118-S-E35	NK	03:53	S	0.032	SKIP	RUBRIC	-	wide
NKD-20240118-L-E28	NK	04:02	L	0.022	SKIP	RUBRIC	-	stale+wide
HG-20240118-L-E13	HG	04:03	L	0.150	SKIP	OVERRIDE	-	phase H/L level 6c away, extreme 305s old, 60s flow +13 with the long, refill 0.68 = book restocking; $465 unspent on a $1,017 range_hat day is proportionally live
HG-20240118-S-E16	HG	04:06	S	0.064	SKIP	RUBRIC	-	flow
SI-20240118-L-E10	SI	04:06	L	0.150	SKIP	OVERRIDE	-	OR_EXT confluence 44c away, cross-class RCL, extreme only 486s old, 5-min flow +21 with the long; $781 unspent and 3.9h of phase left
NKD-20240118-S-E36	NK	04:07	S	0.045	SKIP	RUBRIC	-	level_held+wide
NKD-20240118-S-E37	NK	04:10	S	0.045	SKIP	RUBRIC	-	flow+wide
HG-20240118-L-E14	HG	04:17	L	0.129	SKIP	RUBRIC	-	level_held+flow+fuel
NKD-20240118-L-E29	NK	04:17	L	0.064	SKIP	RUBRIC	-	stale+level_held+flow
SI-20240118-L-E11	SI	04:19	L	0.091	SKIP	RUBRIC	-	level_held+fuel
HG-20240118-S-E17	HG	04:26	S	0.091	SKIP	RUBRIC	-	level_held+flow
NKD-20240118-L-E30	NK	04:31	L	0.032	SKIP	RUBRIC	-	stale+flow+wide
NKD-20240118-S-E38	NK	04:34	S	0.064	SKIP	RUBRIC	-	flow+fuel+wide
NKD-20240118-L-E31	NK	04:37	L	0.022	SKIP	RUBRIC	-	stale+wide
HG-20240118-L-E15	HG	04:37	L	0.091	SKIP	RUBRIC	-	level_held+flow
NKD-20240118-S-E39	NK	04:44	S	0.045	SKIP	RUBRIC	-	stale+level_held+fuel+wide
NKD-20240118-L-E32	NK	04:50	L	0.045	SKIP	RUBRIC	-	stale+level_held+flow+wide
NKD-20240118-S-E40	NK	04:51	S	0.045	SKIP	RUBRIC	-	stale+flow+fuel+wide
HG-20240118-S-E18	HG	04:53	S	0.045	SKIP	RUBRIC	-	stale+level_held
NKD-20240118-S-E41	NK	04:59	S	0.045	SKIP	RUBRIC	-	stale+flow+fuel+wide
NKD-20240118-S-E42	NK	05:03	S	0.045	SKIP	RUBRIC	-	stale+flow
HG-20240118-S-E19	HG	05:04	S	0.064	SKIP	RUBRIC	-	stale+level_held+flow
NKD-20240118-L-E33	NK	05:07	L	0.045	SKIP	RUBRIC	-	stale+level_held+flow+wide
HG-20240118-S-E20	HG	05:10	S	0.064	SKIP	RUBRIC	-	stale+level_held+flow
NKD-20240118-S-E43	NK	05:10	S	0.045	SKIP	RUBRIC	-	stale+level_held+flow+wide
NKD-20240118-L-E34	NK	05:13	L	0.032	SKIP	RUBRIC	-	stale+flow+wide
NKD-20240118-S-E44	NK	05:17	S	0.064	SKIP	RUBRIC	-	stale+level_held+flow
NKD-20240118-L-E35	NK	05:27	L	0.032	SKIP	RUBRIC	-	stale+level_held+wide
NKD-20240118-S-E45	NK	05:33	S	0.032	SKIP	RUBRIC	-	stale+level_held+wide
