# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# ORACLE_* arms are HINDSIGHT BOUNDS: the per-cell choice is made with the realised certificate in hand.  They are ceilings, never results.
# CHAMP_D0 is the committed champion LMART_HP_NOTF, re-seated here through replay_delayed at D=0 (proved seat-for-seat identical to m3_walk.replay_rows).
# ORACLE_JOINT_DISPLACED is the red-first control for the timing freedom: own D=0 certificate, ANOTHER candidate's delay increments.  The part of the joint ceiling it reproduces is max-of-five selection noise, not timing.
arm	era	topn	n_takes	n_seated	usd_per_session	ps_lo	ps_hi	usd_per_trade	frac_ge_1000	capture_oracle	delay_mix
CHAMP_D0	E3	2	2340	1183	837.83	651.06	1024.6	276.21	0.1336	0.3301	{"0": 1183}
RANDOM_MEMBER_D0	E3	2	2340	1309	-209.68	-342.21	-77.16	-62.47	0.0665	-0.0826	{"0": 1309}
ORACLE_MEMBER_D0	E3	2	2340	1170	2969.1	2811.41	3126.8	989.7	0.3521	1.1698	{"0": 1170}
ORACLE_MEMBER_D60	E3	2	2340	1170	2960.87	2803.02	3118.71	986.96	0.353	1.1665	{"60": 1170}
ORACLE_MEMBER_D120	E3	2	2340	1170	2963.11	2805.76	3120.46	987.7	0.359	1.1674	{"120": 1170}
ORACLE_MEMBER_D300	E3	2	2340	1170	2953.4	2797.04	3109.75	984.47	0.359	1.1636	{"300": 1170}
ORACLE_MEMBER_D600	E3	2	2340	1170	2934.86	2779.86	3089.85	978.29	0.3496	1.1563	{"600": 1170}
ORACLE_JOINT	E3	2	2340	1170	3114.33	2956.91	3271.74	1038.11	0.3889	1.227	{"0": 243, "60": 150, "120": 170, "300": 248, "600": 359}
ORACLE_JOINT_DISPLACED	E3	2	2340	1185	5477.2	5254.45	5699.94	1802.62	0.7224	2.1579	{"0": 46, "60": 52, "120": 110, "300": 258, "600": 719}
ORACLE_GATE_D0	E3	2	860	860	1567.64	1407.63	1727.64	696.32	0.2163	0.6236	{"0": 860}
ORACLE_ABSTAIN_D0	E3	2	814	814	1452.05	1295.68	1608.43	677.86	0.2076	0.5766	{"0": 814}
ORACLE_PICK2_D0	E3	2	1170	1170	1194.36	1004.61	1384.11	398.12	0.159	0.4706	{"0": 1170}
ORACLE_GATE_D60	E3	2	848	848	1545.29	1389.28	1701.29	694.29	0.2111	0.6127	{"60": 848}
ORACLE_ABSTAIN_D60	E3	2	799	799	1442.5	1287.14	1597.86	680.63	0.204	0.5706	{"60": 799}
ORACLE_PICK2_D60	E3	2	1170	1170	1160.0	974.06	1345.94	386.67	0.153	0.457	{"60": 1170}
ORACLE_GATE_D120	E3	2	836	836	1529.72	1375.22	1684.23	695.33	0.2141	0.6092	{"120": 836}
ORACLE_ABSTAIN_D120	E3	2	787	787	1419.24	1264.71	1573.76	681.67	0.2097	0.5642	{"120": 787}
ORACLE_PICK2_D120	E3	2	1169	1169	1141.74	956.46	1327.03	380.91	0.1531	0.4498	{"120": 1169}
CHAMP_D0	E4	1	1155	1155	1195.99	1058.57	1333.41	398.66	0.1446	0.5662	{"0": 1155}
RANDOM_MEMBER_D0	E4	1	1155	1155	-55.78	-163.07	51.51	-18.59	0.0468	-0.0264	{"0": 1155}
ORACLE_MEMBER_D0	E4	1	1155	1155	2744.17	2615.36	2872.98	914.72	0.3186	1.2992	{"0": 1155}
ORACLE_MEMBER_D60	E4	1	1155	1155	2743.41	2614.41	2872.41	914.47	0.3169	1.2988	{"60": 1155}
ORACLE_MEMBER_D120	E4	1	1155	1155	2741.66	2613.01	2870.3	913.89	0.3229	1.298	{"120": 1155}
ORACLE_MEMBER_D300	E4	1	1155	1155	2733.13	2603.36	2862.91	911.04	0.3169	1.2939	{"300": 1155}
ORACLE_MEMBER_D600	E4	1	1155	1155	2719.61	2592.56	2846.66	906.54	0.3152	1.2875	{"600": 1155}
ORACLE_JOINT	E4	1	1155	1155	2876.72	2745.72	3007.72	958.91	0.3498	1.3619	{"0": 236, "60": 154, "120": 178, "300": 249, "600": 338}
ORACLE_JOINT_DISPLACED	E4	1	1155	1151	5566.07	5368.25	5763.9	1861.81	0.7341	2.6352	{"0": 17, "60": 55, "120": 85, "300": 233, "600": 761}
ORACLE_GATE_D0	E4	1	882	882	1555.96	1436.17	1675.75	673.9	0.2041	0.7402	{"0": 882}
ORACLE_ABSTAIN_D0	E4	1	848	848	1490.63	1371.39	1609.86	669.73	0.1969	0.7129	{"0": 848}
ORACLE_PICK2_D0	E4	1	1155	1155	1321.82	1188.23	1455.41	440.61	0.1558	0.6258	{"0": 1155}
ORACLE_GATE_D60	E4	1	872	872	1540.24	1421.35	1659.12	671.2	0.1972	0.7304	{"60": 872}
ORACLE_ABSTAIN_D60	E4	1	829	829	1472.43	1352.86	1592.0	671.39	0.199	0.7001	{"60": 829}
ORACLE_PICK2_D60	E4	1	1155	1155	1295.5	1162.08	1428.93	431.83	0.1489	0.6133	{"60": 1155}
ORACLE_GATE_D120	E4	1	872	872	1530.47	1413.01	1647.92	665.19	0.1961	0.7257	{"120": 872}
ORACLE_ABSTAIN_D120	E4	1	829	829	1448.04	1334.13	1561.95	658.52	0.1954	0.6884	{"120": 829}
ORACLE_PICK2_D120	E4	1	1155	1155	1277.37	1145.32	1409.42	425.79	0.1481	0.6047	{"120": 1155}
CHAMP_D0	E5	1	1161	1161	959.4	828.82	1089.98	319.8	0.1197	0.5419	{"0": 1161}
RANDOM_MEMBER_D0	E5	1	1161	1161	-65.1	-164.37	34.17	-21.7	0.0457	-0.0368	{"0": 1161}
ORACLE_MEMBER_D0	E5	1	1161	1161	2582.61	2457.89	2707.33	860.87	0.2842	1.4587	{"0": 1161}
ORACLE_MEMBER_D60	E5	1	1161	1161	2581.4	2456.09	2706.71	860.47	0.2851	1.4581	{"60": 1161}
ORACLE_MEMBER_D120	E5	1	1161	1161	2575.97	2451.77	2700.17	858.66	0.2877	1.455	{"120": 1161}
ORACLE_MEMBER_D300	E5	1	1161	1161	2575.55	2451.03	2700.08	858.52	0.2825	1.4547	{"300": 1161}
ORACLE_MEMBER_D600	E5	1	1161	1161	2565.14	2442.98	2687.29	855.05	0.2765	1.4489	{"600": 1161}
ORACLE_JOINT	E5	1	1161	1161	2706.35	2580.32	2832.38	902.12	0.3101	1.5286	{"0": 256, "60": 155, "120": 160, "300": 262, "600": 328}
ORACLE_JOINT_DISPLACED	E5	1	1161	1148	5125.09	4944.29	5305.9	1727.71	0.6603	2.8948	{"0": 11, "60": 39, "120": 67, "300": 257, "600": 774}
ORACLE_GATE_D0	E5	1	856	856	1347.97	1241.31	1454.64	601.55	0.1706	0.7678	{"0": 856}
ORACLE_ABSTAIN_D0	E5	1	827	827	1297.1	1190.19	1404.0	596.01	0.1681	0.7426	{"0": 827}
ORACLE_PICK2_D0	E5	1	1161	1161	1056.83	929.63	1184.04	352.28	0.1258	0.5969	{"0": 1161}
ORACLE_GATE_D60	E5	1	855	855	1338.11	1231.65	1444.57	596.28	0.1696	0.7661	{"60": 855}
ORACLE_ABSTAIN_D60	E5	1	824	824	1276.36	1169.81	1382.91	588.61	0.1699	0.7307	{"60": 824}
ORACLE_PICK2_D60	E5	1	1161	1161	1044.11	917.11	1171.11	348.04	0.1249	0.5897	{"60": 1161}
ORACLE_GATE_D120	E5	1	843	843	1329.19	1224.23	1434.14	599.16	0.1649	0.759	{"120": 843}
ORACLE_ABSTAIN_D120	E5	1	812	812	1260.08	1155.62	1364.55	588.14	0.1663	0.7195	{"120": 812}
ORACLE_PICK2_D120	E5	1	1161	1161	1024.78	898.56	1150.99	341.59	0.1197	0.5788	{"120": 1161}
CHAMP_D0	E6	1	1152	1152	927.02	749.24	1104.81	309.01	0.171	0.307	{"0": 1152}
RANDOM_MEMBER_D0	E6	1	1152	1152	-37.57	-168.99	93.84	-12.52	0.0686	-0.0124	{"0": 1152}
ORACLE_MEMBER_D0	E6	1	1152	1152	3366.93	3157.5	3576.37	1122.31	0.4158	1.1148	{"0": 1152}
ORACLE_MEMBER_D60	E6	1	1152	1152	3366.9	3157.83	3575.97	1122.3	0.4158	1.1148	{"60": 1152}
ORACLE_MEMBER_D120	E6	1	1152	1152	3370.11	3159.62	3580.59	1123.37	0.4149	1.1159	{"120": 1152}
ORACLE_MEMBER_D300	E6	1	1152	1152	3354.24	3144.36	3564.12	1118.08	0.4132	1.1106	{"300": 1152}
ORACLE_MEMBER_D600	E6	1	1152	1152	3349.53	3141.14	3557.93	1116.51	0.4149	1.1091	{"600": 1152}
ORACLE_JOINT	E6	1	1152	1152	3523.93	3308.8	3739.06	1174.64	0.4366	1.1668	{"0": 250, "60": 174, "120": 171, "300": 226, "600": 331}
ORACLE_JOINT_DISPLACED	E6	1	1152	1144	7725.09	7469.63	7980.55	2593.04	0.84	2.5579	{"0": 13, "60": 41, "120": 101, "300": 261, "600": 728}
ORACLE_GATE_D0	E6	1	795	795	1719.48	1581.0	1857.95	800.26	0.2855	0.5814	{"0": 795}
ORACLE_ABSTAIN_D0	E6	1	729	729	1606.68	1467.02	1746.34	793.42	0.2702	0.5494	{"0": 729}
ORACLE_PICK2_D0	E6	1	1152	1152	1191.3	1017.72	1364.88	397.1	0.197	0.3945	{"0": 1152}
ORACLE_GATE_D60	E6	1	780	780	1710.26	1571.04	1849.48	806.89	0.2795	0.5769	{"60": 780}
ORACLE_ABSTAIN_D60	E6	1	710	710	1592.53	1452.34	1732.72	802.99	0.2704	0.5415	{"60": 710}
ORACLE_PICK2_D60	E6	1	1152	1152	1178.83	1006.56	1351.11	392.94	0.1892	0.3903	{"60": 1152}
ORACLE_GATE_D120	E6	1	786	786	1701.48	1564.37	1838.59	796.62	0.2774	0.5762	{"120": 786}
ORACLE_ABSTAIN_D120	E6	1	717	717	1574.87	1436.63	1713.1	788.53	0.2678	0.5373	{"120": 717}
ORACLE_PICK2_D120	E6	1	1152	1152	1170.94	999.95	1341.92	390.31	0.1892	0.3877	{"120": 1152}
CHAMP_D0	E7	1	1179	1179	966.28	742.38	1190.19	322.09	0.1925	0.243	{"0": 1179}
