# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# AN EXACT ARITHMETIC CORRECTION, NOT A RE-RUN.  `panel_score.cluster_mean` returns the PLAIN mean of the rows it is handed and `replay_delayed` hands it one row per session THAT TRADED, so usd_per_session_ALL = usd_per_FIRING_session x n_firing / n_era_sessions, exactly.
# WHY THIS MATTERS MORE THAN A TIDY-UP.  ARRIVAL_PROPHET.tsv appeared to BEAT the full-hindsight DP ceiling (E5 $3,264 vs $2,583) and the journal recorded that as 'the structure gap is negative'.  A causal bound cannot exceed a hindsight bound; the impossibility was the defect announcing itself.  Corrected, the prophet's best arm is TAU_0.7/0.8 at capture 0.9925 / 0.9930 / 1.0010 of the causal oracle — exactly what a prophet must do.
# THE SUBSTANTIVE CONCLUSION SURVIVES AND IS CLEANER: the prophet attains ~99-100% of the causal oracle, so deciding at the arrival second costs essentially nothing against that denominator.  100% of the deficit is PREDICTION and 0% is STRUCTURE.
# THE DESIGN CONCLUSION IS REVERSED.  The old argmax was TAU_0.99, an arm firing in 29 of 387 sessions, and the program read from it that TIME-SELECTIVITY is the axis and ~1.0 seats/session is the winning shape.  Corrected, the money is in TAU_0.7/0.8, which fires in EVERY session at 2.8-2.9 seats.  The three 'independent' measurements that agreed on selectivity were the same artifact three times.
# THIS TABLE ALSO SERVES AS THE MISSING WRITER FOR THE BAR: the causal oracle has no computing code anywhere in /workspace/engine and lives only as prose plus a hardcoded dict.  The TAU rows here reproduce it to within 1% on a verified denominator.
era	criterion	policy	knob	n_firing_sessions	n_era_sessions	firing_rate	usd_per_FIRING_session_AS_PUBLISHED	usd_per_session_ALL_CORRECTED	causal_oracle	capture_CORRECTED	capture_AS_PUBLISHED
E5	BINDING	TAU_0.7	0.7	387	387	1.0	2005.87	2005.87	2021.0	0.9925	0.9925
E5	BINDING	TAU_0.8	0.8	380	387	0.9819	1985.16	1949.25	2021.0	0.9645	0.9823
E5	BINDING	TAU_0.5	0.5	387	387	1.0	1774.15	1774.15	2021.0	0.8779	0.8779
E5	BINDING	DAYSOFAR_0.7	0.7	387	387	1.0	1738.6	1738.6	2021.0	0.8603	0.8603
E5	BINDING	DAYSOFAR_0.9	0.9	376	387	0.9716	1668.48	1621.06	2021.0	0.8021	0.8256
E5	BINDING	DAYSOFAR_0.5	0.5	387	387	1.0	1435.78	1435.78	2021.0	0.7104	0.7104
E5	BINDING	TAU_0.9	0.9	288	387	0.7442	1914.81	1424.97	2021.0	0.7051	0.9475
E5	BINDING	CELLSOFAR_0.8	0.8	387	387	1.0	1300.99	1300.99	2021.0	0.6437	0.6437
E5	BINDING	CELLSOFAR_0.9	0.9	385	387	0.9948	1286.09	1279.44	2021.0	0.6331	0.6364
E5	BINDING	CELLSOFAR_0.95	0.95	384	387	0.9922	1280.52	1270.59	2021.0	0.6287	0.6336
E5	BINDING	SECRETARY_0.1	0.1	372	387	0.9612	1288.91	1238.95	2021.0	0.613	0.6378
E5	BINDING	SECRETARY_RE_0.1	0.1	372	387	0.9612	1288.91	1238.95	2021.0	0.613	0.6378
E5	BINDING	CELLSOFAR_0.99	0.99	383	387	0.9897	1232.92	1220.18	2021.0	0.6037	0.6101
E5	BINDING	TAU_0.95	0.95	163	387	0.4212	2110.89	889.08	2021.0	0.4399	1.0445
E5	BINDING	SECRETARY_0.25	0.25	327	387	0.845	996.6	842.09	2021.0	0.4167	0.4931
E5	BINDING	SECRETARY_RE_0.25	0.25	327	387	0.845	996.6	842.09	2021.0	0.4167	0.4931
E5	BINDING	OCCUPANCY_2	2.0	374	387	0.9664	794.72	768.02	2021.0	0.38	0.3932
E5	BINDING	OCCUPANCY_0.5	0.5	368	387	0.9509	649.3	617.42	2021.0	0.3055	0.3213
E5	BINDING	OCCUPANCY_1	1.0	371	387	0.9587	576.7	552.86	2021.0	0.2736	0.2854
E5	BINDING	TAU_0.975	0.975	76	387	0.1964	2631.79	516.84	2021.0	0.2557	1.3022
E5	BINDING	SECRETARY_0.5	0.5	227	387	0.5866	712.58	417.97	2021.0	0.2068	0.3526
E5	BINDING	SECRETARY_RE_0.5	0.5	227	387	0.5866	712.58	417.97	2021.0	0.2068	0.3526
E5	BINDING	SECRETARY_0.6	0.6	174	387	0.4496	620.99	279.2	2021.0	0.1382	0.3073
E5	BINDING	SECRETARY_RE_0.6	0.6	174	387	0.4496	620.99	279.2	2021.0	0.1382	0.3073
E5	BINDING	TAU_0.99	0.99	29	387	0.0749	3263.97	244.59	2021.0	0.121	1.615
E5	BINDING	SECRETARY_0.7	0.7	101	387	0.261	588.4	153.56	2021.0	0.076	0.2911
E5	BINDING	SECRETARY_RE_0.7	0.7	101	387	0.261	588.4	153.56	2021.0	0.076	0.2911
E5	BINDING	SECRETARY_0.8	0.8	55	387	0.1421	495.27	70.39	2021.0	0.0348	0.2451
E5	BINDING	SECRETARY_RE_0.8	0.8	55	387	0.1421	495.27	70.39	2021.0	0.0348	0.2451
E5	BINDING	FIRST_3		387	387	1.0	-59.96	-59.96	2021.0	-0.0297	-0.0297
E6	BINDING	TAU_0.7	0.7	384	384	1.0	2656.24	2656.24	2675.0	0.993	0.993
E6	BINDING	TAU_0.8	0.8	379	384	0.987	2680.02	2645.12	2675.0	0.9888	1.0019
E6	BINDING	TAU_0.5	0.5	384	384	1.0	2387.48	2387.48	2675.0	0.8925	0.8925
E6	BINDING	TAU_0.9	0.9	319	384	0.8307	2749.71	2284.26	2675.0	0.8539	1.0279
E6	BINDING	DAYSOFAR_0.7	0.7	384	384	1.0	1966.9	1966.9	2675.0	0.7353	0.7353
E6	BINDING	DAYSOFAR_0.9	0.9	379	384	0.987	1986.03	1960.17	2675.0	0.7328	0.7424
E6	BINDING	TAU_0.95	0.95	227	384	0.5911	2914.82	1723.08	2675.0	0.6441	1.0897
E6	BINDING	SECRETARY_0.1	0.1	369	384	0.9609	1695.6	1629.37	2675.0	0.6091	0.6339
E6	BINDING	SECRETARY_RE_0.1	0.1	369	384	0.9609	1695.6	1629.37	2675.0	0.6091	0.6339
E6	BINDING	OCCUPANCY_2	2.0	365	384	0.9505	1470.75	1397.98	2675.0	0.5226	0.5498
E6	BINDING	DAYSOFAR_0.5	0.5	384	384	1.0	1323.4	1323.4	2675.0	0.4947	0.4947
E6	BINDING	TAU_0.975	0.975	157	384	0.4089	3189.79	1304.16	2675.0	0.4875	1.1924
E6	BINDING	CELLSOFAR_0.9	0.9	384	384	1.0	1253.89	1253.89	2675.0	0.4687	0.4687
E6	BINDING	CELLSOFAR_0.95	0.95	383	384	0.9974	1217.91	1214.74	2675.0	0.4541	0.4553
E6	BINDING	OCCUPANCY_0.5	0.5	356	384	0.9271	1308.79	1213.36	2675.0	0.4536	0.4893
E6	BINDING	CELLSOFAR_0.8	0.8	384	384	1.0	1190.34	1190.34	2675.0	0.445	0.445
E6	BINDING	CELLSOFAR_0.99	0.99	382	384	0.9948	1190.99	1184.79	2675.0	0.4429	0.4452
E6	BINDING	OCCUPANCY_1	1.0	357	384	0.9297	1224.64	1138.53	2675.0	0.4256	0.4578
E6	BINDING	SECRETARY_0.25	0.25	310	384	0.8073	1346.98	1087.41	2675.0	0.4065	0.5035
E6	BINDING	SECRETARY_RE_0.25	0.25	310	384	0.8073	1346.98	1087.41	2675.0	0.4065	0.5035
E6	BINDING	TAU_0.99	0.99	83	384	0.2161	3835.38	829.0	2675.0	0.3099	1.4338
E6	BINDING	SECRETARY_0.5	0.5	194	384	0.5052	991.21	500.77	2675.0	0.1872	0.3705
E6	BINDING	SECRETARY_RE_0.5	0.5	194	384	0.5052	991.21	500.77	2675.0	0.1872	0.3705
