# PORT M2 port m2 EXIT CENSUS 2 — exit rules priced on the agreement-selected books (E3-E7 develop; prop constraints enforced in code) (lane=port-m2-exits2; version=PORT-M2-EXITCENSUS2-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# PROP LAW, ENFORCED IN CODE: no exit before 1800 seconds (30 minutes) of hold.  `_check_holds` REFUSES the stage if any priced seat holds less than that with the phase close still open, so a hold shorter than 30 minutes can only be the phase close itself arriving.  Every rule is POSITION MANAGEMENT on an open trade; no microscalp is expressible.
# The $900 wall and the phase-close contract stay in force.  A rule may only move the exit EARLIER than the phase close; the wall always wins if it reaches the position first.
# THE SEAT SET IS HELD FIXED across every rule.  Earlier exits free occupancy, so re-seating could only ADD trades; not counting them is the conservative choice and is declared, not hidden.
# d_* columns are deltas against the PHASE-CLOSE baseline on the SAME book and the SAME seats.  d_usd_per_session_displaced is the same rule's hold-time distribution randomly re-assigned across seats (same timing, no path information); d_minus_displaced is the information the rule actually adds.  A rule whose d_minus_displaced is ~0 is a hold-length artefact.
# capture_of_ceiling = usd_per_session / the ENTRY FORESIGHT ceiling (the per-session one-position DP over every candidate, phase-close contract) -- what perfect ENTRY selection is worth.  capture_of_full_ceiling uses the anchored ORACLE legs, i.e. perfect entries AND perfect exits (clairvoyant; an outer bound nobody can trade).
# TARGETS ON THE TABLE FACE: floor $2000/session/asset (floor_2000); aim $2500-3000 (aim_2500_3000).
# FAMILY 3 (PARTIAL BANK) IS NOT DEPLOYABLE AT ONE CONTRACT -- you cannot sell half a contract.  Its rows are the two-contract-equivalent (each half carries half the gross, the round-trip cost charged once, the second exit's own slippage NOT charged) and are a SIZING QUESTION FOR THE USER, never a drop-in rule.
era	asset	book_tau	family	rule	knob	n_seats	n_sessions	usd_per_trade	usd_per_session	d_usd_per_trade	d_usd_per_session	d_usd_per_session_displaced	d_minus_displaced	win_rate	d_win_rate	wall_stopped_rate	d_wall_stopped_rate	mean_giveback_usd	frac_triggered	hold_min_s	hold_p10_s	hold_p50_s	hold_mean_s	dd_p50	dd_p90	dd_max	frac_sessions_dd_over_1000	d_frac_sessions_dd_over_1000	weekly_pnl_mean	weekly_pnl_p10	losing_week_frac	entry_foresight_ceiling	capture_of_ceiling	full_ceiling	capture_of_full_ceiling	floor_2000	aim_2500_3000	thin_book
E3	ALL	0.70	0-BASELINE	PHASE_CLOSE	ride to phase close, $900 wall	51	47	551.5	598.43	0.0	0.0	0.0	0.0	0.8824	0.0	0.0	0.0	388.97	0.0	7349	13431	17985	21457	0.0	75.0	411.25	0.0	0.0	1278.47	176.25	0.0455	2811.86	0.2128	2095.21	0.2856			
E3	ALL	0.70	1-MID-HOLD-DISQ	MHD_STRUCT_0.05ATR	reclaim level lost by 0.05 ATR	51	47	452.48	490.98	-99.02	-107.45	-63.65	-43.8	0.7647	-0.1177	0.0	0.0	353.19	0.2157	1800	1862	17270	17827	0.0	195.0	242.5	0.0	0.0	1048.92	-143.75	0.1364	2811.86	0.1746	2095.21	0.2343			
E3	ALL	0.70	1-MID-HOLD-DISQ	MHD_STRUCT_0.10ATR	reclaim level lost by 0.10 ATR	51	47	521.1	565.45	-30.4	-32.98	-10.9	-22.08	0.8431	-0.0393	0.0	0.0	400.74	0.1176	1951	8322	17985	20368	0.0	220.0	392.5	0.0	0.0	1208.01	175.25	0.0455	2811.86	0.2011	2095.21	0.2699			
E3	ALL	0.70	1-MID-HOLD-DISQ	MHD_STRUCT_0.20ATR	reclaim level lost by 0.20 ATR	51	47	516.69	560.66	-34.81	-37.77	-18.28	-19.49	0.8627	-0.0197	0.0	0.0	412.5	0.0784	5569	12119	17985	21042	0.0	170.0	630.0	0.0	0.0	1197.78	104.75	0.0455	2811.86	0.1994	2095.21	0.2676			
E3	ALL	0.70	1-MID-HOLD-DISQ	MHD_FLOW15_LOOSE	15min no new high + net down (LOOSE)	51	47	214.85	233.14	-336.65	-365.29	-365.96	0.67	0.7059	-0.1765	0.0	0.0	155.15	1.0	1800	1800	2509	2804	0.0	117.5	242.5	0.0	0.0	498.07	-115.0	0.2273	2811.86	0.0829	2095.21	0.1113			
E3	ALL	0.70	1-MID-HOLD-DISQ	MHD_FLOW15_0.05ATR	15min against, >=0.05 ATR given up	51	47	269.26	292.18	-282.24	-306.25	-242.72	-63.53	0.6471	-0.2353	0.0	0.0	275.49	1.0	1872	2431	4188	5339	0.0	155.0	355.0	0.0	0.0	624.2	-232.5	0.2273	2811.86	0.1039	2095.21	0.1395			
E3	ALL	0.70	1-MID-HOLD-DISQ	MHD_FLOW15_0.10ATR	15min against, >=0.10 ATR given up	51	47	400.64	434.73	-150.86	-163.7	-144.35	-19.35	0.8824	0.0	0.0	0.0	306.25	0.7255	1998	2931	8602	10434	0.0	39.0	405.0	0.0	0.0	928.75	72.5	0.0455	2811.86	0.1546	2095.21	0.2075			
E3	ALL	0.70	1-MID-HOLD-DISQ	MHD_FLOW15_0.25ATR	15min against, >=0.25 ATR given up	51	47	478.58	519.31	-72.92	-79.12	-37.77	-41.35	0.8824	0.0	0.0	0.0	415.56	0.1373	2841	8436	17148	18433	0.0	75.0	411.25	0.0	0.0	1109.43	102.5	0.0455	2811.86	0.1847	2095.21	0.2479			
E3	ALL	0.70	1-MID-HOLD-DISQ	MHD_BELOW400	sits below -$400	51	47	525.15	569.84	-26.35	-28.59	-26.1	-2.49	0.8627	-0.0197	0.0	0.0	403.55	0.0784	1981	10650	17985	20859	0.0	130.0	423.75	0.0	0.0	1217.39	176.25	0.0455	2811.86	0.2027	2095.21	0.272			
E3	ALL	0.70	1-MID-HOLD-DISQ	MHD_BELOW600	sits below -$600	51	47	543.9	590.19	-7.6	-8.24	-28.54	20.3	0.8824	0.0	0.0	0.0	396.57	0.0196	5534	12737	17985	21275	0.0	75.0	605.0	0.0	0.0	1260.85	176.25	0.0455	2811.86	0.2099	2095.21	0.2817			
