# PORT M2 D-090.6 information ceiling (E6, hindsight-fit, NON-CAUSAL-BY-DESIGN) (PORT-M2-INFO-CEILING-V1)
# NON-CAUSAL-BY-DESIGN: hindsight-fit upper bound over ALL E6 sessions (study + sealed blind). NOT a deployable result.
# mean_diff = mean(winner leg - loser leg), CR1 interval CLUSTERED BY DAY; sign_for_winner = the direction that points at the paying side
# pair_acc_kfold: the sign is chosen on 4/5 of the DAYS and scored on the held-out fifth — 0.50 is a coin flip
# NON-CAUSAL-BY-DESIGN: the pair set is defined by outcomes, so this table says what information EXISTS in the views, never what a live reader could have selected on
rank	field	layer	group	n_pairs	sign_for_winner	mean_diff	ci_lo	ci_hi	p_clustered_by_day	pair_acc_in_sample	pair_acc_kfold
1	side	DIGEST	flow	3251	1	0.288527	-0.0145716	0.591625	0.0618925	0.572132	0.572132
2	ret_sess_open_with	SHEETS	geometry	3251	1	522.914	-213.997	1259.83	0.162695	0.53199	0.53199
3	abs_mins_to_release	DIGEST	news	3251	1	0.0617199	0.00362601	0.119814	0.0375005	0.528299	0.528299
4	accel_usd	DIGEST	flow	3233	-1	-3.00418	-11.1697	5.16138	0.467916	0.528147	0.528147
5	fph_sflow_with	DIGEST	flow	3251	-1	-102.2	-324.331	119.931	0.364295	0.527069	0.527069
6	xs_o2_ret1800_with	XASSET	xasset_ep	3214	1	0.00163396	-0.0170372	0.0203051	0.862784	0.525202	0.525202
7	slope_1m_usd	DIGEST	flow	3238	-1	-3.00533	-12.496	6.48531	0.532012	0.524552	0.524552
8	p033_product	SHEETS	p030_p033	3251	-1	-32737.1	-66056.8	582.678	0.05408	0.523685	0.523685
9	p033_sqrt	SHEETS	p030_p033	3251	-1	-4.12795	-7.72059	-0.535321	0.024667	0.523685	0.523685
10	slope_5m_with	DIGEST	flow	3233	1	2.16479	-2.25425	6.58382	0.334177	0.523353	0.523353
11	ret_phase_open_with	SHEETS	geometry	3251	1	134.637	-430.396	699.671	0.638061	0.521686	0.521686
12	cancel_retreat_up	SEQ	seq	3251	-1	-0.461704	-0.945126	0.0217178	0.0610465	0.521686	0.521686
13	xs_o1_leadlag30m_peak	XASSET	xasset_ep	3230	-1	-0.00143518	-0.00301721	0.000146861	0.0750089	0.519659	0.519659
14	@span_sec	EPMETA	derived	3251	1	11.4103	4.17309	18.6476	0.00224181	0.519532	0.519532
15	xs_o1_sflow1800_with	XASSET	xasset_ep	3251	1	0.00951775	-0.00489462	0.0239301	0.193631	0.519225	0.519225
16	pull_ratio_dn	SEQ	seq	3248	-1	-0.00407848	-0.00931852	0.00116155	0.125996	0.518935	0.518935
17	xs_o2_sflow1800_with	XASSET	xasset_ep	3248	1	0.00380344	-0.0158009	0.0234078	0.70167	0.51678	0.51678
18	@n_members	EPMETA	derived	3251	1	0.241157	0.0119883	0.470325	0.0393201	0.51661	0.51661
19	med_gap_ms	SEQ	seq	3250	1	0.162124	-0.663799	0.988046	0.698331	0.514308	0.514308
20	xs_o1_rv60	XASSET	xasset_ep	3251	-1	-0.000112806	-0.000795662	0.00057005	0.74427	0.513534	0.513534
21	level_dist_atr	DIGEST	level	3251	1	0.000276309	-0.000424753	0.000977372	0.436871	0.51338	0.51338
22	xs_o2_corr1s_60	XASSET	xasset_ep	3088	-1	-0.00437802	-0.0120827	0.00332669	0.262918	0.513115	0.513115
23	xs_o1_ret1800_with	XASSET	xasset_ep	3221	1	-0.00167108	-0.0296297	0.0262875	0.906032	0.513039	0.513039
24	dasz_min	DIGEST	event	3248	1	0.251232	-0.10061	0.603073	0.160098	0.512931	0.512931
25	w600_pull_ratio_up	SEQ	seq	3247	-1	-0.000382841	-0.00150754	0.000741855	0.50178	0.512627	0.512627
26	f5m_sflow_with	DIGEST	flow	3251	-1	-3.64626	-14.9774	7.68492	0.525402	0.512612	0.512612
27	rv1800_usd	DIGEST	seat	3251	-1	-1.19221	-2.43547	0.0510483	0.0600218	0.512612	0.512612
28	xs_o2_erosion60_with	XASSET	xasset_ep	3246	1	0.014791	-0.00919133	0.0387733	0.224546	0.512323	0.512323
29	w600_one_side_pull	SEQ	seq	3245	-1	-0.000125807	-0.00153951	0.0012879	0.86049	0.512018	0.512018
30	f60_sflow_with	DIGEST	flow	3251	-1	0.161181	-2.92154	3.2439	0.917753	0.511996	0.511996
31	xs_o2_leadlag30m_lag	XASSET	xasset_ep	3229	1	0.276556	-0.113173	0.666285	0.16269	0.511768	0.511768
32	xs_o2_leadlag30m_peak	XASSET	xasset_ep	3229	-1	-0.000802024	-0.00269587	0.00109182	0.403576	0.511614	0.511614
33	pull_ratio_up	SEQ	seq	3246	-1	-0.00346938	-0.00915488	0.00221611	0.229463	0.511399	0.511399
34	w600_n_ev	SEQ	seq	3251	1	14.1763	-27.8601	56.2126	0.505747	0.511381	0.511381
35	f30m_vol	SHEETS	flow	3251	-1	-2.19102	-10.3895	6.00747	0.597824	0.51092	0.51092
36	fuel_above	DIGEST	fuel_poc	3251	-1	-41.9609	-101.356	17.4339	0.164541	0.510766	0.510766
37	xs_o2_sflow300_with	XASSET	xasset_ep	3214	1	0.011273	-0.0159272	0.0384731	0.413665	0.510734	0.510734
38	xs_o1_ret60_with	XASSET	xasset_ep	3242	1	0.000617859	-0.00215211	0.00338783	0.659664	0.510025	0.510025
39	xs_o2_level_dist_atr	XASSET	xasset_ep	3248	-1	-0.000463275	-0.00096956	4.30103e-05	0.0725463	0.510006	0.510006
40	w600_ev_per_s	SEQ	seq	3251	1	0.0229831	-0.047175	0.0931411	0.517977	0.509689	0.509689
41	xs_o1_level_dist_atr	XASSET	xasset_ep	3251	1	3.14749e-05	-0.000495976	0.000558925	0.906183	0.509689	0.509689
42	f30m_n	SHEETS	flow	3251	-1	-1.57767	-4.9014	1.74607	0.349347	0.509536	0.509536
43	d_poc_usd	DIGEST	fuel_poc	3234	1	6.40461	1.12983	11.6794	0.0177257	0.508967	0.508967
44	xs_o1_corr1s_60	XASSET	xasset_ep	3134	-1	-0.00775424	-0.0150493	-0.00045919	0.0374087	0.508934	0.508934
45	w600_cancel_retreat_up	SEQ	seq	3251	-1	-0.146109	-0.661022	0.368804	0.575426	0.508767	0.508767
46	f5m_n	SHEETS	flow	3251	-1	-0.480468	-3.00621	2.04528	0.707211	0.508613	0.508613
47	w600_med_gap_ms	SEQ	seq	3251	1	-0.0241561	-0.432288	0.383976	0.906944	0.508305	0.508305
48	fph_n	DIGEST	flow	3251	1	2.62227	-1.89045	7.13499	0.252343	0.507998	0.507998
49	fph_vol	DIGEST	flow	3251	1	5.83974	-3.83231	15.5118	0.234389	0.507998	0.507998
50	fuel_total	SHEETS	fuel_poc	3251	1	5.83974	-3.83231	15.5118	0.234389	0.507998	0.507998
51	w600_add_walk_up	SEQ	seq	3251	1	0.155029	-1.03115	1.3412	0.796331	0.507998	0.507998
52	spread_ratio	DIGEST	regime	3251	1	0.00799754	-0.0166336	0.0326287	0.52168	0.507536	0.507536
53	spread_dec_usd	DIGEST	regime	3251	1	0.396032	-0.259224	1.05129	0.233913	0.507536	0.507536
54	trade_retreat_dn	SEQ	seq	3251	1	-0.24454	-1.16808	0.678997	0.601196	0.507536	0.507536
55	release_age_sec	SHEETS	news	3251	1	232.44	-757.538	1222.42	0.642985	0.507382	0.507382
56	xs_o1_rv1800	XASSET	xasset_ep	3251	-1	-0.000131231	-0.000402246	0.000139783	0.339766	0.507229	0.507229
