# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# REAL TRAILING RULES on the FULL ARMOURED BOOK (3/asset/day + first-wall stop), priced on each trade's OWN second-by-second path rebuilt with `m2_delay._leg` -- the skeleton that reproduced the committed certificate exactly at D=0.
# ENFORCED IN CODE: 30-minute minimum hold (the prop ban on quick exits is structural -- a rule cannot fire earlier), the $900 wall always live and winning if it comes first, the phase close as the hard right edge, and ARMING so mid-run dips before the arming profit ride as normal.
# displaced_control_usd applies the IDENTICAL rule to the same trade's path ROTATED IN TIME.  A rule that pays as much there is reading path shape that is not there; delta_vs_displaced is the real edge.
# 5-seed bars come from the five CONTOP50 member take-sets, so the schedule varies as it would in deployment.
# CLOSE is the as-traded row (no trail) and is the reference every rule must beat.
era	rule	n_seeds	mean_usd_per_session	sd_usd	capture_of_entry_ceiling	win_rate	median_hold_sec	displaced_control_usd	delta_vs_displaced	floor_2000
E5	CLOSE	5	1101.05	14.36	0.4263	0.7722	15774.0	1009.89	91.16	
E5	PCT_arm600_give30	5	902.29	11.05	0.3494	0.7984	8497.0	577.9	324.39	
E5	PCT_arm600_give50	5	928.12	11.62	0.3594	0.7984	10506.0	232.16	695.97	
E5	SWING_arm600_w30m	5	924.42	11.38	0.3579	0.7954	8544.0	1034.28	-109.85	
E5	SWING_arm600_w60m	5	960.16	13.54	0.3718	0.7797	10304.0	869.93	90.24	
E5	LOCK_arm600_plus0	5	1042.12	14.34	0.4035	0.7298	14091.0	44.42	997.7	
E5	LOCK_arm600_plus300	5	954.08	13.47	0.3694	0.7984	11521.0	118.69	835.39	
E5	PCT_arm900_give30	5	1013.98	12.97	0.3926	0.7839	11160.0	615.01	398.97	
E5	PCT_arm900_give50	5	1040.03	13.13	0.4027	0.7839	13157.0	381.5	658.52	
E5	SWING_arm900_w30m	5	1026.57	13.33	0.3975	0.7835	10900.0	1038.74	-12.17	
E5	SWING_arm900_w60m	5	1059.17	14.09	0.4101	0.7787	12361.0	910.41	148.76	
E5	LOCK_arm900_plus0	5	1080.28	14.87	0.4183	0.7538	15024.0	269.25	811.03	
E5	LOCK_arm900_plus300	5	1068.97	14.56	0.4139	0.7839	14130.0	298.75	770.22	
E5	PCT_arm1200_give30	5	1064.61	13.77	0.4122	0.7754	13265.0	676.84	387.77	
E5	PCT_arm1200_give50	5	1074.48	13.83	0.416	0.7754	14249.0	532.35	542.13	
E5	SWING_arm1200_w30m	5	1062.09	14.29	0.4112	0.7754	12543.0	1014.12	47.97	
E5	SWING_arm1200_w60m	5	1085.86	15.01	0.4205	0.7737	13457.0	922.25	163.62	
E5	LOCK_arm1200_plus0	5	1087.32	15.21	0.421	0.7637	15567.0	467.23	620.09	
E5	LOCK_arm1200_plus300	5	1082.74	14.99	0.4192	0.7754	15132.0	474.42	608.32	
E6	CLOSE	5	805.07	265.28	0.2391	0.6518	18341.0	610.61	194.46	
E6	PCT_arm600_give30	5	565.59	165.0	0.168	0.7308	9246.0	440.82	124.78	
E6	PCT_arm600_give50	5	605.1	196.24	0.1797	0.7308	11433.0	85.39	519.71	
E6	SWING_arm600_w30m	5	600.2	180.7	0.1783	0.7151	9862.0	759.53	-159.33	
E6	SWING_arm600_w60m	5	647.06	188.93	0.1922	0.6913	11789.0	537.85	109.21	
E6	LOCK_arm600_plus0	5	743.53	248.88	0.2208	0.5656	14766.0	-205.72	949.26	
E6	LOCK_arm600_plus300	5	635.04	196.89	0.1886	0.7308	13082.0	-85.79	720.82	
E6	PCT_arm900_give30	5	649.0	201.97	0.1928	0.6857	12862.0	407.6	241.4	
E6	PCT_arm900_give50	5	695.24	233.11	0.2065	0.6857	14124.0	103.21	592.02	
E6	SWING_arm900_w30m	5	654.03	199.54	0.1943	0.6834	12801.0	733.26	-79.23	
E6	SWING_arm900_w60m	5	696.53	213.6	0.2069	0.6722	13773.0	545.59	150.95	
E6	LOCK_arm900_plus0	5	781.02	250.61	0.232	0.615	16904.0	-102.26	883.28	
E6	LOCK_arm900_plus300	5	714.5	226.52	0.2122	0.6857	14961.0	-60.13	774.63	
E6	PCT_arm1200_give30	5	720.81	242.2	0.2141	0.6673	14218.0	388.04	332.78	
E6	PCT_arm1200_give50	5	743.86	257.21	0.2209	0.6673	15274.0	165.73	578.13	
E6	SWING_arm1200_w30m	5	704.32	227.28	0.2092	0.6659	14069.0	722.81	-18.5	
E6	SWING_arm1200_w60m	5	746.49	239.9	0.2217	0.6628	14382.0	553.4	193.09	
E6	LOCK_arm1200_plus0	5	784.75	258.6	0.2331	0.6325	17811.0	18.2	766.55	
E6	LOCK_arm1200_plus300	5	764.58	248.98	0.2271	0.6673	16822.0	39.25	725.34	
E7	CLOSE	5	1512.81	39.37	0.3703	0.7694	15287.0	1241.89	270.92	
E7	PCT_arm600_give30	5	984.47	28.97	0.241	0.829	5565.0	844.34	140.13	
E7	PCT_arm600_give50	5	1033.97	31.04	0.2531	0.829	8040.0	237.15	796.82	
E7	SWING_arm600_w30m	5	1085.19	27.47	0.2656	0.8186	6934.0	1305.09	-219.9	
E7	SWING_arm600_w60m	5	1196.33	30.51	0.2928	0.7904	9562.0	1031.23	165.1	
