# PORT M2 D-028 cross-asset marginal information (E6, hindsight-fit, NON-CAUSAL-BY-DESIGN) (PORT-M2-XASSET-V1)
# NON-CAUSAL-BY-DESIGN: hindsight-fit upper bound over ALL E6 sessions (study + sealed blind). NOT a deployable result.
# THE SAME INSTRUMENT AS INFO_CEILING_FITS.tsv: same episodes.npz, same seed 20260813, same 5 folds of whole DAYS, same top-3-per-asset-day schedule with the D-077 veto ON, same oracle denominator (m3_walk.topn_takes / replay_rows / oracle_ceiling verbatim)
# a_BASE_225 REPRODUCES the committed L1L2L3_all_views row; any drift from it is an instrument defect, not a finding
arm	kind	feature_set	regime	n_features	capture	ci_lo	ci_hi	n_clusters	realised_usd	oracle_usd	n_takes	n_seated	expectancy_usd	frac_ge_1000	walled_rate	mean_mae_usd	rho_champion	auc_winner	n_draws	note
a_BASE_225|HONEST_KFOLD_DAY	fit	a_BASE_225	HONEST_KFOLD_DAY	219	0.0527437	0.015947	0.0895403	128	61167.5	1.15971e+06	1152	479	127.698	0.139875	0.323591	346.412	0.4532	0.6944	.	y_retg_rank_phase depth4/eta0.08 r=40; y_winner depth6/eta0.08 r=4
a_BASE_225|HONEST_KFOLD_RANDOM	fit	a_BASE_225	HONEST_KFOLD_RANDOM	219	0.156585	0.106804	0.206367	128	181594	1.15971e+06	1152	565	321.405	0.233628	0.293805	343.673	0.6423	0.8131	.	y_retg_rank_phase depth6/eta0.08 r=47; y_winner depth8/eta0.08 r=3
a_BASE_225|SOFT_IN_SAMPLE	fit	a_BASE_225	SOFT_IN_SAMPLE	219	0.646833	0.610454	0.683211	128	750140	1.15971e+06	1152	607	1235.82	0.579901	0.0461285	184.596	1	1	.	y_retg_rank_phase memorise(depth12) r=600; y_winner memorise(depth12) r=600
a0_BASE_207_no_xa|HONEST_KFOLD_DAY	fit	a0_BASE_207_no_xa	HONEST_KFOLD_DAY	201	0.0526197	0.0176255	0.087614	128	61023.7	1.15971e+06	1152	454	134.414	0.138767	0.319383	372.825	0.4672	0.701	.	y_retg_rank_phase depth4/eta0.08 r=28; y_winner depth4/eta0.08 r=4
a0_BASE_207_no_xa|HONEST_KFOLD_RANDOM	fit	a0_BASE_207_no_xa	HONEST_KFOLD_RANDOM	201	0.0666232	0.0242972	0.108949	128	77263.7	1.15971e+06	1152	591	130.734	0.167513	0.336717	357.508	0.5599	0.7785	.	y_retg_rank_phase depth4/eta0.08 r=57; y_winner depth8/eta0.08 r=2
a0_BASE_207_no_xa|SOFT_IN_SAMPLE	fit	a0_BASE_207_no_xa	SOFT_IN_SAMPLE	201	0.644937	0.605588	0.684285	128	747941	1.15971e+06	1152	588	1272.01	0.591837	0.0493197	184.875	1	1	.	y_retg_rank_phase memorise(depth12) r=600; y_winner memorise(depth12) r=600
b_BASE_plus_XASSET|HONEST_KFOLD_DAY	fit	b_BASE_plus_XASSET	HONEST_KFOLD_DAY	249	0.0430915	0.0115147	0.0746683	128	49973.7	1.15971e+06	1152	489	102.196	0.134969	0.310838	334.739	0.4604	0.6871	.	y_retg_rank_phase depth4/eta0.08 r=34; y_winner depth6/eta0.08 r=4
b_BASE_plus_XASSET|HONEST_KFOLD_RANDOM	fit	b_BASE_plus_XASSET	HONEST_KFOLD_RANDOM	249	0.164064	0.116809	0.211319	128	190267	1.15971e+06	1152	574	331.476	0.233449	0.289199	319.599	0.6668	0.8036	.	y_retg_rank_phase depth8/eta0.08 r=26; y_winner depth8/eta0.08 r=3
b_BASE_plus_XASSET|SOFT_IN_SAMPLE	fit	b_BASE_plus_XASSET	SOFT_IN_SAMPLE	249	0.62476	0.590184	0.659337	128	724543	1.15971e+06	1152	584	1240.65	0.582192	0.0428082	176.006	1	1	.	y_retg_rank_phase memorise(depth12) r=600; y_winner memorise(depth12) r=600
b0_BASE_no_xa_plus_XASSET|HONEST_KFOLD_DAY	fit	b0_BASE_no_xa_plus_XASSET	HONEST_KFOLD_DAY	231	0.0546116	0.0190462	0.0901769	128	63333.8	1.15971e+06	1152	462	137.086	0.149351	0.32684	369.765	0.4635	0.6987	.	y_retg_rank_phase depth4/eta0.08 r=28; y_winner depth4/eta0.08 r=8
