# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# arm = the stacked final under each session stop
# Computed from the SAME replay the $/session table uses, so the panel and the headline cannot disagree.
# dd_* are INTRA-SESSION drawdowns of the seated P&L sequence; the D-030 law is a $1000 maximum and frac_sessions_dd_over_1000 is the breach rate.
# Weekly rows use ISO weeks; weekly_pnl_p10 is the 10th percentile week -- the user's weekly framing of a bad run.
# precision_at_1000 is the fraction of TAKES paying >= $1000 (the D-021 target), not a model probability.
# takes_per_day_* are per SESSION, i.e. per (asset, trading day) -- the unit the one-position contract applies to -- not per calendar day across the three books.
arm	era	asset	n_sessions	n_takes	takes_per_day_mean	takes_per_day_p50	takes_per_day_max	win_rate	precision_at_1000	usd_per_trade_mean	usd_per_trade_median	usd_per_trade_p10	usd_per_trade_p90	mae_mean	mae_p50	mae_p90	wall_hit_rate	usd_per_session	dd_p50	dd_p90	dd_max	frac_sessions_dd_over_1000	losing_day_frac	n_weeks	weekly_pnl_mean	weekly_pnl_p10	losing_week_frac	longest_losing_streak_days	d077_vetoed_candidates
STACKED_STOP_WALL2_900	E3	ALL	390	1162	2.98	3.0	4.0	0.6067	0.1368	225.97	170.0	-930.0	1182.5	345.42	209.38	825.0	0.3632	673.28	520.0	1204.87	1860.0	0.1667	0.3487	27	9725.09	3035.75	0.0741	3	
STACKED_STOP_HARD_1000	E3	ALL	390	1163	2.98	3.0	4.0	0.6045	0.1341	220.67	163.75	-930.0	1182.5	345.72	212.5	825.0	0.3646	658.04	520.0	1229.38	1890.0	0.1744	0.3564	27	9505.0	2742.25	0.0741	3	
STACKED_STOP_WALL1	E3	ALL	390	893	2.29	3.0	3.0	0.6193	0.1277	219.5	170.0	-930.0	1170.0	353.02	200.0	871.25	0.3595	502.59	370.0	930.0	1260.0	0.0154	0.459	27	7259.63	1266.0	0.0741	3	
STACKED_STOP_WALL2_900	E4	ALL	385	1149	2.98	3.0	3.0	0.6736	0.148	333.3	226.25	-505.0	1210.0	262.59	131.25	677.5	0.2811	994.7	192.5	933.0	1522.5	0.0623	0.2026	26	14729.28	6711.25	0.0	2	
STACKED_STOP_HARD_1000	E4	ALL	385	1149	2.98	3.0	3.0	0.6736	0.148	333.5	226.25	-505.0	1210.0	262.77	131.25	677.5	0.2811	995.31	192.5	933.0	1522.5	0.0623	0.2026	26	14738.17	6811.25	0.0	2	
STACKED_STOP_WALL1	E4	ALL	385	962	2.5	3.0	3.0	0.6798	0.1393	330.74	232.5	-480.0	1175.62	267.16	137.5	712.5	0.2765	826.42	155.0	925.0	1172.5	0.0078	0.3065	26	12237.36	4905.0	0.0	2	
STACKED_STOP_WALL2_900	E5	ALL	387	1160	3.0	3.0	3.0	0.7379	0.131	374.91	270.0	-261.88	1160.0	192.79	100.0	537.5	0.1948	1123.77	85.0	757.5	1860.0	0.0155	0.1137	26	16726.92	9888.13	0.0	1	
STACKED_STOP_HARD_1000	E5	ALL	387	1160	3.0	3.0	3.0	0.7379	0.131	374.91	270.0	-261.88	1160.0	192.79	100.0	537.5	0.1948	1123.77	85.0	757.5	1860.0	0.0155	0.1137	26	16726.92	9888.13	0.0	1	
STACKED_STOP_WALL1	E5	ALL	387	1026	2.65	3.0	3.0	0.7456	0.1316	384.6	276.25	-242.5	1157.5	185.88	100.0	462.5	0.193	1019.63	67.5	630.0	955.0	0.0	0.1938	26	15176.73	8133.75	0.0	2	
STACKED_STOP_WALL2_900	E6	ALL	384	1138	2.96	3.0	3.0	0.6547	0.181	374.93	270.0	-930.0	1495.0	306.4	162.5	775.0	0.3049	1111.11	301.88	1072.5	1910.0	0.112	0.25	26	16410.24	10351.88	0.0	1	
STACKED_STOP_HARD_1000	E6	ALL	384	1140	2.97	3.0	3.0	0.6526	0.1807	370.98	263.75	-930.0	1495.0	306.45	162.5	775.0	0.307	1101.35	301.88	1122.25	1927.5	0.1198	0.25	26	16266.11	10351.88	0.0	1	
STACKED_STOP_WALL1	E6	ALL	384	889	2.32	3.0	3.0	0.6648	0.1822	399.26	295.0	-930.0	1507.5	305.83	162.5	776.25	0.3037	924.33	217.5	955.0	1172.5	0.0026	0.3568	26	13651.63	8199.37	0.0	2	
STACKED_STOP_WALL2_900	E7	ALL	393	1168	2.97	3.0	3.0	0.732	0.2389	548.77	407.5	-930.0	1828.13	304.24	140.63	750.0	0.3313	1630.94	147.5	984.0	1960.0	0.0992	0.1832	27	23739.26	11664.5	0.0	1	
STACKED_STOP_HARD_1000	E7	ALL	393	1161	2.95	3.0	3.0	0.7321	0.2377	544.92	407.5	-930.0	1795.0	301.72	137.5	750.0	0.3316	1609.8	147.5	984.0	1960.0	0.0992	0.1908	27	23431.53	11262.5	0.0	1	
STACKED_STOP_WALL1	E7	ALL	393	946	2.41	3.0	3.0	0.741	0.2389	565.86	432.5	-917.5	1795.0	302.77	137.5	746.87	0.3245	1362.11	117.5	955.0	1110.0	0.0076	0.285	27	19826.2	7336.0	0.0	3	
