# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# PER-FAMILY honest readings.  Each policy family is selected WITHIN ITSELF and carries ITS OWN search-adjusted null, which is narrower and far more informative than one bar over the whole search — a family of 30 knobs and a family of 3 do not deserve the same penalty.  __ALL__ is the global reading.
# ONLY INNER_BLOCK AND PREV_ERA ARE DEPLOYABLE.  ARGMAX_EVAL is printed as an upper bound and is never a promotion target.
# top5_trade_share_of_pnl separates an edge from a lottery: the void overnight arms sat at 0.76-0.89.
era	family	selector	cell	usd_per_session_ALL	sd_usd	ci_lo	ci_hi	n_trades_total	n_era_sessions	usd_per_trade	top5_trade_share_of_pnl	family_luck_bar	capture_of_causal_oracle	gap_to_aim	beats_search_adjusted_null	status
E5	CELLSOFAR	ARGMAX_EVAL_UPPER_BOUND	S_TABPFN|CELLSOFAR_0.99	88.7	0.0	-16.7	194.09	576.0	387	59.59	0.085	-3.18	0.0439	-1528.1	YES	UPPER BOUND, NOT DEPLOYABLE
E5	CELLSOFAR	INNER_BLOCK	A_PBAR_RAW|CELLSOFAR_0.9	-74.29	21.94	-171.68	23.11	628.8	387	-45.53	0.103	-3.18	-0.0368	-1691.09	no	deployable
E5	CELLSOFAR	PREV_ERA_E4	A_PBAR_RAW|CELLSOFAR_0.9	-74.29	21.94	-171.68	23.11	628.8	387	-45.53	0.103	-3.18	-0.0368	-1691.09	no	deployable
E5	DAYSOFAR	ARGMAX_EVAL_UPPER_BOUND	S_XGB|DAYSOFAR_0.7	86.2	30.17	-24.42	196.82	793.0	387	41.99	0.072	56.32	0.0427	-1530.6	YES	UPPER BOUND, NOT DEPLOYABLE
E5	DAYSOFAR	INNER_BLOCK	A_EV_CAL|DAYSOFAR_0.5	1.41	33.06	-102.56	105.38	808.4	387	0.35	0.067	56.32	0.0007	-1615.39	no	deployable
E5	DAYSOFAR	PREV_ERA_E4	S_XGB|DAYSOFAR_0.9	57.76	9.46	-52.5	168.02	725.8	387	30.78	0.08	56.32	0.0286	-1559.04	YES	deployable
E5	FIRST	ARGMAX_EVAL_UPPER_BOUND	A_EV_CAL|FIRST_3	-59.96	0.0	-158.54	38.61	775.0	387	-29.94	0.079	-59.96	-0.0297	-1676.76	no	UPPER BOUND, NOT DEPLOYABLE
E5	FIRST	INNER_BLOCK	S_XGB|FIRST_3	-59.96	0.0	-158.54	38.61	775.0	387	-29.94	0.079	-59.96	-0.0297	-1676.76	no	deployable
E5	FIRST	PREV_ERA_E4	A_EV_CAL|FIRST_3	-59.96	0.0	-158.54	38.61	775.0	387	-29.94	0.079	-59.96	-0.0297	-1676.76	no	deployable
E5	OCC_LEVEL	ARGMAX_EVAL_UPPER_BOUND	S_TABPFN|OCCUPANCY_1	31.92	0.0	-58.03	121.86	446.0	387	27.69	0.178	16.1	0.0158	-1584.88	YES	UPPER BOUND, NOT DEPLOYABLE
E5	OCC_LEVEL	INNER_BLOCK	S_TABPFN|OCCUPANCY_0.5	-19.12	0.0	-83.23	44.99	225.0	387	-32.89	0.174	16.1	-0.0095	-1635.92	no	deployable
E5	OCC_LEVEL	PREV_ERA_E4	A_PBAR_RAW|OCCUPANCY_2	-61.58	24.06	-159.59	36.42	490.6	387	-48.46	0.109	16.1	-0.0305	-1678.38	no	deployable
E5	SECDECL	ARGMAX_EVAL_UPPER_BOUND	S_TABPFN|SECDECL_0.25_0.9	57.01	0.0	-13.82	127.85	256.0	387	86.19	0.175	20.53	0.0282	-1559.79	YES	UPPER BOUND, NOT DEPLOYABLE
E5	SECDECL	INNER_BLOCK	S_TABPFN|SECDECL_0.2_0.5	7.64	0.0	-70.72	86.0	411.0	387	7.2	0.143	20.53	0.0038	-1609.16	no	deployable
E5	SECDECL	PREV_ERA_E4	S_TABPFN|SECDECL_0.2_0.5	7.64	0.0	-70.72	86.0	411.0	387	7.2	0.143	20.53	0.0038	-1609.16	no	deployable
E5	SECNHAT	ARGMAX_EVAL_UPPER_BOUND	S_TABPFN|SECNHAT_0.05	27.0	0.0	-66.37	120.37	548.0	387	19.06	0.104	9.34	0.0134	-1589.8	YES	UPPER BOUND, NOT DEPLOYABLE
E5	SECNHAT	INNER_BLOCK	S_TABPFN|SECNHAT_0.15	-4.85	0.0	-88.25	78.56	369.0	387	-5.08	0.11	9.34	-0.0024	-1621.65	no	deployable
E5	SECNHAT	PREV_ERA_E4	S_TABPFN|SECNHAT_0.15	-4.85	0.0	-88.25	78.56	369.0	387	-5.08	0.11	9.34	-0.0024	-1621.65	no	deployable
E5	SECTIME	ARGMAX_EVAL_UPPER_BOUND	S_TABPFN|SECTIME_0.05	49.79	0.0	-45.27	144.85	565.0	387	34.1	0.102	5.9	0.0246	-1567.01	YES	UPPER BOUND, NOT DEPLOYABLE
E5	SECTIME	INNER_BLOCK	S_TABPFN|SECTIME_0.15	-40.5	0.0	-116.64	35.64	417.0	387	-37.58	0.128	5.9	-0.02	-1657.3	no	deployable
E5	SECTIME	PREV_ERA_E4	S_TABPFN|SECTIME_0.15	-40.5	0.0	-116.64	35.64	417.0	387	-37.58	0.128	5.9	-0.02	-1657.3	no	deployable
E5	SECTIME_RE	ARGMAX_EVAL_UPPER_BOUND	S_TABPFN|SECTIME_RE_0.05	49.79	0.0	-45.27	144.85	565.0	387	34.1	0.102	35.76	0.0246	-1567.01	YES	UPPER BOUND, NOT DEPLOYABLE
E5	SECTIME_RE	INNER_BLOCK	S_TABPFN|SECTIME_RE_0.15	-40.5	0.0	-116.64	35.64	417.0	387	-37.58	0.128	35.76	-0.02	-1657.3	no	deployable
