# PORT M2 M2.SEQ raw-event sequence model at candidate grain (lane=port-m2-seqtest; seed=20260813; device=NVIDIA RTX PRO 6000 Blackwell Workstation Edition)
# Every arm scored through the m3_walk DEPLOYABLE arm VERBATIM: top-3 per asset-day, D-077-UPDATE news veto ON, one-position chronological walled phase-close replay.  Only the SCORE differs.
# CIs are CR1, clustered by DAY.  FORESIGHT3_NONCAUSAL is the schedule's own ceiling and is not a result.
# TEACHER_CHANNEL_REFERENCE is NOT identically scored: 15 sealed hand takes over E6 study/blind days, +$299/trade, ~40-47% precision, capture 0.153 (round 1, n=22 takes) and -0.022 (round 2, n=3) — provenance JOURNAL 2026-08-15 22:00Z and INFO_CEILING.md S2.
arm	era	n_takes	n_seated	usd_per_session	ps_lo	ps_hi	usd_per_trade	pt_lo	pt_hi	frac_ge_1000	capture_day	capture_oracle	co_lo	co_hi	auc_winner
SEQ_COMPOSED	E3	1170	541	15.08	-96.45	126.61	10.87	-69.65	91.4	0.1257	0.005	0.0059	-0.0379	0.0497	0.6391
SEQ_PRIMARY	E3	1170	633	-125.97	-217.58	-34.35	-77.61	-133.63	-21.59	0.0569	-0.0417	-0.0496	-0.0857	-0.0136	0.4853
GBT_COMPOSED	E3	1170	434	110.62	12.28	208.97	99.41	10.91	187.9	0.1521	0.0366	0.0436	0.005	0.0822	0.6661
GBT_PRIMARY	E3	1170	456	117.31	55.9	178.73	100.33	47.29	153.37	0.0373	0.0389	0.0462	0.0217	0.0708	0.4779
HYBRID_COMPOSED	E3	1170	418	93.01	-6.39	192.4	86.78	-6.06	179.61	0.1388	0.0308	0.0366	-0.0024	0.0757	0.653
BASE_EARLIEST	E3	72729	1664	-222.02	-404.03	-40.02	-52.04			0.0925	-0.0735	-0.0875	-0.1598	-0.0151	
RANDOM3	E3			-56.37			-26.86					-0.0222	-0.0672	0.0165	
FORESIGHT3_NONCAUSAL	E3	1170	438	1697.0	1591.28	1802.72	1511.02	1405.86	1616.19	0.6781	0.562	0.6686	0.6331	0.7041	
SEQ_COMPOSED	E4	1155	539	-67.24	-155.99	21.5	-48.03	-110.8	14.73	0.0779	-0.0244	-0.0318	-0.0741	0.0105	0.6149
SEQ_PRIMARY	E4	1155	675	-17.63	-89.61	54.35	-10.06	-51.09	30.98	0.0533	-0.0064	-0.0083	-0.0424	0.0258	0.4004
GBT_COMPOSED	E4	1155	406	80.21	-7.69	168.12	76.07	-7.4	159.53	0.1034	0.0291	0.038	-0.0038	0.0798	0.6919
GBT_PRIMARY	E4	1155	472	59.23	9.42	109.04	48.31	7.35	89.27	0.0254	0.0215	0.028	0.0042	0.0519	0.4994
HYBRID_COMPOSED	E4	1155	402	42.8	-43.35	128.95	40.99	-41.53	123.51	0.097	0.0155	0.0203	-0.0208	0.0613	0.6899
BASE_EARLIEST	E4	69036	1541	-141.77	-321.42	37.89	-35.42			0.0837	-0.0514	-0.0671	-0.1514	0.0171	
RANDOM3	E4			-58.2			-28.43					-0.0276	-0.0722	0.0228	
FORESIGHT3_NONCAUSAL	E4	1155	406	1531.12	1436.12	1626.13	1451.93	1358.74	1545.11	0.665	0.5556	0.7249	0.6801	0.7697	
SEQ_COMPOSED	E5	1161	592	-13.3	-117.41	90.81	-8.7	-76.69	59.3	0.0878	-0.0051	-0.0075	-0.0665	0.0515	0.611
SEQ_PRIMARY	E5	1161	648	17.97	-70.44	106.38	10.73	-42.11	63.57	0.0679	0.0069	0.0101	-0.0396	0.0599	0.4116
GBT_COMPOSED	E5	1161	411	85.97	2.4	169.54	80.95	1.84	160.06	0.1363	0.0332	0.0486	0.001	0.0961	0.7293
GBT_PRIMARY	E5	1161	463	98.44	43.75	153.13	82.28	36.39	128.18	0.0324	0.038	0.0556	0.0241	0.0871	0.4906
HYBRID_COMPOSED	E5	1161	418	26.9	-48.82	102.62	24.9	-45.23	95.04	0.1244	0.0104	0.0152	-0.0276	0.058	0.7223
BASE_EARLIEST	E5	69841	1496	-25.71	-177.62	126.21	-6.65			0.0836	-0.0099	-0.0145	-0.1004	0.0714	
RANDOM3	E5			-56.71			-27.96					-0.032	-0.094	0.0236	
FORESIGHT3_NONCAUSAL	E5	1161	432	1471.57	1386.6	1556.54	1318.28	1232.82	1403.74	0.5764	0.5679	0.8312	0.7784	0.884	
SEQ_COMPOSED	E6	1152	545	4.96	-95.51	105.44	3.5	-67.33	74.33	0.1394	0.0015	0.0016	-0.0316	0.0349	0.5937
SEQ_PRIMARY	E6	1152	663	-46.07	-159.95	67.82	-26.68	-92.52	39.16	0.1026	-0.0136	-0.0153	-0.053	0.0224	0.4457
GBT_COMPOSED	E6	1152	427	13.47	-89.75	116.69	12.11	-80.72	104.94	0.1358	0.004	0.0045	-0.0297	0.0386	0.6804
GBT_PRIMARY	E6	1152	478	97.03	30.66	163.4	77.95	24.87	131.03	0.0502	0.0287	0.0321	0.0096	0.0547	0.5099
