# ROUND-2 SEALED BLIND LEDGER 20240426 (E6R2-BLIND-D3) — hand channel ONLY (R2-9: the rubric never seats)
# every TAKE carries a decision_journal entry written BEFORE the call and a RIBBON_ACCESS row for the window it read
ep	asset	sec	side	call	p	src	compl	why
NKD-20240426-L-E01	NKD	00:02	L	SKIP	0.000	-	-	-
NKD-20240426-S-E01	NKD	00:03	S	SKIP	0.000	-	-	-
NKD-20240426-L-E02	NKD	00:15	L	SKIP	0.000	-	-	-
NKD-20240426-S-E02	NKD	00:23	S	SKIP	0.000	-	-	-
NKD-20240426-L-E03	NKD	00:39	L	SKIP	0.000	-	-	-
NKD-20240426-L-E04	NKD	00:43	L	SKIP	0.000	-	-	-
NKD-20240426-L-E05	NKD	00:47	L	SKIP	0.000	-	-	-
NKD-20240426-S-E03	NKD	01:02	S	SKIP	0.000	-	-	-
SI-20240426-S-E01	SI	01:03	S	SKIP	0.000	-	-	-
NKD-20240426-S-E04	NKD	01:13	S	SKIP	0.000	-	-	-
NKD-20240426-L-E06	NKD	01:26	L	SKIP	0.000	-	-	-
SI-20240426-S-E02	SI	01:27	S	SKIP	0.000	-	-	-
NKD-20240426-L-E07	NKD	01:32	L	SKIP	0.000	-	-	-
SI-20240426-S-E03	SI	01:34	S	SKIP	0.000	-	-	-
NKD-20240426-S-E05	NKD	01:48	S	SKIP	0.000	-	-	-
NKD-20240426-L-E08	NKD	01:49	L	SKIP	0.000	-	-	-
NKD-20240426-S-E06	NKD	01:52	S	SKIP	0.000	-	-	-
NKD-20240426-S-E07	NKD	01:57	S	SKIP	0.000	-	-	-
NKD-20240426-L-E09	NKD	02:01	L	SKIP	0.000	-	-	-
NKD-20240426-S-E08	NKD	02:02	S	SKIP	0.000	-	-	-
HG-20240426-L-E01	HG	02:06	L	SKIP	0.000	-	-	-
NKD-20240426-L-E10	NKD	02:10	L	SKIP	0.000	-	-	-
SI-20240426-L-E01	SI	02:13	L	SKIP	0.000	-	-	-
NKD-20240426-S-E09	NKD	02:14	S	SKIP	0.000	-	-	-
HG-20240426-L-E02	HG	02:15	L	SKIP	0.000	-	-	-
SI-20240426-S-E04	SI	02:17	S	SKIP	0.000	-	-	-
NKD-20240426-L-E11	NKD	02:18	L	SKIP	0.000	-	-	-
NKD-20240426-S-E10	NKD	02:18	S	SKIP	0.000	-	-	-
NKD-20240426-L-E12	NKD	02:22	L	SKIP	0.000	-	-	-
NKD-20240426-S-E11	NKD	02:23	S	SKIP	0.000	-	-	-
SI-20240426-S-E05	SI	02:25	S	SKIP	0.000	-	-	-
NKD-20240426-L-E13	NKD	02:27	L	SKIP	0.000	-	-	-
NKD-20240426-S-E12	NKD	02:30	S	SKIP	0.000	-	-	-
NKD-20240426-L-E14	NKD	02:33	L	SKIP	0.000	-	-	-
