# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# THE TWO NAMED TESTS ON THE DEPLOYABLE LINE.  T1 = H1_NOMONO, the day-grouped ranker with the inherited monotone constraints STRIPPED — the confound removed so the hypothesis is judged clean.  T2 = the never-tried objective: day-grouped ranking on the CERTIFICATE itself, as full-resolution within-day rank (H3_DAYPAIR) and as regression onto the within-day normal score (H3_DAYZ).
# NO MONOTONE CONSTRAINTS ANYWHERE IN THIS STAGE.  The champion's sign vector was fitted for a different objective on a different grouping and is the named suspect for H1's negative correlation.
# TAUZ rides as a first-class rule in the family, alongside TAU, OCCUPANCY, DAYSOFAR, CELLSOFAR and SECTIME.
# THE PRE-REGISTERED BAR, unchanged: positive in all three binding eras, clearing the search-adjusted null in all three, and beating the incumbent S_XGB|DAYSOFAR ($57.76 / $88.96 / $101.77) in at least two of three, top-5 concentration below 0.30.
# READ THIS BESIDE T2_AXIS_SPEARMAN.tsv: the axis moves first and the dollars follow it.  A column that lifts within-day spearman without lifting dollars, or the reverse, is telling you the dollars are coming from the rule and not the score.
link	search_width	selector	cell_chosen	usd_on_selector	usd_on_TARGET_BLIND	sd_usd	ci_lo	ci_hi	n_trades_total	n_era_sessions	top5_trade_share_of_pnl	search_adjusted_null	n_cells_searched	beats_null	incumbent_S_XGB_DAYSOFAR	delta_vs_incumbent	beats_incumbent	capture_of_causal_oracle	sign
E4->E5	NARROW_S_XGB	PREV_ERA	S_XGB|TAUZ_0.5	54.5	42.45	4.56	-59.4	144.3	692.0	387	0.083	9.77	28	YES	57.76	-15.31	no	0.021	POSITIVE
E4->E5	NARROW_S_XGB	INNER_BLOCK	S_XGB|TAUZ_0.5	0.0	42.45	4.56	-59.4	144.3	692.0	387	0.083	9.77	28	YES	57.76	-15.31	no	0.021	POSITIVE
E4->E5	NARROW_A_EV_RAW	PREV_ERA	A_EV_RAW|DAYSOFAR_0.5	4.47	-33.84	20.78	-135.56	67.87	780.0	387	0.069	36.5	28	no	57.76	-91.6	no	-0.0167	NEGATIVE
E4->E5	NARROW_A_EV_RAW	INNER_BLOCK	A_EV_RAW|DAYSOFAR_0.5	46.12	-33.84	20.78	-135.56	67.87	780.0	387	0.069	36.5	28	no	57.76	-91.6	no	-0.0167	NEGATIVE
E4->E5	NARROW_H1_DAYRANK	PREV_ERA	H1_DAYRANK|OCCUPANCY_2	102.41	-52.34	15.08	-132.08	27.41	439.8	387	0.16	13.82	28	no	57.76	-110.1	no	-0.0259	NEGATIVE
E4->E5	NARROW_H1_DAYRANK	INNER_BLOCK	H1_DAYRANK|TAU_0.8	87.71	21.75	38.22	-85.4	128.91	560.0	387	0.092	13.82	28	YES	57.76	-36.01	no	0.0108	POSITIVE
E4->E5	NARROW_H1_NOMONO	PREV_ERA	H1_NOMONO|TAUZ_0.5	120.49	-14.83	12.99	-87.04	57.39	250.8	387	0.163	19.05	28	no	57.76	-72.59	no	-0.0073	NEGATIVE
E4->E5	NARROW_H1_NOMONO	INNER_BLOCK	H1_NOMONO|TAUZ_0.5	94.76	-14.83	12.99	-87.04	57.39	250.8	387	0.163	19.05	28	no	57.76	-72.59	no	-0.0073	NEGATIVE
E4->E5	NARROW_H3_DAYPAIR	PREV_ERA	H3_DAYPAIR|TAU_0.8	123.91	61.1	11.62	-40.83	163.03	583.2	387	0.104	0.41	28	YES	57.76	3.34	YES	0.0302	POSITIVE
E4->E5	NARROW_H3_DAYPAIR	INNER_BLOCK	H3_DAYPAIR|TAU_0.7	154.44	96.34	18.35	-3.52	196.2	703.8	387	0.079	0.41	28	YES	57.76	38.58	YES	0.0477	POSITIVE
E4->E5	NARROW_H3_DAYZ	PREV_ERA	H3_DAYZ|OCCUPANCY_1	57.68	-26.45	27.47	-108.64	55.74	461.4	387	0.187	0.0	28	no	57.76	-84.21	no	-0.0131	NEGATIVE
E4->E5	NARROW_H3_DAYZ	INNER_BLOCK	H3_DAYZ|DAYSOFAR_0.9	54.72	-48.26	32.29	-144.17	47.66	735.2	387	0.082	0.0	28	no	57.76	-106.02	no	-0.0239	NEGATIVE
E4->E5	WIDE_all_columns	PREV_ERA	H3_DAYPAIR|TAU_0.8	123.91	61.1	11.62	-40.83	163.03	583.2	387	0.104	36.5	168	YES	57.76	3.34	YES	0.0302	POSITIVE
E4->E5	WIDE_all_columns	INNER_BLOCK	H3_DAYPAIR|TAU_0.7	154.44	96.34	18.35	-3.52	196.2	703.8	387	0.079	36.5	168	YES	57.76	38.58	YES	0.0477	POSITIVE
E5->E6	NARROW_S_XGB	PREV_ERA	S_XGB|DAYSOFAR_0.7	86.2	88.96	60.86	-35.58	213.51	730.0	384	0.076	0.0	28	YES	88.96	0.0	YES	0.0333	POSITIVE
E5->E6	NARROW_S_XGB	INNER_BLOCK	S_XGB|TAUZ_0.5	0.0	86.18	66.28	-9.83	182.19	397.8	384	0.374	0.0	28	YES	88.96	-2.78	no	0.0322	POSITIVE
E5->E6	NARROW_A_EV_RAW	PREV_ERA	A_EV_RAW|TAU_0.9	26.95	-5.67	24.12	-92.52	81.19	327.2	384	0.183	-21.37	28	YES	88.96	-94.63	no	-0.0021	NEGATIVE
