# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# RED-FIRST, AND IT CAME BACK RED.  I expected this table to show that every rule in the arrival family is a rank/quantile rule and therefore invariant to the isotonic calibration.  It is not, and the reason is the one that matters: ISOTONIC REGRESSION IS MONOTONE BUT NOT STRICTLY MONOTONE.  It maps wide bands of raw score onto a single probability, so `s[j] > running_max` almost never fires and `s[j] >= quantile` fires in blocks.
# E6 / A_PBAR / seed 0.  SECRETARY_0.5 proposes 16 seats on the raw column and 8 on the calibrated one; SECRETARY_0.6, 5 and 2; SECRETARY_0.7 and 0.8, one and ZERO.  The incumbent's headline lives on the calibrated column, so the incumbent's headline is built on two trades.
# TAU and OCCUPANCY cannot appear here at all: the incumbent's calibrated column is all-NaN on the training block, which is exactly why those ten policies are absent from ARRIVAL_FITTED.tsv.
policy	n_seats_raw	n_seats_incumbent_cal	raw_seats_identical_to_cal	my_CALEV_identical_to_incumbent	usd_firing_raw	usd_firing_cal
FIRST_3	3456	3456	YES	YES	-25.87	-25.87
DAYSOFAR_0.5	59039	68929	NO	YES	-5.59	-24.62
DAYSOFAR_0.7	34002	36833	NO	YES	-34.83	-15.96
DAYSOFAR_0.9	11440	13036	NO	YES	-36.61	-64.78
CELLSOFAR_0.8	11825	13980	NO	YES	-62.29	-61.44
CELLSOFAR_0.9	5362	7171	NO	YES	-14.02	-53.2
CELLSOFAR_0.95	2749	4524	NO	YES	6.93	-1.43
CELLSOFAR_0.99	1280	2674	NO	YES	19.84	-41.22
SECRETARY_0.1	385	242	NO	YES	77.2	98.51
SECRETARY_0.25	127	71	NO	YES	-9.25	58.99
SECRETARY_0.5	16	8	NO	YES	127.03	704.38
SECRETARY_0.6	5	2	NO	YES	100.0	651.25
SECRETARY_0.7	1	0	NO	YES	-542.5	
SECRETARY_0.8	1	0	NO	YES	-542.5	
SECRETARY_RE_0.1	570	293	NO	YES	77.2	98.51
SECRETARY_RE_0.25	167	85	NO	YES	-9.25	58.99
SECRETARY_RE_0.5	19	8	NO	YES	127.03	704.38
SECRETARY_RE_0.6	5	2	NO	YES	100.0	651.25
SECRETARY_RE_0.7	1	0	NO	YES	-542.5	
SECRETARY_RE_0.8	1	0	NO	YES	-542.5	
