# ROUND-2 SEALED BLIND LEDGER 20240425 (E6R2-BLIND-D2) — hand channel ONLY (R2-9: the rubric never seats)
# every TAKE carries a decision_journal entry written BEFORE the call and a RIBBON_ACCESS row for the window it read
ep	asset	sec	side	call	p	src	compl	why
HG-20240425-S-E01	HG	00:00	S	SKIP	0.000	-	-	-
NKD-20240425-S-E01	NKD	00:01	S	SKIP	0.000	-	-	-
SI-20240425-L-E01	SI	00:12	L	SKIP	0.000	-	-	-
NKD-20240425-S-E02	NKD	00:22	S	SKIP	0.000	-	-	-
NKD-20240425-L-E01	NKD	00:27	L	SKIP	0.000	-	-	-
NKD-20240425-L-E02	NKD	00:32	L	SKIP	0.000	-	-	-
SI-20240425-S-E01	SI	00:32	S	SKIP	0.000	-	-	-
NKD-20240425-S-E03	NKD	00:37	S	SKIP	0.000	-	-	-
NKD-20240425-S-E04	NKD	00:57	S	SKIP	0.000	-	-	-
NKD-20240425-L-E03	NKD	00:58	L	SKIP	0.000	-	-	-
NKD-20240425-L-E04	NKD	01:01	L	SKIP	0.000	-	-	-
SI-20240425-L-E02	SI	01:02	L	SKIP	0.000	-	-	-
NKD-20240425-L-E05	NKD	01:12	L	SKIP	0.000	-	-	-
SI-20240425-S-E02	SI	01:26	S	SKIP	0.000	-	-	-
NKD-20240425-S-E05	NKD	01:35	S	SKIP	0.000	-	-	-
SI-20240425-S-E03	SI	01:41	S	SKIP	0.000	-	-	-
NKD-20240425-L-E06	NKD	01:47	L	SKIP	0.000	-	-	-
NKD-20240425-S-E06	NKD	01:48	S	SKIP	0.000	-	-	-
NKD-20240425-L-E07	NKD	01:49	L	SKIP	0.000	-	-	-
SI-20240425-L-E03	SI	01:50	L	SKIP	0.000	-	-	-
NKD-20240425-S-E07	NKD	01:52	S	SKIP	0.000	-	-	-
NKD-20240425-L-E08	NKD	02:02	L	SKIP	0.000	-	-	-
HG-20240425-L-E01	HG	02:02	L	SKIP	0.000	-	-	-
SI-20240425-L-E04	SI	02:06	L	SKIP	0.000	-	-	-
NKD-20240425-S-E08	NKD	02:07	S	SKIP	0.000	-	-	-
HG-20240425-L-E02	HG	02:07	L	SKIP	0.000	-	-	-
NKD-20240425-L-E09	NKD	02:08	L	SKIP	0.000	-	-	-
NKD-20240425-S-E09	NKD	02:11	S	SKIP	0.060	HAND	-	aggressor asymmetry and reload asymmetry disagree = no read; $205 round trip.
NKD-20240425-L-E10	NKD	02:12	L	SKIP	0.000	-	-	-
NKD-20240425-L-E11	NKD	02:15	L	SKIP	0.000	-	-	-
NKD-20240425-S-E10	NKD	02:19	S	SKIP	0.000	-	-	-
SI-20240425-L-E05	SI	02:19	L	SKIP	0.000	-	-	-
NKD-20240425-L-E12	NKD	02:22	L	SKIP	0.000	-	-	-
NKD-20240425-S-E11	NKD	02:23	S	SKIP	0.000	-	-	-
NKD-20240425-L-E13	NKD	02:28	L	SKIP	0.000	-	-	-
NKD-20240425-S-E12	NKD	02:28	S	SKIP	0.000	-	-	-
NKD-20240425-L-E14	NKD	02:32	L	SKIP	0.000	-	-	-
NKD-20240425-S-E13	NKD	02:33	S	SKIP	0.000	-	-	-
NKD-20240425-L-E15	NKD	02:36	L	SKIP	0.000	-	-	-
NKD-20240425-S-E14	NKD	02:38	S	SKIP	0.000	-	-	-
NKD-20240425-L-E16	NKD	02:39	L	SKIP	0.000	-	-	-
NKD-20240425-S-E15	NKD	02:44	S	SKIP	0.000	-	-	-
NKD-20240425-L-E17	NKD	02:46	L	SKIP	0.000	-	-	-
NKD-20240425-S-E16	NKD	02:47	S	SKIP	0.000	-	-	-
NKD-20240425-L-E18	NKD	02:49	L	SKIP	0.000	-	-	-
NKD-20240425-S-E17	NKD	02:55	S	SKIP	0.000	-	-	-
NKD-20240425-L-E19	NKD	02:59	L	SKIP	0.000	-	-	-
SI-20240425-L-E06	SI	03:01	L	SKIP	0.000	-	-	-
HG-20240425-S-E02	HG	03:02	S	SKIP	0.000	-	-	-
SI-20240425-S-E04	SI	03:02	S	SKIP	0.000	-	-	-
NKD-20240425-S-E18	NKD	03:03	S	SKIP	0.000	-	-	-
SI-20240425-S-E05	SI	03:07	S	SKIP	0.000	-	-	-
HG-20240425-L-E03	HG	03:08	L	SKIP	0.000	-	-	-
NKD-20240425-S-E19	NKD	03:10	S	SKIP	0.000	-	-	-
HG-20240425-S-E03	HG	03:11	S	TAKE	0.110	HAND	-	TOKYO short. Three sell aggressions in 8s each clearing a bid level, bid re-forming a tick lower each time (4.4415->4.441->4.4405) with cancels between the hits and one bid modified to 4.347. bid_reload 35 vs ask_reload 29, hit_bid 27 vs hit_ask 17. Weak leg: unspent $948 vs a $1000 bar, and HG is the weakest asset.
SI-20240425-S-E06	SI	03:11	S	SKIP	0.060	HAND	-	phase flow says short, the last 120s say the opposite (buyers aggress 19 vs 15; offer is the consumed side).
HG-20240425-L-E04	HG	03:18	L	SKIP	0.000	-	-	-
HG-20240425-L-E05	HG	03:21	L	SKIP	0.000	-	-	-
HG-20240425-S-E04	HG	03:23	S	SKIP	0.000	-	-	-
HG-20240425-L-E06	HG	03:25	L	SKIP	0.000	-	-	-
SI-20240425-L-E07	SI	03:25	L	SKIP	0.000	-	-	-
NKD-20240425-L-E20	NKD	03:25	L	SKIP	0.000	-	-	-
NKD-20240425-L-E21	NKD	03:28	L	SKIP	0.000	-	-	-
SI-20240425-L-E08	SI	03:30	L	SKIP	0.000	-	-	-
HG-20240425-S-E05	HG	03:34	S	SKIP	0.000	-	-	-
NKD-20240425-L-E22	NKD	03:36	L	SKIP	0.000	-	-	-
HG-20240425-L-E07	HG	03:36	L	SKIP	0.000	-	-	-
HG-20240425-S-E06	HG	03:37	S	SKIP	0.000	-	-	-
SI-20240425-S-E07	SI	03:37	S	SKIP	0.000	-	-	-
NKD-20240425-S-E20	NKD	03:39	S	SKIP	0.000	-	-	-
SI-20240425-L-E09	SI	03:41	L	SKIP	0.000	-	-	-
HG-20240425-L-E08	HG	03:41	L	SKIP	0.000	-	-	-
NKD-20240425-S-E21	NKD	03:42	S	SKIP	0.000	-	-	-
HG-20240425-S-E07	HG	03:43	S	SKIP	0.000	-	-	-
SI-20240425-S-E08	SI	03:46	S	SKIP	0.000	-	-	-
HG-20240425-S-E08	HG	03:46	S	SKIP	0.000	-	-	-
SI-20240425-L-E10	SI	03:51	L	SKIP	0.000	-	-	-
NKD-20240425-L-E23	NKD	03:52	L	SKIP	0.000	-	-	-
HG-20240425-L-E09	HG	03:52	L	SKIP	0.000	-	-	-
NKD-20240425-S-E22	NKD	03:53	S	SKIP	0.000	-	-	-
SI-20240425-S-E09	SI	03:55	S	SKIP	0.000	-	-	-
